n_heavy,frac_pairs_beyond_6A,end_to_end_heavy_A,gyration_radius_heavy_A,mol_id,group,abs_error,signed_error,smiles,dipole_D
7,0.0,3.7194744418537256,1.5835881309315374,mobley_628086,other,0.181232,0.18123200000000006,C[C@@H](C(F)(F)F)O,3.1032038311336327
7,0.0,4.865030353457059,1.8228590576341281,mobley_4620651,gradient12,0.804883,0.8048829999999998,COC(=O)C1CC1,0.2979699301042852
7,0.047619047619047616,6.381028170009102,2.14263502734004,mobley_7977115,certain47,0.027464,-0.027464000000000155,CCC[C@H](CC)O,1.5899311269187997
7,0.0,4.4467697295873085,1.6749019619796872,mobley_2789243,other,0.980047,-0.9800469999999999,c1cc(cnc1)Cl,1.306586638142042
10,0.044444444444444446,6.36287487253578,2.238705366098296,mobley_3968739,certain47,0.150142,0.15014199999999978,COC(=O)c1ccccc1,0.2218503633436956
7,0.0,4.291856052297207,1.6706759902868682,mobley_63712,other,0.673839,0.6738390000000001,CN1CCCCC1,0.8500598159595137
9,0.0,4.943463369438534,1.9897099226545059,mobley_1046331,other,0.431888,0.4318879999999998,c1ccc(cc1)OC=O,0.36527066967451444
11,0.03636363636363636,6.811108622220668,2.387353347904772,mobley_1160109,certain47,0.152691,0.1526909999999999,C[C@@H]1CC[C@H](CC1=O)C(=C)C,2.626886517844465
16,0.175,10.583121925555087,3.0675940372536528,mobley_4149784,other,0.304051,0.30405099999999985,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,1.3087705681384396e-05
11,0.10909090909090909,7.203559823013428,2.510734117083184,mobley_397645,certain47,0.218903,0.21890300000000007,CCOC(=O)c1ccccc1,0.3130336500347762
8,0.17857142857142858,7.674105645611828,2.672866681035238,mobley_4690963,other,0.697987,-0.6979870000000004,CCOCCOCC,2.362937242958366e-05
3,0.0,2.402489714280092,1.0284329535214736,mobley_1967551,certain47,0.080715,-0.08071500000000009,CC=O,2.497942881361669
18,0.0196078431372549,6.9342173978323745,2.5922318479880047,mobley_6733657,other,1.828977,-1.8289769999999996,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,3.9871164981726737
13,0.08974358974358974,6.879639933199257,2.4671683094186445,mobley_9565165,other,0.212707,0.21270699999999998,c1ccc-2c(c1)Cc3c2cccc3,0.1639455474945124
7,0.047619047619047616,6.396623039811269,2.2197689353715893,mobley_2487143,certain47,0.037202,0.037201999999999735,CCCCC(=O)C,2.5993942015415876
7,0.0,5.01198114106984,1.8611530862395216,mobley_8449031,gradient12,1.012433,1.0124330000000001,CCN(CC)CC,0.7592845999458754
14,0.08791208791208792,7.282580506389614,2.6002231420877946,mobley_172879,other,0.113362,-0.11336199999999996,c1ccc2c(c1)Oc3ccccc3O2,1.5197561456956972e-05
7,0.0,3.9109473809574617,1.6646926844423944,mobley_5346580,certain47,0.176327,0.17632699999999968,CC(=O)C(C)(C)C,2.608072972108529
8,0.14285714285714285,7.610404474487805,2.6022732316827866,mobley_3573480,certain47,0.052288,-0.05228799999999989,CCCCCC(=O)C,2.610974612181417
6,0.0,4.85148462575136,1.7009704118798876,mobley_1075836,certain47,0.13008,-0.13007999999999997,CCC(=O)OC,0.29743243345713183
13,0.1282051282051282,7.273935272974327,2.6992261077827986,mobley_6102880,certain47,0.015531,0.015531000000000184,c1ccc(cc1)Oc2ccccc2,2.2066964007352037
7,0.0,5.965384091923217,2.257130267031954,mobley_1827204,certain47,0.1297,-0.12970000000000015,CCCCCC=O,2.5124521357758773
2,0.0,1.2246316120946739,0.612315806047337,mobley_2146331,other,1.092694,-1.0926939999999998,C=O,2.3728306546188356
7,0.047619047619047616,6.081055305030492,2.031576783183628,mobley_7943327,certain47,0.041188,-0.041188,CCC(=O)OCC,0.348871396486348
12,0.07575757575757576,8.033022873314927,2.463020763797312,mobley_5110043,other,0.304087,0.304087,Cc1ccc2cc(ccc2c1)C,0.03537153560165174
11,0.03636363636363636,6.8131648738543396,2.3307486563012074,mobley_5616693,other,0.66032,-0.66032,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,2.630212502357068
9,0.16666666666666666,8.573341349137177,2.7258171104918363,mobley_6619554,certain47,0.067886,0.06788600000000011,CCCCC(=O)OCC,0.38543875527104493
14,0.12087912087912088,7.676567010559269,2.759923714332269,mobley_6359156,other,0.649604,-0.6496040000000001,c1ccc(cc1)c2cc(ccc2Cl)Cl,0.05281722608336184
8,0.0,4.849113246424309,1.840129228944837,mobley_1781152,certain47,0.115716,0.11571599999999993,CC(C)(C)C(=O)OC,0.327934664408965
8,0.03571428571428571,6.101230801613322,2.2073807206916407,mobley_859464,certain47,0.097102,-0.09710200000000002,CC(C)COC(=O)C,0.3860788821712941
8,0.03571428571428571,6.560366231745835,2.037298560296447,mobley_7150646,isolated6,0.546175,0.5461749999999999,c1cc(ccc1Br)Br,7.175506961587814e-07
10,0.2222222222222222,9.257057414410019,3.0286490804197714,mobley_1592519,certain47,0.099261,0.09926099999999982,CCCCCC(=O)OCC,0.3822411716709602
15,0.10476190476190476,8.825897323686617,2.8301983576100502,mobley_5538249,certain47,0.031378,-0.031377999999999684,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,0.08138142583791931
4,0.0,3.676103803348166,1.3943387543367696,mobley_6911232,certain47,0.335707,0.3357070000000002,CCOC,1.7308516656647959
5,0.0,3.6632083446417694,1.4838632310251314,mobley_3269565,gradient12,0.454734,0.45473399999999975,CC(C)OC,1.7109246163316465
8,0.0,5.197440237599701,1.932254960059663,mobley_2484519,certain47,0.134748,-0.13474799999999987,c1ccc(cc1)CCl,1.255278096592996
4,0.0,3.684177838619822,1.629038246860956,mobley_7690440,isolated6,0.474423,0.47442300000000004,CSSC,1.5036364602851537
10,0.26666666666666666,9.634530598629,3.2400643287159943,mobley_3802803,certain47,0.079206,-0.07920600000000011,CCCCCCO[N+](=O)[O-],1.984419944511665
5,0.0,4.767089353076736,1.7370968967607143,mobley_1144156,certain47,0.055814,0.05581400000000003,CCOCC,1.6710623489940049
7,0.0,3.886907759596657,1.7232929491196018,mobley_2481002,other,1.604438,-1.6044380000000003,C([N+](=O)[O-])(Cl)(Cl)Cl,4.761472892312464
8,0.0,4.523703474426272,1.8609265485893391,mobley_2489709,certain47,0.092989,0.09298899999999999,c1ccc(c(c1)Cl)Cl,2.021560454289554
7,0.09523809523809523,6.9906071119586475,2.4994481005608717,mobley_5052949,gradient12,0.862238,0.8622380000000001,CCCSCCC,1.1825395419300526
7,0.0,4.427856694581753,1.896589198162354,mobley_2492140,other,0.102875,-0.10287500000000005,C(C(Cl)(Cl)Cl)(Cl)Cl,1.1239972967361407
7,0.09523809523809523,6.51653139996078,2.32381448731371,mobley_7542832,certain47,0.021131,0.02113100000000001,CCCOCCC,1.6826520939000036
9,0.027777777777777776,6.236092091854261,2.105005803042666,mobley_7814642,certain47,0.346927,-0.346927,c1cc(c(cc1Cl)Cl)Cl,1.1584951297401074
5,0.0,5.2736907745474495,1.9028169842247122,mobley_1563176,gradient12,0.3441,0.34409999999999996,CCCCS,1.0580928995819294
7,0.0,4.302964193897513,1.6448465139177288,mobley_1873346,certain47,0.004793,-0.004792999999999936,Cc1ccccc1,0.11592573374906658
9,0.0,5.080804086582132,1.9809949280421357,mobley_3040612,certain47,0.158054,0.15805400000000003,CCc1ccccc1C,0.1869565281160957
7,0.0,4.115088398103682,1.6043403889055787,mobley_4483973,gradient12,0.822318,-0.8223179999999999,c1ccc(cc1)F,1.9537403704671896
4,0.0,4.290400273131132,1.588125900343593,mobley_9913368,isolated6,0.973903,-0.973903,C(=C/Cl)\Cl,1.7552573583915517e-07
10,0.044444444444444446,6.574433115650175,2.2863828015398133,mobley_1449384,gradient12,0.416688,0.41668800000000006,Cc1ccc(cc1)C(C)C,0.026787452229763347
4,0.0,3.434971631368851,1.4772311267098712,mobley_7708038,certain47,0.007993,0.007993000000000028,CCCBr,1.080345640807228
4,0.0,2.566607459926673,1.2423888358866086,mobley_8311321,other,1.147372,1.1473719999999998,C(F)(F)Cl,1.8244804281032732
5,0.0,4.309648255149304,1.679934615253553,mobley_766666,isolated6,0.410338,-0.41033800000000004,C(=C(Cl)Cl)Cl,1.0641260320524712
9,0.0,5.101773481339023,2.0463186187713935,mobley_5445548,certain47,0.092207,-0.09220699999999998,CC(C)c1ccccc1,0.13130745324564097
2,0.0,1.3566796986286256,0.6783398493143127,mobley_9029594,other,0.603781,-0.603781,CF,1.9568895988611619
4,0.0,2.3403232863061505,1.1630080639431315,mobley_3370989,other,0.395943,0.395943,CC(F)F,2.364272955776273
5,0.0,4.2428647050899295,1.6466406868549714,mobley_627267,certain47,0.009062,-0.009062,CC(C)CBr,1.0916841288325556
7,0.14285714285714285,8.06979707994912,2.6768567961057643,mobley_6250025,certain47,0.226865,0.22686499999999998,CCCCCCI,1.1221553979568446
10,0.044444444444444446,6.582565118218182,2.3387390722040458,mobley_4252724,gradient12,0.401738,-0.40173800000000004,CC(C)Cc1ccccc1,0.13388266049438358
8,0.17857142857142858,8.042924036706378,2.8241681699621064,mobley_7157427,certain47,0.087019,0.08701900000000001,CCCCCCCCl,1.3448599814140543
5,0.0,2.4453326851023856,1.2496506872816018,mobley_8885088,isolated6,0.44199,-0.44199000000000005,C1CC=CC1,0.2282076319370776
8,0.21428571428571427,8.536329372159397,2.8723503440475224,mobley_8522124,certain47,0.079021,0.07902100000000001,CCCCCCC#C,0.3167544755934275
14,0.08791208791208792,7.197856905818729,2.634572741136583,mobley_4678740,other,0.047235,0.047234999999999916,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,2.2922450552035882
6,0.0,3.0187747431919956,1.4672866283208756,mobley_2689721,certain47,0.134371,-0.13437100000000002,C1CCCCC1,5.071691655728773e-07
4,0.0,3.5505179348682367,1.402984012271558,mobley_1662128,certain47,0.14215,-0.14215,CCC=C,0.09662257479528705
7,0.14285714285714285,7.317839474523475,2.503700942827343,mobley_4762983,certain47,0.105555,0.10555500000000007,CCCCCC=C,0.10130999095154773
5,0.0,2.7264142109239398,1.3534765139955054,mobley_7732703,other,0.609103,0.6091030000000002,C(F)(F)(F)Br,1.4329470810559155
3,0.0,2.5140943939603395,1.1023917669566927,mobley_2068538,certain47,0.289895,-0.289895,CCC,0.007731048992432168
4,0.0,2.5107470792120177,1.2724836589520252,mobley_5157661,certain47,0.04793,-0.04793000000000003,CC(C)C,0.013273383214551451
5,0.0,2.5071954989047596,1.3732473584624683,mobley_1261349,other,0.07022,0.0702200000000004,CC(C)(C)C,3.6002564379526526e-07
10,0.13333333333333333,7.613127972715046,2.7170295931194097,mobley_2328633,other,0.914592,-0.9145919999999998,CCCCCC1CCCC1,0.013481695235468216
7,0.0,5.018048721823489,1.9655850575462552,mobley_8436428,certain47,0.076447,-0.07644699999999993,CC(C)CC(C)C,0.020982347266137697
9,0.027777777777777776,6.386610963481225,2.3928919296850735,mobley_3060426,other,0.092126,0.09212599999999993,CC(C)CCC(C)(C)C,0.03239107198178704
10,0.28888888888888886,10.363108128931177,3.3333888078386043,mobley_2197088,certain47,0.024532,0.024531999999999776,CCCCCCCCCC,0.00376219980921234
