id,smiles,exp,pubchem_cid
guthrie_7541,Clc1ccccc1Nc1nc(Cl)nc(Cl)n1,-10.84,7541
guthrie_7847,O=CC=C,-3.41,7847
guthrie_7944,ClCC(OC(CCl)C)C,-1.86,7944
guthrie_8268,Clc1ccc(cc1)C(O)(C(Cl)(Cl)Cl)c1ccc(Cl)cc1,-6.83,8268
guthrie_8305,Clc1cc(Cl)c(Cl)cc1S(=O)(=O)c1ccc(Cl)cc1,-7.84,8305
guthrie_8330,Clc1c([N+](=O)[O-])c(Cl)c(Cl)cc1Cl,-1.68,8330
guthrie_8427,Clc1cc(Cl)ccc1OC(C(O)=O)C,-10.92,8427
guthrie_8630,Clc1c(cc(Cl)cc1N)C(O)=O,-5.54,8630
guthrie_8800,Clc1ccc(NC(=O)N(C)C)cc1,-8.07,8800
guthrie_9154,c-12c(-c3c4c-1cccc4ccc3)cccc2,-4.24,9154
guthrie_9161,C1=Cc2c3c1cccc3ccc2,-3.13,9161
guthrie_9171,c12c(c3c(cc1)cccc3)ccc1c2cccc1,-5.01,9171
guthrie_9195,C1c2c(-c3c1cccc3)ccc1c2cccc1,-4.05,9195
guthrie_9272,S=P(Oc1nccnc1)(OCC)OCC,-6.1,9272
guthrie_9298,Clc1cc(Cl)c(Cl)cc1OP(=S)(OC)OC,-3.93,9298
guthrie_9502,Clc1cc(NC(=O)N(OC)C)ccc1Cl,-7.54,9502
guthrie_9864,NC#N,-11.92,9864
guthrie_10522,Clc1ccc(cc1)C(O)(c2ccc(Cl)cc2)C(=O)OCC,-6.87,10522
guthrie_10788,S1CN(CN(C)C1=S)C,-11.04,10788
guthrie_10800,Oc1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C,-6.92,10800
guthrie_11167,S=C=NC,-2.7,11167
guthrie_11463,C1CC(CC=C1C)=C(C)C,0.04,11463
guthrie_11724,O([N+](=O)[O-])C,-2.46,11724
guthrie_11839,Brc1cc(Br)cc(Br)c1OC,-2.42,11839
guthrie_12259,O([N+](=O)[O-])CC,-2.35,12259
guthrie_12307,O(N(=O)=O)CCC,-2.15,12307
guthrie_12541,S(CCSP(=S)(OC)OC)CC,-6.74,12541
guthrie_12724,C(CC=C)(C)C,1.91,12724
guthrie_12898,ClC(Cl)(SN(S(=O)(=O)N(C)C)c1ccc(cc1)C)F,-12.8,12898
guthrie_12901,S(P(=S)(OC)OC)CN1C(=O)c2c(cccc2)C1=O,-8.94,12901
guthrie_12932,S(=O)(=O)(NCCSP(=S)(OC(C)C)OC(C)C)c1ccccc1,-7.53,12932
guthrie_12968,O=C(SCC)N(CCC)CCC,-4.09,12968
guthrie_13257,c12c(c3c(cc1)cccc3)cccc2C,-3.68,13257
guthrie_13290,S(C)c1nc(nc(n1)NCCCOC)NC(C)C,-10.76,13290
guthrie_13526,S(CCSP(OC)(OC)=O)CC,-8.12,13526
guthrie_13676,S(P(=S)(OCC)CC)c1ccccc1,-4.88,13676
guthrie_13709,S1C(=O)N(N=C1OC)CSP(=S)(OC)OC,-9.02,13709
guthrie_13728,O=C(N(C)C)C(c1ccccc1)c1ccccc1,-12.06,13728
guthrie_13904,S(C)c1nc(nc(n1)NC)NC(C)C,-10.51,13904
guthrie_14145,ClC(Cl)(SN(S(=O)(=O)N(C)C)c1ccccc1)F,-7.89,14145
guthrie_14322,O(C(=O)NC)c1cc(ccc1)C,-7.41,14322
guthrie_14337,S(CC)C(=O)N(CC)C1CCCCC1,-5.07,14337
guthrie_14896,C12CC(CCC1=C)C2(C)C,0.61,14896
guthrie_14994,Oc1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C(C)(C)C,-4.59,14994
guthrie_15331,OC(=O)CCC(=O)NN(C)C,-10.7,15331
guthrie_15438,S(=O)(=O)(C(C=NOC(=O)NC)(C)C)C,-9.52,15438
guthrie_15533,Brc1cc(cc(Br)c1OC(=O)CCCCCCC)C#N,-3.93,15533
guthrie_15575,O(N(=O)(=O))C(C)C,-1.93,15575
guthrie_15629,Clc1ccc(NC(=O)N(OC)C)cc1,-7.68,15629
guthrie_15788,Clc1cc(Cl)cc(Cl)c1Oc1ccc([N+](=O)[O-])cc1,-3.79,15788
guthrie_15910,Clc1c(C#N)c(Cl)c(Cl)c(Cl)c1C#N,-0.89,15910
guthrie_15965,Clc1c(N)c(Cl)c(Cl)nc1C(O)=O,-10.58,15965
guthrie_16004,Clc1nc(ccc1)C(Cl)(Cl)Cl,-4.18,16004
guthrie_16007,s1c2c(nc1NC(=O)NC)cccc2,-7.01,16007
guthrie_16073,Clc1cc(NC(OC(C#C)C)=O)ccc1,-8.81,16073
guthrie_16115,Clc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-10.4,16115
guthrie_16116,O=C(NC1CCCCC1C)Nc1ccccc1,-11.69,16116
guthrie_16181,S(CC)C(=O)N(CC(C)C)CC(C)C,-3.37,16181
guthrie_16248,S(C)c1c(cc(OC(=O)NC)cc1C)C,-5.83,16248
guthrie_16422,Brc1cc(Cl)c(OP(=S)(OC)OC)cc1Cl,-5.73,16422
guthrie_16562,FC(F)(F)c1cc(NC(=O)N(C)C)ccc1,-9.52,16562
guthrie_16653,S(CC)C(=O)N1CCCCCC1,-5.79,16653
guthrie_16774,S(P(=S)(OCC)OCC)CC(=O)NC(C)C,-8.53,16774
guthrie_16945,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,-0.63,16945
guthrie_17040,O(C(=O)NC)c1cc(C)c(cc1)C,-6.9,17040
guthrie_17100,OC(C)(C)C1CCC(=CC1)C,-5.52,17100
guthrie_17109,S1c2nc3cc(ccc3nc2SC1=O)C,-7.64,17109
guthrie_17168,Clc1cc([N+](=O)[O-])ccc1OP(=S)(OC)OC,-6.84,17168
guthrie_17169,OC1(c2c(-c3c1cc(Cl)cc3)cccc2)C(O)=O,-6.03,17169
guthrie_17345,S(P(=S)(OC)OC)CC(=O)N(C=O)C,-11.39,17345
guthrie_17435,S(P(=S)(OC)OC)C(C(OCC)=O)c1ccccc1,-5.81,17435
guthrie_17516,O(C(=O)NC)c1cc(cc(c1)C)C(C)C,-7.42,17516
guthrie_17522,S=P(Oc1ccc(cc1)C#N)(OC)OC,-4.98,17522
guthrie_17581,Clc1cc(OC)c(Cl)cc1OC,-3.25,17581
guthrie_17607,S(F)(F)(=O)=O,-9.59,17607
guthrie_18290,Brc1ccc(NC(=O)N(OC)C)cc1,-9.41,18290
guthrie_18937,C#CCCCCCCC,1.04,18937
guthrie_19395,S=P(OCC)(OCC)OP(=S)(OCC)OCC,-5.48,19395
guthrie_19588,O(C(=O)NC)c1ccccc1C(CC)C,-9.09,19588
guthrie_19657,S=P1(OCc2c(O1)cccc2)OC,-4.18,19657
guthrie_19662,Clc1c2N(CC(O)=O)C(Sc2ccc1)=O,-13.91,19662
guthrie_20105,S(CC)c1nc(nc(n1)NC(C)C)NC(C)C,-8.46,20105
guthrie_20965,Brc1cc(Cl)c(OP(=S)(OCC)OCC)cc1Cl,-4.54,20965
guthrie_21307,S1CCOC(C)=C1C(=O)Nc1ccccc1,-10.84,21307
guthrie_21803,Clc1cc(Cl)c(Cl)nc1OP(=S)(OC)OC,-5.27,21803
guthrie_22206,Clc1nc(nc(n1)NCC)NC(C)(C)C,-7.89,22206
guthrie_22933,O([N+](=O)[O-])C(CO[N+](=O)[O-])C,-4.46,22933
guthrie_23421,O1CCOC1c1ccccc1OC(=O)NC,-12.59,23421
guthrie_23715,Clc1ccc(NC(=O)C(CCC)(C)C)cc1,-8.19,23715
guthrie_23717,S(C)c1ccc(OP(OCCC)(OCCC)=O)cc1,-9.46,23717
guthrie_24726,ClC\C=C\Cl,-1.51,24726
guthrie_24743,O(C(=O)Nc1ccccc1)c1cc(NC(OCC)=O)ccc1,-11.23,24743
guthrie_24744,O(C(=O)Nc1cc(ccc1)C)c1cc(NC(OC)=O)ccc1,-14.29,24744
guthrie_24781,o1nc(O)cc1C,-9.84,24781
guthrie_25429,O(C(=O)Nc1[nH]c2c(n1)cccc2)C,-12.56,25429
guthrie_25572,O(C)c1ccc(cc1)C(O)(C1CC1)c1cncnc1,-11.44,25572
guthrie_25670,S(C(C)(C)C)CSP(=S)(OCC)OCC,-4.16,25670
guthrie_25763,Brc1c(c(cc(c1)C=NOc2c(cc(cc2)N(=O)=O)N(=O)=O)Br)O,-7.66,25763
guthrie_25912,Brc1ccc(NC(=O)N(OC)C)cc1Cl,-9.21,25912
guthrie_26033,CCOC(=O)c1cn2nc(cc2nc1C)OP(=S)(OCC)OCC,-6.96,26033
guthrie_26124,S=P(Oc1nc2c(nc1)cccc2)(OCC)OCC,-7.81,26124
guthrie_26576,O(c1ccc(NC(=O)N(C)C)cc1)c1ccc(OC)cc1,-15.21,26576
guthrie_27189,O(C(C(=O)N(CC)CC)C)c1c2c(ccc1)cccc2,-10.21,27189
guthrie_27375,Clc1cc(NC(=O)N(C)C)ccc1C,-10.48,27375
guthrie_28292,S(P(Sc1ccccc1)(OCC)=O)c1ccccc1,-6.19,28292
guthrie_29216,s1c2c(nc1N(C(=O)NC)C)cccc2,-12.35,29216
guthrie_29863,Clc1cc(NC(=O)N(C)C)ccc1OC,-8.5,29863
guthrie_30709,Brc1cc(Cl)c(OP(=S)(OC)c2ccccc2)cc1Cl,-5.45,30709
guthrie_30773,Clc1nc(nc(n1)NCC)NC(C#N)(C)C,-13.53,30773
guthrie_31070,S(C)c1ccc(OP(OCC)(=O)NC(C)C)cc1C,-10.1,31070
guthrie_31200,S=P(Oc1cc(C)c([N+](=O)[O-])cc1)(OC)OC,-8.53,31200
guthrie_31573,S(C)c1nc(nc(n1)NCC)NC(C(C)C)C,-8.75,31573
guthrie_31657,S(C(=NOC(=O)NC)C(=O)N(C)C)C,-10.95,31657
guthrie_31677,ClCC(=O)N(COCCCC)c1c(cccc1CC)CC,-7.41,31677
guthrie_32154,Clc1cc(cc(Cl)c1)C(=O)NC(C#C)(C)C,-5.61,32154
guthrie_32230,S(P(=S)(OCCC)OCCC)CC(=O)N1CCCCC1C,-9.19,32230
guthrie_32594,C(C(C)C)c1nccnc1OC,-3.69,32594
guthrie_32739,ClCSP(=S)(OCC)OCC,-2.63,32739
guthrie_32872,S=P(Oc1ccccc1C(OC(C)C)=O)(OCC)NC(C)C,-7.6,32872
guthrie_32876,Clc1cc(C)c(OCC(SCC)=O)cc1,-4.15,32876
guthrie_32921,s1c(nnc1N(C(=O)NC)C)C(F)(F)F,-10.79,32921
guthrie_33135,O(C)c1nccnc1CC,-4.4,33135
guthrie_33294,S(P(OC(C)C)(OC(C)C)=O)Cc1ccccc1,-10.29,33294
guthrie_33360,S(Oc1cc2c(OC(OCC)C2(C)C)cc1)(=O)(=O)C,-7.95,33360
guthrie_33443,O(C)c1nc(nc(n1)NCC)NC(CC)C,-9.35,33443
guthrie_33565,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,-9.3,33565
guthrie_33775,ClC=1C(=O)N(N=CC=1NC)c1cc(ccc1)C(F)(F)F,-10.83,33775
guthrie_34192,Clc1ccc(cc1)CSC(=O)N(CC)CC,-6.77,34192
guthrie_34469,FC(F)(F)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1N,-6.59,34469
guthrie_34526,S=P(Oc1nc(nc(c1)C)N(CC)CC)(OC)OC,-6.22,34526
guthrie_34766,S(Cc1ccccc1OC(=O)NC)CC,-8.49,34766
guthrie_35823,Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1,-2.94,35823
guthrie_36187,Clc1cc(ccc1Cl)-c1cc(Cl)c(Cl)cc1,-3.21,36187
guthrie_36188,Clc1c(ccc(Cl)c1Cl)-c1cc(Cl)c(Cl)cc1,-3.61,36188
guthrie_36231,Clc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,-3.15,36231
guthrie_36242,Clc1cc(N2C(=O)C3(CC3(C)C2=O)C)cc(Cl)c1,-4.56,36242
guthrie_36324,N(=CN(C=Nc1ccc(cc1C)C)C)c1ccc(cc1C)C,-5.99,36324
guthrie_36565,O=[N+]([O-])c1cc(cc([N+](=O)[O-])c1NC(CC)C)C(C)(C)C,-5.05,36565
guthrie_36584,O(C)c1nc(nc(n1)NCC)NC(C)(C)C,-9.18,36584
guthrie_36606,O=[N+]([O-])c1cc(cc([N+](=O)[O-])c1N(CCC)CCC)C(C)C,-3.87,36606
guthrie_36679,O=C(Nc1ccc(cc1)C(C)C)N(C)C,-11.49,36679
guthrie_36867,Clc1ccccc1CSC(=O)N(CC)CC,-5.85,36867
guthrie_36879,S(C(C(=NOC(=O)NC)C)C)C,-10.42,36879
guthrie_37123,Clc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1,-9.19,37123
guthrie_37125,S(C)c1ccc(OP(SCCC)(=S)OCC)cc1,-6.07,37125
guthrie_37175,Clc1cc(Cl)ccc1C(OCC=C)Cn1ccnc1,-12.42,37175
guthrie_37419,S=P(Oc1cc(ccc1[N+](=O)[O-])C)(OCC)NC(CC)C,-3.62,37419
guthrie_37523,S(Cc1ccccc1)C(=O)N(C(CC)C)C(CC)C,-3.3,37523
guthrie_37995,S=P(Oc1nc(nc(OCC)c1)CC)(OC)OC,-6.43,37995
guthrie_38090,ClCC(=O)N(CC(OCC)=O)c1c(cccc1CC)CC,-8.6,38090
guthrie_38235,S(CC(=NOC(=O)NC)C(C)(C)C)C,-8.77,38235
guthrie_38479,O=[N+]([O-])c1c(C)c(cc([N+](=O)[O-])c1NC(CC)CC)C,-4.49,38479
guthrie_38779,Brc1cc(Cl)c(OP(SCCC)(OCC)=O)cc1,-8.46,38779
guthrie_38854,O=C1N(N)C(=NN=C1c1ccccc1)C,-15.58,38854
guthrie_38884,S(Oc1nc(nc(C)c1CCCC)NCC)(=O)(=O)N(C)C,-8.75,38884
guthrie_39040,S1c2c(-n3c1nnc3)c(ccc2)C,-12.14,39040
guthrie_39223,Clc1nc(OP(=S)(OCC)OCC)nn1C(C)C,-6.38,39223
guthrie_39230,Clc1cc(Cl)ccc1Oc1cc(C(OC)=O)c([N+](=O)[O-])cc1,-5.41,39230
guthrie_39327,Clc1cc(ccc1Oc2ccc(c(c2)OCC)N(=O)=O)C(F)(F)F,-6.02,39327
guthrie_39385,Clc1ccc(OC(n2ncnc2)C(=O)C(C)(C)C)cc1,-11.57,39385
guthrie_39656,Clc1c(OC)c(Cl)ccc1Cl,-2.02,39656
guthrie_39681,S1CCSC1=C(C(OC(C)C)=O)C(OC(C)C)=O,-5.93,39681
guthrie_39965,O=C1N(C2CCCCC2)C(=O)N=C(N(C)C)N1C,-13.78,39965
guthrie_39985,Clc1cc(Cl)ccc1Oc1ccc(OC(C(OC)=O)C)cc1,-5.59,39985
guthrie_40032,ClCC(Oc1ccccc1OC(=O)NC)OC,-12.41,40032
guthrie_40087,s1nncc1NC(=O)Nc1ccccc1,-14.84,40087
guthrie_40326,ClC(Cl)=CC1C(C)(C)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,-5.93,40326
guthrie_40413,O(C(C(=O)Nc1ccccc1)C)c1cc2c(cc1)cccc2,1.07,40413
guthrie_40479,Clc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,-3.12,40479
guthrie_40521,Clc1cc(N(C(=O)c2ccccc2)C(C(OC)=O)C)ccc1F,-9.22,40521
guthrie_40816,OC1(c2c(-c3c1cccc3)cccc2)C(OCCCC)=O,-8.86,40816
guthrie_41381,FC(F)(F)c1cc([N+](=O)[O-])c(N(CC(C)=C)CC)c([N+](=O)[O-])c1,-3.11,41381
guthrie_41384,S(N(CCCC)CCCC)N(C(Oc1c2OC(Cc2ccc1)(C)C)=O)C,-5.02,41384
guthrie_41385,S1(=O)(=O)CCS(=O)(=O)C(C)=C1C,-12.08,41385
guthrie_41428,Clc1cc(Cl)c(Cl)nc1OCC(O)=O,-10.11,41428
guthrie_41632,O(C(C)C)c1cc(NC(=O)c2ccccc2C)ccc1,-8.77,41632
guthrie_41648,o1nc(NC(=O)N(C)C)cc1C(C)(C)C,-10.83,41648
guthrie_42586,O(C(=O)C(N(C(=O)COC)c1c(cccc1C)C)C)C,-10.92,42586
guthrie_42850,ClCC(=O)N(C1CCOC1=O)c1c(cccc1C)C,-9.52,42850
guthrie_43079,FC(F)(F)c1cc(ccc1)C1=CN(C=C(C1=O)c1ccccc1)C,-9.22,43079
guthrie_43226,Clc1ccccc1C(O)(c1ccc(Cl)cc1)c1cncnc1,-8.95,43226
guthrie_43234,Clc1cc(Cl)ccc1C1(OC(CO1)CCC)Cn1ncnc1,-9.77,43234
guthrie_44073,Clc1cc(ccc1Oc1cc(C(O)=O)c([N+](=O)[O-])cc1)C(F)(F)F,-9.28,44073
guthrie_44178,S(CCCCOc1ccccc1)C(=O)N(C)C,-8.53,44178
guthrie_47326,O(c1cc(ccc1)C(OC(=O)C1C(C)(C)C1(C)C)C#N)c1ccccc1,-4.78,47326
guthrie_47445,Clc1ccccc1C(=O)NC(=O)Nc1ccc(OC(F)(F)F)cc1,-9.05,47445
guthrie_47491,Clc1ccccc1S(=O)(=O)NC(=O)Nc1nc(nc(OC)n1)C,-10.79,47491
guthrie_47650,Clc1c(Cl)cc(cc1Cl)-c1ccc(Cl)cc1Cl,-2.81,47650
guthrie_47759,S(N(C(Oc1c2OC(Cc2ccc1)(C)C)=O)C)N(C(OCCCC)=O)C,-8.03,47759
guthrie_47866,n1c(nc(nc1N)N)NC1CC1,-17.29,47866
guthrie_47898,FC(F)(F)c1ccccc1C(=O)Nc1cc(OC(C)C)ccc1,-6.3,47898
guthrie_47938,Clc1cc2oc(Oc3ccc(OC(C(OCC)=O)C)cc3)nc2cc1,-8.34,47938
guthrie_49384,ClCC(=O)N(Cn1nccc1)c1c(cccc1C)C,-8.86,49384
guthrie_50107,Clc1nc(nc(n1)NCC(OCC)=O)NC(C)C,-10.1,50107
guthrie_50367,S1CN(c2ccccc2)C(=O)N(C(C)C)C1=NC(C)(C)C,-5.15,50367
guthrie_50465,Clc1c(N)c(Cl)c(F)nc1OCC(O)=O,-9.35,50465
guthrie_50891,Clc1c(ccc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,-2.97,50891
guthrie_50897,FC(F)(F)c1ccc(Oc2ccc(OC(C(OCCCC)=O)C)cc2)nc1,-7.62,50897
guthrie_51043,Clc1c(Cl)cc(cc1Cl)c1ccc(Cl)cc1,-3.2,51043
guthrie_51369,O(C(=O)C(N(C(=O)Cc1ccccc1)c1c(cccc1C)C)C)C,-7.68,51369
guthrie_51574,Clc1cc(N2C(=O)C(OC2=O)(C(OCC)=O)C)cc(Cl)c1,-9.92,51574
guthrie_51605,O(c1ccc(OCCNC(OCC)=O)cc1)c1ccccc1,-10.18,51605
guthrie_52999,S(=O)(=O)(NC(=O)Nc1nc(nc(OC)n1)C)c1ccccc1C(OC)=O,-13.752,52999
guthrie_53036,Clc1c(cc(Cl)c(Cl)c1Cl)-c1ccc(Cl)cc1,-2.9,53036
guthrie_53079,BrC(C(C)(C)C)C(=O)NC(C)(C)c1ccccc1,-3.52,53079
guthrie_53309,Clc1cc(Cl)ccc1CC(n1ncnc1)C(O)C(C)(C)C,-10.1,53309
guthrie_53518,Clc1cc2ncc(Oc3ccc(OC(C(OCC)=O)C)cc3)nc2cc1,-6.43,53518
guthrie_53735,O1CCN(N(C(=O)COC)c2c(cccc2C)C)C1=O,-13.6,53735
guthrie_54744,O=C1NC(=NC1(C(C)C)C)c1cc(ccc1C(OC)=O)C,-13.25,54744
guthrie_54778,Clc1ccccc1CN1OCC(C)(C)C1=O,-7.9,54778
guthrie_54886,S(N(C(C)C)CCC(OCC)=O)N(C(Oc1c2OC(Cc2ccc1)(C)C)=O)C,-8.26,54886
guthrie_54960,S(=O)(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)Cc1ccccc1C(OC)=O,-18.595,54960
guthrie_55138,Clc1ccccc1N(C(=O)CCC)CSP(=S)(OC)OC,-4.43,55138
guthrie_55790,Clc1cc(Cl)ccc1C(=NOC)Cc1cccnc1,-7.79,55790
guthrie_56160,Clc1nc(nc(OC)c1)NC(=O)NS(=O)(=O)c1ccccc1C(OCC)=O,-17.93,56160
guthrie_61250,C(CCCC)ON(=O)=O,-1.99,61250
guthrie_61938,S(=O)(=O)(C(C(=NOC(=O)NC)C)C)C,-9.47,61938
guthrie_62020,S(Cc1ccccc1)C(=O)N(CCC)CCC,-4.49,62020
guthrie_62155,S(C(=NOC(=O)N(SN(C(ON=C(SC)C)=O)C)C)C)C,-6.38,62155
guthrie_62276,Clc1cc(ccc1Oc1cc(C(OC(C(OCC)=O)C)=O)c([N+](=O)[O-])cc1)C(F)(F)F,-7.78,62276
guthrie_62306,ClC(Cl)C(=O)N1c2c(OCC1C)cccc2,-7.52,62306
guthrie_62526,Brc1cc(cc(Br)c1OC(=O)CCC)C#N,-5.68,62526
guthrie_62773,ClC=1C2C(CC=C2)C=1OP(OC)(OC)=O,-6.98,62773
guthrie_63090,Clc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(Cl)cc1,-3.27,63090
guthrie_66334,Cl[C@H]1CCCC[C@H]1Cl,1.59,66334
guthrie_66461,Clc1cc(Cl)ccc1C(O)(CCCC)Cn1ncnc1,-9.73,66461
guthrie_69537,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,-2.01,69537
guthrie_69619,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,-2.49,69619
guthrie_71245,O(c1cc(ccc1)COCC(C)(C)c1ccc(OCC)cc1)c1ccccc1,-3.29,71245
guthrie_73282,ClCCOc1ccccc1S(=O)(=O)NC(=O)Nc1nc(nc(OC)n1)C,-19.07,73282
guthrie_73665,Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n1ccnc1,-8.44,73665
guthrie_73669,Clc1cc(cc(Cl)c1)C1(OC1)CC(Cl)(Cl)Cl,-3.66,73669
guthrie_73672,o1nc(cc1NC(=O)c1c(OC)cccc1OC)C(CC)(CC)C,-7.03,73672
