mol_id,logp_crippen,tpsa,rotatable_bonds,h_bond_donors,h_bond_acceptors,molecular_weight,num_rings,fraction_csp3,formal_charge,group,signed_error,abs_error,mean_nll,best_sim,smiles,ensemble_mean,true_value
mobley_1922649,2.490900000000001,70.83,5,0,6,263.211,1,0.25,0.0,other,-1.4137879999999994,1.413788,26.871639251708984,,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-8.603788,-7.19
mobley_8798016,0.8940999999999999,29.96,1,0,2,107.11199999999998,1,0.0,0.0,certain47,-0.22677299999999967,0.226773,24.67639541625977,,c1cnccc1C=O,-7.226773,-7.0
mobley_1858644,1.2213999999999998,20.23,2,1,1,122.16699999999997,1,0.25,0.0,other,0.33399599999999996,0.333996,17.35357093811035,,c1ccc(cc1)CCO,-6.456004,-6.79
mobley_9114381,0.07307999999999992,50.09,1,0,3,99.08900000000001,0,0.5,0.0,other,-1.0558070000000006,1.055807,29.01907157897949,,COC(=O)CC#N,-7.775807,-6.72
mobley_5311804,1.1788999999999998,20.23,1,1,1,108.13999999999997,1,0.14285714285714285,0.0,other,0.6321320000000004,0.632132,18.6201286315918,,c1ccc(cc1)CO,-5.987868,-6.62
mobley_6743808,2.00904,20.23,0,1,1,122.16699999999999,1,0.25,0.0,other,0.1175430000000004,0.117543,18.94194221496582,,Cc1ccc(cc1C)O,-6.382457,-6.5
mobley_8789864,0.49307999999999996,51.480000000000004,4,0,4,145.158,0,0.8333333333333334,0.0,other,-2.118271,2.118271,24.198429107666016,,COC(CC#N)(OC)OC,-8.518271,-6.4
mobley_7009711,2.0090399999999997,20.23,0,1,1,122.16699999999997,1,0.25,0.0,other,0.4825279999999994,0.482528,20.621414184570312,,Cc1cc(cc(c1)O)C,-5.787472,-6.27
mobley_8789465,1.9968,20.23,0,1,1,220.00899999999996,1,0.0,0.0,other,0.2175250000000002,0.217525,21.324106216430664,,c1ccc(c(c1)O)I,-5.982475,-6.2
mobley_2923700,1.9545999999999997,20.23,1,1,1,122.16699999999996,1,0.25,0.0,other,0.35972199999999965,0.359722,18.56243324279785,,CCc1ccc(cc1)O,-5.770278,-6.13
mobley_4780078,2.00904,20.23,0,1,1,122.16699999999999,1,0.25,0.0,other,0.28234400000000015,0.282344,20.62108421325684,,Cc1ccc(c(c1)C)O,-5.727656,-6.01
mobley_5467162,2.6897000000000015,20.23,0,1,1,150.22099999999998,1,0.4,0.0,other,0.3277239999999999,0.327724,20.140430450439453,,CC(C)(C)c1ccc(cc1)O,-5.582276,-5.91
mobley_6257907,1.9222,26.02,0,1,1,127.574,1,0.0,0.0,gradient12,-0.6178629999999998,0.617863,26.01694679260254,0.3478260869565217,c1cc(cc(c1)Cl)N,-6.437863,-5.82
mobley_7913234,1.1839,29.46,5,1,2,132.203,0,1.0,0.0,other,-1.0113219999999998,1.011322,16.374530792236328,,CCCCOC[C@H](C)O,-6.741322,-5.73
mobley_5518547,1.5772199999999998,26.02,0,1,1,107.156,1,0.14285714285714285,0.0,certain47,-0.16031299999999948,0.160313,18.999794006347656,0.4117647058823529,Cc1ccc(cc1)N,-5.730313,-5.57
mobley_4883284,1.2687999999999997,26.02,0,1,1,93.12899999999999,1,0.0,0.0,gradient12,-0.5648669999999996,0.564867,19.68905258178711,0.4117647058823529,c1ccc(cc1)N,-6.054867,-5.49
mobley_5220185,1.039,25.78,1,0,2,108.14399999999998,1,0.3333333333333333,0.0,other,0.047860000000000014,0.04786,22.63252639770508,,CCc1cnccn1,-5.40214,-5.45
mobley_3359593,2.3533000000000004,29.46,3,1,2,166.21999999999997,1,0.4,0.0,isolated6,-0.7147410000000001,0.714741,18.545042037963867,0.2,CCCc1ccc(c(c1)OC)O,-5.974741,-5.26
mobley_4683624,2.344700000000001,20.23,2,1,1,136.19399999999996,1,0.3333333333333333,0.0,other,-0.4617690000000003,0.461769,16.577627182006836,,CCCc1ccc(cc1)O,-5.671769,-5.21
mobley_1636752,-0.3915,20.23,0,1,1,32.042,0,1.0,0.0,certain47,-0.19352300000000078,0.193523,29.83553504943848,0.2857142857142857,CO,-5.293523,-5.1
mobley_2310185,-0.0014000000000000123,20.23,0,1,1,46.069,0,1.0,0.0,certain47,-0.20874400000000026,0.208744,24.28273200988769,,CCO,-5.208744,-5.0
mobley_3682850,1.5196,17.07,0,0,1,98.145,1,0.8333333333333334,0.0,gradient12,0.4255070000000005,0.425507,16.113258361816406,0.2727272727272727,C1CCC(=O)CC1,-4.484493,-4.91
mobley_1363784,1.69844,12.89,0,0,1,107.15599999999999,1,0.2857142857142857,0.0,other,0.4985970000000002,0.498597,21.552011489868164,,Cc1cc(cnc1)C,-4.341403,-4.84
mobley_2837389,1.0147,15.79,0,1,0,67.091,1,0.0,0.0,other,-0.869351,0.869351,37.21128082275391,,c1cc[nH]c1,-5.649351,-4.78
mobley_9507933,1.69844,12.89,0,0,1,107.156,1,0.2857142857142857,0.0,certain47,0.16815099999999994,0.168151,20.536684036254883,,Cc1ccc(nc1)C,-4.551849,-4.72
mobley_296847,1.0816,12.89,0,0,1,79.10199999999998,1,0.0,0.0,other,0.019711000000000034,0.019711,20.004249572753903,,c1ccncc1,-4.670289,-4.69
mobley_8208692,8.580799999999998,0.0,1,0,0,429.77199999999993,2,0.0,0.0,other,1.3090670000000002,1.309067,32.85006332397461,,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-3.300933,-4.61
mobley_4884177,1.644,12.89,1,0,1,107.15599999999998,1,0.2857142857142857,0.0,other,0.16691599999999962,0.166916,19.09358024597168,,CCc1cccnc1,-4.423084,-4.59
mobley_6714389,-0.4251,26.02,0,1,1,31.058,0,1.0,0.0,other,-0.4458530000000005,0.445853,28.845638275146484,,CN,-4.995853,-4.55
mobley_2245668,0.6347,20.23,1,1,1,74.12299999999999,0,1.0,0.0,certain47,-0.04812100000000008,0.048121,18.974201202392575,0.5,CC(C)CO,-4.548121,-4.5
mobley_5973402,1.0248,20.23,2,1,1,88.14999999999999,0,1.0,0.0,certain47,0.2349779999999999,0.234978,16.713674545288086,0.5,CC(C)CCO,-4.185022,-4.42
mobley_3546460,1.559,20.23,4,1,1,102.17699999999999,0,1.0,0.0,certain47,0.09176900000000021,0.091769,14.230708122253418,0.6153846153846154,CCCCCCO,-4.308231,-4.4
mobley_8311303,7.274,0.0,1,0,0,360.88199999999995,2,0.0,0.0,other,0.981506,0.981506,33.86712646484375,,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.398494,-4.38
mobley_9741965,0.18159999999999987,104.74000000000001,6,0,6,180.11599999999999,0,1.0,0.0,other,-0.7577530000000001,0.757753,28.4533805847168,,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-5.047753,-4.29
mobley_4603202,1.4806000000000001,9.23,4,0,1,143.013,0,1.0,0.0,other,-0.010165999999999897,0.010166,27.4277400970459,,C(CCl)OCCCl,-4.240166,-4.23
mobley_628086,0.9295,20.23,0,1,1,114.066,0,1.0,0.0,other,0.18123200000000006,0.181232,29.8229923248291,,C[C@@H](C(F)(F)F)O,-3.978768,-4.16
mobley_4620651,0.5693999999999999,26.3,1,0,2,100.117,1,0.8,0.0,gradient12,0.8048829999999998,0.804883,25.82650375366211,0.3636363636363636,COC(=O)C1CC1,-3.295117,-4.1
mobley_7977115,1.5574,20.23,3,1,1,102.17699999999999,0,1.0,0.0,certain47,-0.027464000000000155,0.027464,15.891538619995115,0.25,CCC[C@H](CC)O,-4.087464,-4.06
mobley_2789243,1.7349999999999999,12.89,0,0,1,113.54699999999998,1,0.0,0.0,other,-0.9800469999999999,0.980047,28.1627254486084,,c1cc(cnc1)Cl,-4.990047,-4.01
mobley_3968739,1.4732,26.3,1,0,2,136.14999999999998,1,0.125,0.0,certain47,0.15014199999999978,0.150142,18.303123474121094,,COC(=O)c1ccccc1,-3.769858,-3.92
mobley_63712,1.1021,3.24,0,0,1,99.177,1,1.0,0.0,other,0.6738390000000001,0.673839,19.93496322631836,,CN1CCCCC1,-3.206161,-3.88
mobley_1046331,1.2217999999999996,26.3,2,0,2,122.12299999999996,1,0.0,0.0,other,0.4318879999999998,0.431888,20.0758056640625,,c1ccc(cc1)OC=O,-3.388112,-3.82
mobley_1160109,2.567800000000001,17.07,1,0,1,152.23699999999997,1,0.7,0.0,certain47,0.1526909999999999,0.152691,19.15077781677246,,C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.597309,-3.75
mobley_4149784,4.891400000000001,18.46,0,0,2,253.084,3,0.0,0.0,other,0.30405099999999985,0.304051,24.373401641845703,,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.365949,-3.67
mobley_397645,1.8633,26.3,2,0,2,150.177,1,0.2222222222222222,0.0,certain47,0.21890300000000007,0.218903,18.238615036010746,,CCOC(=O)c1ccccc1,-3.421097,-3.64
mobley_4690963,1.0594000000000001,18.46,5,0,2,118.176,0,1.0,0.0,other,-0.6979870000000004,0.697987,17.62209129333496,,CCOCCOCC,-4.237987,-3.54
mobley_1967551,0.2052,17.07,0,0,1,44.053,0,0.5,0.0,certain47,-0.08071500000000009,0.080715,29.514589309692383,,CC=O,-3.580715,-3.5
mobley_6733657,5.6828,0.0,0,0,0,409.7819999999999,3,0.8,0.0,other,-1.8289769999999996,1.828977,47.29243469238281,,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-5.268977,-3.44
mobley_9565165,3.2578000000000014,0.0,0,0,0,166.22299999999998,3,0.07692307692307693,0.0,other,0.21270699999999998,0.212707,17.96059226989746,,c1ccc-2c(c1)Cc3c2cccc3,-3.137293,-3.35
mobley_2487143,1.7656,17.07,3,0,1,100.16099999999999,0,0.8333333333333334,0.0,certain47,0.037201999999999735,0.037202,16.12025260925293,0.8235294117647058,CCCCC(=O)C,-3.242798,-3.28
mobley_8449031,1.3481,3.24,3,0,1,101.193,0,1.0,0.0,gradient12,1.0124330000000001,1.012433,20.45145797729492,0.3333333333333333,CCN(CC)CC,-2.207567,-3.22
mobley_172879,3.584600000000002,18.46,0,0,2,184.194,3,0.0,0.0,other,-0.11336199999999996,0.113362,16.30828285217285,,c1ccc2c(c1)Oc3ccccc3O2,-3.263362,-3.15
mobley_5346580,1.6215,17.07,0,0,1,100.16099999999999,0,0.8333333333333334,0.0,certain47,0.17632699999999968,0.176327,20.684118270874023,0.4117647058823529,CC(=O)C(C)(C)C,-2.933673,-3.11
mobley_3573480,2.1557000000000004,17.07,4,0,1,114.18799999999999,0,0.8571428571428571,0.0,certain47,-0.05228799999999989,0.052288,14.76617431640625,0.8235294117647058,CCCCCC(=O)C,-3.092288,-3.04
mobley_1075836,0.5694,26.3,1,0,2,88.106,0,0.75,0.0,certain47,-0.13007999999999997,0.13008,22.85245132446289,0.5263157894736842,CCC(=O)OC,-3.06008,-2.93
mobley_6102880,3.478900000000001,9.23,2,0,1,170.21099999999998,2,0.0,0.0,certain47,0.015531000000000184,0.015531,15.80079746246338,0.3529411764705882,c1ccc(cc1)Oc2ccccc2,-2.854469,-2.87
mobley_1827204,1.7656,17.07,4,0,1,100.16099999999999,0,0.8333333333333334,0.0,certain47,-0.12970000000000015,0.1297,15.053662300109863,,CCCCCC=O,-2.9397,-2.81
mobley_2146331,-0.1849,17.07,0,0,1,30.026,0,0.0,0.0,other,-1.0926939999999998,1.092694,40.45158767700195,,C=O,-3.842694,-2.75
mobley_7943327,0.9595,26.3,2,0,2,102.133,0,0.8,0.0,certain47,-0.041188,0.041188,20.64830017089844,0.5454545454545454,CCC(=O)OCC,-2.721188,-2.68
mobley_5110043,3.456640000000002,0.0,0,0,0,156.22799999999998,2,0.16666666666666666,0.0,other,0.304087,0.304087,17.0277156829834,,Cc1ccc2cc(ccc2c1)C,-2.325913,-2.63
mobley_5616693,2.6477000000000013,17.07,1,0,1,154.253,1,0.9,0.0,other,-0.66032,0.66032,17.611948013305664,,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-3.19032,-2.53
mobley_6619554,1.7397,26.3,4,0,2,130.18699999999998,0,0.8571428571428571,0.0,certain47,0.06788600000000011,0.067886,17.660093307495117,,CCCCC(=O)OCC,-2.422114,-2.49
mobley_6359156,4.660400000000001,0.0,1,0,0,223.10199999999998,2,0.0,0.0,other,-0.6496040000000001,0.649604,21.71708869934082,,c1ccc(cc1)c2cc(ccc2Cl)Cl,-3.109604,-2.46
mobley_1781152,1.2055,26.3,0,0,2,116.15999999999998,0,0.8333333333333334,0.0,certain47,0.11571599999999993,0.115716,21.308786392211918,,CC(C)(C)C(=O)OC,-2.284284,-2.4
mobley_859464,1.2055,26.3,2,0,2,116.15999999999998,0,0.8333333333333334,0.0,certain47,-0.09710200000000002,0.097102,19.513187408447266,,CC(C)COC(=O)C,-2.457102,-2.36
mobley_7150646,3.2116000000000007,0.0,0,0,0,235.90599999999998,1,0.0,0.0,isolated6,0.5461749999999999,0.546175,23.14629173278809,0.2,c1cc(ccc1Br)Br,-1.753825,-2.3
mobley_1592519,2.1298000000000004,26.3,5,0,2,144.21399999999997,0,0.875,0.0,certain47,0.09926099999999982,0.099261,15.79533863067627,,CCCCCC(=O)OCC,-2.130739,-2.23
mobley_5538249,5.313800000000001,0.0,1,0,0,257.54699999999997,2,0.0,0.0,certain47,-0.031377999999999684,0.031378,24.65094757080078,,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.191378,-2.16
mobley_6911232,0.6527000000000001,9.23,1,0,1,60.096000000000004,0,1.0,0.0,certain47,0.3357070000000002,0.335707,24.964269638061523,,CCOC,-1.764293,-2.1
mobley_3269565,1.0412,9.23,1,0,1,74.123,0,1.0,0.0,gradient12,0.45473399999999975,0.454734,19.2954158782959,0.3333333333333333,CC(C)OC,-1.555266,-2.01
mobley_2484519,2.4254000000000007,0.0,1,0,0,126.58599999999998,1,0.14285714285714285,0.0,certain47,-0.13474799999999987,0.134748,22.22284698486328,,c1ccc(cc1)CCl,-2.064748,-1.93
mobley_7690440,1.6274,0.0,1,0,2,94.20400000000001,0,1.0,0.0,isolated6,0.47442300000000004,0.474423,34.87212371826172,0.1428571428571428,CSSC,-1.355577,-1.83
mobley_3802803,1.775,52.370000000000005,6,0,3,147.174,0,1.0,0.0,certain47,-0.07920600000000011,0.079206,17.608179092407227,0.3809523809523809,CCCCCCO[N+](=O)[O-],-1.739206,-1.66
mobley_1144156,1.0428000000000002,9.23,2,0,1,74.123,0,1.0,0.0,certain47,0.05581400000000003,0.055814,17.81214141845703,,CCOCC,-1.534186,-1.59
mobley_2481002,1.5908,43.14,0,0,2,164.37500000000003,0,1.0,0.0,other,-1.6044380000000003,1.604438,337.94158935546875,,C([N+](=O)[O-])(Cl)(Cl)Cl,-3.054438,-1.45
mobley_2489709,2.9934000000000003,0.0,0,0,0,147.004,1,0.0,0.0,certain47,0.09298899999999999,0.092989,31.426607131958008,,c1ccc(c(c1)Cl)Cl,-1.267011,-1.36
mobley_5052949,2.539600000000001,0.0,4,0,1,118.24499999999999,0,1.0,0.0,gradient12,0.8622380000000001,0.862238,17.319772720336914,0.2857142857142857,CCCSCCC,-0.417762,-1.28
mobley_2492140,3.1603000000000003,0.0,0,0,0,202.29500000000002,0,1.0,0.0,other,-0.10287500000000005,0.102875,93.71989440917967,,C(C(Cl)(Cl)Cl)(Cl)Cl,-1.332875,-1.23
mobley_7542832,1.823,9.23,4,0,1,102.17699999999999,0,1.0,0.0,certain47,0.02113100000000001,0.021131,16.800212860107422,,CCCOCCC,-1.138869,-1.16
mobley_7814642,3.6468000000000007,0.0,0,0,0,181.44899999999998,1,0.0,0.0,certain47,-0.346927,0.346927,31.99291038513184,,c1cc(c(cc1Cl)Cl)Cl,-1.466927,-1.12
mobley_1563176,1.7163,0.0,2,1,1,90.19099999999999,0,1.0,0.0,gradient12,0.34409999999999996,0.3441,16.607595443725586,0.4615384615384615,CCCCS,-0.6459,-0.99
mobley_1873346,1.99502,0.0,0,0,0,92.14099999999999,1,0.14285714285714285,0.0,certain47,-0.004792999999999936,0.004793,16.423986434936523,,Cc1ccccc1,-0.904793,-0.9
mobley_3040612,2.5574200000000005,0.0,1,0,0,120.19499999999996,1,0.3333333333333333,0.0,certain47,0.15805400000000003,0.158054,17.54595947265625,,CCc1ccccc1C,-0.691946,-0.85
mobley_4483973,1.8257,0.0,0,0,0,96.10399999999998,1,0.0,0.0,gradient12,-0.8223179999999999,0.822318,17.20378303527832,0.375,c1ccc(cc1)F,-1.622318,-0.8
mobley_9913368,1.9352,0.0,0,0,0,96.944,0,0.0,0.0,isolated6,-0.973903,0.973903,35.98849868774414,0.1,C(=C/Cl)\Cl,-1.753903,-0.78
mobley_1449384,3.118420000000002,0.0,1,0,0,134.22199999999998,1,0.4,0.0,gradient12,0.41668800000000006,0.416688,18.005281448364258,0.5263157894736842,Cc1ccc(cc1)C(C)C,-0.263312,-0.68
mobley_7708038,1.7913000000000001,0.0,1,0,0,122.993,0,1.0,0.0,certain47,0.007993000000000028,0.007993,23.22383689880371,0.3333333333333333,CCCBr,-0.552007,-0.56
mobley_8311321,1.4478,0.0,0,0,0,86.468,0,1.0,0.0,other,1.1473719999999998,1.147372,42.21109008789063,,C(F)(F)Cl,0.647372,-0.5
mobley_766666,2.5017000000000005,0.0,0,0,0,131.389,0,0.0,0.0,isolated6,-0.41033800000000004,0.410338,44.18098831176758,0.1,C(=C(Cl)Cl)Cl,-0.850338,-0.44
mobley_5445548,2.8100000000000014,0.0,1,0,0,120.19499999999995,1,0.3333333333333333,0.0,certain47,-0.09220699999999998,0.092207,17.361597061157227,,CC(C)c1ccccc1,-0.392207,-0.3
mobley_9029594,0.5857,0.0,0,0,0,34.033,0,1.0,0.0,other,-0.603781,0.603781,34.30436325073242,,CF,-0.823781,-0.22
mobley_3370989,1.2714,0.0,0,0,0,66.05,0,1.0,0.0,other,0.395943,0.395943,28.493553161621094,,CC(F)F,0.285943,-0.11
mobley_627267,2.0373,0.0,1,0,0,137.01999999999998,0,1.0,0.0,certain47,-0.009062,0.009062,20.21213722229004,,CC(C)CBr,-0.039062,-0.03
mobley_6250025,3.0017000000000014,0.0,4,0,0,212.074,0,1.0,0.0,certain47,0.22686499999999998,0.226865,14.203697204589844,0.6153846153846154,CCCCCCI,0.306865,0.08
mobley_4252724,2.8851000000000013,0.0,2,0,0,134.22199999999998,1,0.4,0.0,gradient12,-0.40173800000000004,0.401738,15.91407299041748,0.4090909090909091,CC(C)Cc1ccccc1,-0.241738,0.16
mobley_7157427,3.1956000000000016,0.0,5,0,0,134.65,0,1.0,0.0,certain47,0.08701900000000001,0.087019,15.58969783782959,,CCCCCCCCl,0.377019,0.29
mobley_8885088,1.7265,0.0,0,0,0,68.11900000000001,1,0.6,0.0,isolated6,-0.44199000000000005,0.44199,23.851533889770508,0.2222222222222222,C1CC=CC1,0.11801,0.56
mobley_8522124,2.5900000000000007,0.0,4,0,0,110.19999999999999,0,0.75,0.0,certain47,0.07902100000000001,0.079021,16.342506408691406,,CCCCCCC#C,0.789021,0.71
mobley_4678740,3.7242000000000006,0.0,0,0,0,214.10799999999995,1,0.25,0.0,other,0.047234999999999916,0.047235,28.09212684631348,,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.117235,1.07
mobley_2689721,2.3406000000000002,0.0,0,0,0,84.162,1,1.0,0.0,certain47,-0.13437100000000002,0.134371,15.594868659973145,0.0384615384615384,C1CCCCC1,1.095629,1.23
mobley_1662128,1.5824,0.0,1,0,0,56.108,0,0.5,0.0,certain47,-0.14215,0.14215,18.577306747436523,0.4117647058823529,CCC=C,1.23785,1.38
mobley_4762983,2.752700000000001,0.0,4,0,0,98.189,0,0.7142857142857143,0.0,certain47,0.10555500000000007,0.105555,15.232205390930176,,CCCCCC=C,1.765555,1.66
mobley_7732703,1.9011,0.0,0,0,0,148.909,0,1.0,0.0,other,0.6091030000000002,0.609103,42.57040786743164,,C(F)(F)(F)Br,2.399103,1.79
mobley_2068538,1.4163,0.0,0,0,0,44.096999999999994,0,1.0,0.0,certain47,-0.289895,0.289895,18.767623901367188,,CCC,1.710105,2.0
mobley_5157661,1.6622999999999999,0.0,0,0,0,58.123999999999995,0,1.0,0.0,certain47,-0.04793000000000003,0.04793,19.79307746887207,0.3333333333333333,CC(C)C,2.25207,2.3
mobley_1261349,2.0524,0.0,0,0,0,72.151,0,1.0,0.0,other,0.0702200000000004,0.07022,31.480579376220703,,CC(C)(C)C,2.58022,2.51
mobley_2328633,3.7569000000000026,0.0,4,0,0,140.26999999999998,1,1.0,0.0,other,-0.9145919999999998,0.914592,16.469675064086914,,CCCCCC1CCCC1,1.635408,2.55
mobley_8436428,2.6885000000000012,0.0,2,0,0,100.20499999999998,0,1.0,0.0,certain47,-0.07644699999999993,0.076447,16.687522888183594,,CC(C)CC(C)C,2.753553,2.83
mobley_3060426,3.468700000000003,0.0,2,0,0,128.259,0,1.0,0.0,other,0.09212599999999993,0.092126,21.520679473876957,,CC(C)CCC(C)(C)C,3.022126,2.93
mobley_2197088,4.147000000000004,0.0,7,0,0,142.286,0,1.0,0.0,certain47,0.024531999999999776,0.024532,12.76573371887207,,CCCCCCCCCC,3.184532,3.16
