mol_id,group,smiles,abs_error,signed_error,sanitize_warnings,kekulize_failed,radicals,sanitize_note,taut_amide_urea_lactam,taut_imine,taut_enol_OH,"taut_1,3_dicarbonyl",taut_guanidine,taut_amidine,taut_aromatic_pyrrole_NH,taut_phenol_OH,taut_alpha_CH2_to_carbonyl,ion_carboxylic_acid,ion_carboxylate,ion_amine_primary_secondary,ion_amine_tertiary,ion_sulfonic_acid,ion_nitro,has_charged_atoms,charged_atoms_desc,n_charged_atoms,formal_charge_sum,n_chiral_centers,n_undefined_stereo,has_undefined_stereo,stereo_centers_desc,n_heavy_from_smiles,n_atoms_as_model_sees,n_H_added,non_model_element,non_vocab_element,elements
mobley_6055410,other,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,0.358769,0.3587690000000005,False,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,0,0.0,0,0,False,,18,26,8,False,False,6.8.9
mobley_4639255,gradient12,C(CO)O,0.841379,-0.8413789999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,10,6,False,False,6.8
mobley_1417007,other,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,1.658464,1.6584639999999995,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,2,0,False,R;R,16,24,8,False,False,6.7.8.16.17
mobley_6115639,other,COP(=O)(OC)OC,0.147193,0.1471929999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,17,9,False,False,6.8.15
mobley_6353617,other,CC(=O)c1cccnc1,0.296224,0.2962239999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,16,7,False,False,6.7.8
mobley_2725215,other,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],1.955904,-1.9559040000000003,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,N:1;O:-1;N:1;O:-1,4,0.0,0,0,False,,23,42,19,False,False,6.7.8.16
mobley_7039935,other,c1ccc2c(c1)cccc2O,1.125567,1.1255670000000002,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,11,19,8,False,False,6.8
mobley_4059279,other,CN1CCN(CC1)C,0.387042,0.3870420000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0,0.0,0,0,False,,8,22,14,False,False,6.7
mobley_951560,other,C1CNCCN1,1.997906,-1.9979060000000004,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,0,0.0,0,0,False,,6,16,10,False,False,6.7
mobley_1922649,other,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],1.413788,-1.4137879999999994,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,N:1;O:-1,2,0.0,0,0,False,,16,26,10,False,False,6.7.8.15.16
mobley_8798016,certain47,c1cnccc1C=O,0.226773,-0.2267729999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,13,5,False,False,6.7.8
mobley_1858644,other,c1ccc(cc1)CCO,0.333996,0.3339959999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,19,10,False,False,6.8
mobley_9114381,other,COC(=O)CC#N,1.055807,-1.0558070000000006,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,12,5,False,False,6.7.8
mobley_5311804,other,c1ccc(cc1)CO,0.632132,0.6321320000000004,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,16,8,False,False,6.8
mobley_6743808,other,Cc1ccc(cc1C)O,0.117543,0.1175430000000004,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,19,10,False,False,6.8
mobley_8789864,other,COC(CC#N)(OC)OC,2.118271,-2.118271,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,21,11,False,False,6.7.8
mobley_7009711,other,Cc1cc(cc(c1)O)C,0.482528,0.4825279999999994,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,19,10,False,False,6.8
mobley_8789465,other,c1ccc(c(c1)O)I,0.217525,0.2175250000000002,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,13,5,False,False,6.8.53
mobley_2923700,other,CCc1ccc(cc1)O,0.359722,0.3597219999999996,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,19,10,False,False,6.8
mobley_4780078,other,Cc1ccc(c(c1)C)O,0.282344,0.2823440000000001,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,19,10,False,False,6.8
mobley_5467162,other,CC(C)(C)c1ccc(cc1)O,0.327724,0.3277239999999999,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,11,25,14,False,False,6.8
mobley_6257907,gradient12,c1cc(cc(c1)Cl)N,0.617863,-0.6178629999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,14,6,False,False,6.7.17
mobley_7913234,other,CCCCOC[C@H](C)O,1.011322,-1.0113219999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,1,0,False,S,9,25,16,False,False,6.8
mobley_5518547,certain47,Cc1ccc(cc1)N,0.160313,-0.1603129999999994,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,17,9,False,False,6.7
mobley_4883284,gradient12,c1ccc(cc1)N,0.564867,-0.5648669999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,14,7,False,False,6.7
mobley_5220185,other,CCc1cnccn1,0.04786,0.04786,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,16,8,False,False,6.7
mobley_3359593,isolated6,CCCc1ccc(c(c1)OC)O,0.714741,-0.7147410000000001,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,12,26,14,False,False,6.8
mobley_4683624,other,CCCc1ccc(cc1)O,0.461769,-0.4617690000000003,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,22,12,False,False,6.8
mobley_1636752,certain47,CO,0.193523,-0.1935230000000007,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,2,6,4,False,False,6.8
mobley_2310185,certain47,CCO,0.208744,-0.2087440000000002,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,3,9,6,False,False,6.8
mobley_3682850,gradient12,C1CCC(=O)CC1,0.425507,0.4255070000000005,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,17,10,False,False,6.8
mobley_1363784,other,Cc1cc(cnc1)C,0.498597,0.4985970000000002,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,17,9,False,False,6.7
mobley_2837389,other,c1cc[nH]c1,0.869351,-0.869351,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,10,5,False,False,6.7
mobley_9507933,certain47,Cc1ccc(nc1)C,0.168151,0.1681509999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,17,9,False,False,6.7
mobley_296847,other,c1ccncc1,0.019711,0.019711,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,6,11,5,False,False,6.7
mobley_8208692,other,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,1.309067,1.3090670000000002,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,20,22,2,False,False,6.17
mobley_4884177,other,CCc1cccnc1,0.166916,0.1669159999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,17,9,False,False,6.7
mobley_6714389,other,CN,0.445853,-0.4458530000000005,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,0,0.0,0,0,False,,2,7,5,False,False,6.7
mobley_2245668,certain47,CC(C)CO,0.048121,-0.048121,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,15,10,False,False,6.8
mobley_5973402,certain47,CC(C)CCO,0.234978,0.2349779999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,6,18,12,False,False,6.8
mobley_3546460,certain47,CCCCCCO,0.091769,0.0917690000000002,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,21,14,False,False,6.8
mobley_8311303,other,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,0.981506,0.981506,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,18,22,4,False,False,6.17
mobley_9741965,other,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],0.757753,-0.7577530000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,N:1;O:-1;N:1;O:-1,4,0.0,1,0,False,S,12,20,8,False,False,6.7.8
mobley_4603202,other,C(CCl)OCCCl,0.010166,-0.0101659999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,15,8,False,False,6.8.17
mobley_628086,other,C[C@@H](C(F)(F)F)O,0.181232,0.181232,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,1,0,False,S,7,12,5,False,False,6.8.9
mobley_4620651,gradient12,COC(=O)C1CC1,0.804883,0.8048829999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,15,8,False,False,6.8
mobley_7977115,certain47,CCC[C@H](CC)O,0.027464,-0.0274640000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,1,0,False,S,7,21,14,False,False,6.8
mobley_2789243,other,c1cc(cnc1)Cl,0.980047,-0.980047,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,11,4,False,False,6.7.17
mobley_3968739,certain47,COC(=O)c1ccccc1,0.150142,0.1501419999999997,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,18,8,False,False,6.8
mobley_63712,other,CN1CCCCC1,0.673839,0.6738390000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0,0.0,0,0,False,,7,20,13,False,False,6.7
mobley_1046331,other,c1ccc(cc1)OC=O,0.431888,0.4318879999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,15,6,False,False,6.8
mobley_1160109,certain47,C[C@@H]1CC[C@H](CC1=O)C(=C)C,0.152691,0.1526909999999999,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,2,0,False,R;R,11,27,16,False,False,6.8
mobley_4149784,other,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,0.304051,0.3040509999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,16,22,6,False,False,6.8.17
mobley_397645,certain47,CCOC(=O)c1ccccc1,0.218903,0.218903,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,11,21,10,False,False,6.8
mobley_4690963,other,CCOCCOCC,0.697987,-0.6979870000000004,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,22,14,False,False,6.8
mobley_1967551,certain47,CC=O,0.080715,-0.080715,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,3,7,4,False,False,6.8
mobley_6733657,other,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,1.828977,-1.828977,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,6,0,False,R;S;R;S;R;S,18,24,6,False,False,6.17
mobley_9565165,other,c1ccc-2c(c1)Cc3c2cccc3,0.212707,0.2127069999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,13,23,10,False,False,6
mobley_2487143,certain47,CCCCC(=O)C,0.037202,0.0372019999999997,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,19,12,False,False,6.8
mobley_8449031,gradient12,CCN(CC)CC,1.012433,1.012433,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0,0.0,0,0,False,,7,22,15,False,False,6.7
mobley_172879,other,c1ccc2c(c1)Oc3ccccc3O2,0.113362,-0.1133619999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,14,22,8,False,False,6.8
mobley_5346580,certain47,CC(=O)C(C)(C)C,0.176327,0.1763269999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,19,12,False,False,6.8
mobley_3573480,certain47,CCCCCC(=O)C,0.052288,-0.0522879999999998,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,22,14,False,False,6.8
mobley_1075836,certain47,CCC(=O)OC,0.13008,-0.1300799999999999,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,6,14,8,False,False,6.8
mobley_6102880,certain47,c1ccc(cc1)Oc2ccccc2,0.015531,0.0155310000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,13,23,10,False,False,6.8
mobley_1827204,certain47,CCCCCC=O,0.1297,-0.1297000000000001,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,19,12,False,False,6.8
mobley_2146331,other,C=O,1.092694,-1.0926939999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,2,4,2,False,False,6.8
mobley_7943327,certain47,CCC(=O)OCC,0.041188,-0.041188,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,17,10,False,False,6.8
mobley_5110043,other,Cc1ccc2cc(ccc2c1)C,0.304087,0.304087,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,12,24,12,False,False,6
mobley_5616693,other,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,0.66032,-0.66032,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,2,0,False,R;S,11,29,18,False,False,6.8
mobley_6619554,certain47,CCCCC(=O)OCC,0.067886,0.0678860000000001,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,23,14,False,False,6.8
mobley_6359156,other,c1ccc(cc1)c2cc(ccc2Cl)Cl,0.649604,-0.6496040000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,14,22,8,False,False,6.17
mobley_1781152,certain47,CC(C)(C)C(=O)OC,0.115716,0.1157159999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,20,12,False,False,6.8
mobley_859464,certain47,CC(C)COC(=O)C,0.097102,-0.097102,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,20,12,False,False,6.8
mobley_7150646,isolated6,c1cc(ccc1Br)Br,0.546175,0.5461749999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,12,4,False,False,6.35
mobley_1592519,certain47,CCCCCC(=O)OCC,0.099261,0.0992609999999998,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,26,16,False,False,6.8
mobley_5538249,certain47,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,0.031378,-0.0313779999999996,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,15,22,7,False,False,6.17
mobley_6911232,certain47,CCOC,0.335707,0.3357070000000002,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,12,8,False,False,6.8
mobley_3269565,gradient12,CC(C)OC,0.454734,0.4547339999999997,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,15,10,False,False,6.8
mobley_2484519,certain47,c1ccc(cc1)CCl,0.134748,-0.1347479999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,15,7,False,False,6.17
mobley_7690440,isolated6,CSSC,0.474423,0.474423,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,10,6,False,False,6.16
mobley_3802803,certain47,CCCCCCO[N+](=O)[O-],0.079206,-0.0792060000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,N:1;O:-1,2,0.0,0,0,False,,10,23,13,False,False,6.7.8
mobley_1144156,certain47,CCOCC,0.055814,0.055814,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,15,10,False,False,6.8
mobley_2481002,other,C([N+](=O)[O-])(Cl)(Cl)Cl,1.604438,-1.6044380000000005,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,N:1;O:-1,2,0.0,0,0,False,,7,7,0,False,False,6.7.8.17
mobley_2489709,certain47,c1ccc(c(c1)Cl)Cl,0.092989,0.0929889999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,12,4,False,False,6.17
mobley_5052949,gradient12,CCCSCCC,0.862238,0.8622380000000001,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,21,14,False,False,6.16
mobley_2492140,other,C(C(Cl)(Cl)Cl)(Cl)Cl,0.102875,-0.102875,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,8,1,False,False,6.17
mobley_7542832,certain47,CCCOCCC,0.021131,0.021131,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,21,14,False,False,6.8
mobley_7814642,certain47,c1cc(c(cc1Cl)Cl)Cl,0.346927,-0.346927,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,12,3,False,False,6.17
mobley_1563176,gradient12,CCCCS,0.3441,0.3440999999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,15,10,False,False,6.16
mobley_1873346,certain47,Cc1ccccc1,0.004793,-0.0047929999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,15,8,False,False,6
mobley_3040612,certain47,CCc1ccccc1C,0.158054,0.158054,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,21,12,False,False,6
mobley_4483973,gradient12,c1ccc(cc1)F,0.822318,-0.8223179999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,12,5,False,False,6.9
mobley_9913368,isolated6,C(=C/Cl)\Cl,0.973903,-0.973903,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,6,2,False,False,6.17
mobley_1449384,gradient12,Cc1ccc(cc1)C(C)C,0.416688,0.416688,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,24,14,False,False,6
mobley_7708038,certain47,CCCBr,0.007993,0.007993,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,11,7,False,False,6.35
mobley_8311321,other,C(F)(F)Cl,1.147372,1.1473719999999998,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,5,1,False,False,6.9.17
mobley_766666,isolated6,C(=C(Cl)Cl)Cl,0.410338,-0.410338,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,6,1,False,False,6.17
mobley_5445548,certain47,CC(C)c1ccccc1,0.092207,-0.0922069999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,9,21,12,False,False,6
mobley_9029594,other,CF,0.603781,-0.603781,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,2,5,3,False,False,6.9
mobley_3370989,other,CC(F)F,0.395943,0.395943,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,8,4,False,False,6.9
mobley_627267,certain47,CC(C)CBr,0.009062,-0.009062,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,14,9,False,False,6.35
mobley_6250025,certain47,CCCCCCI,0.226865,0.2268649999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,20,13,False,False,6.53
mobley_4252724,gradient12,CC(C)Cc1ccccc1,0.401738,-0.401738,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,10,24,14,False,False,6
mobley_7157427,certain47,CCCCCCCCl,0.087019,0.087019,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,23,15,False,False,6.17
mobley_8885088,isolated6,C1CC=CC1,0.44199,-0.44199,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,5,13,8,False,False,6
mobley_8522124,certain47,CCCCCCC#C,0.079021,0.079021,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,8,22,14,False,False,6
mobley_4678740,other,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,0.047235,0.0472349999999999,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,14,18,4,False,False,6.9
mobley_2689721,certain47,C1CCCCC1,0.134371,-0.134371,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,6,18,12,False,False,6
mobley_1662128,certain47,CCC=C,0.14215,-0.14215,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,4,12,8,False,False,6
mobley_4762983,certain47,CCCCCC=C,0.105555,0.105555,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.0,0,0,False,,7,21,14,False,False,6
