mol_id,group,full_best_sim,full_best_neighbor,full_top5_mean,full_top5_median,full_n_gt0p3,brp_best_sim,brp_best_neighbor,brp_top5_mean,brp_top5_median
mobley_397645,certain47,0.6428571428571429,CCDC_640507,0.5961538461538461,0.5769230769230769,835,0.4117647058823529,18_22152,0.38912846670199613,0.40540540540540543
mobley_1967551,certain47,0.36363636363636365,pubchem_2270,0.35627705627705625,0.36363636363636365,15,0.3333333333333333,pubchem_17737,0.2815384615384615,0.26666666666666666
mobley_2487143,certain47,0.7777777777777778,11_11388,0.6208212560386472,0.6,1191,0.55,pubchem_96211,0.4969565217391304,0.4782608695652174
mobley_8449031,gradient12,1.0,pubchem_1624,0.6164102564102564,0.5384615384615384,121,0.4117647058823529,pubchem_73358,0.37740467307030773,0.38461538461538464
mobley_5346580,certain47,0.6153846153846154,pubchem_235956,0.566007326007326,0.5714285714285714,509,0.5714285714285714,pubchem_4764,0.520952380952381,0.5
mobley_3573480,certain47,0.9411764705882353,11_11388,0.6568067226890756,0.6,1367,0.5714285714285714,pubchem_141106,0.5515151515151515,0.5454545454545454
mobley_1075836,certain47,0.65,10_75467,0.5821347933112639,0.5714285714285714,1375,0.5217391304347826,10_75612,0.48530020703933746,0.47619047619047616
mobley_6102880,certain47,1.0,CCDC_649799,0.6405513784461153,0.55,184,0.55,CCDC_861212,0.4539751552795031,0.45
mobley_1827204,certain47,0.9375,pubchem_23291,0.9375,0.9375,739,0.4583333333333333,pubchem_238496,0.4394927536231884,0.43478260869565216
mobley_7943327,certain47,0.6666666666666666,12_15281,0.6076190476190476,0.6,1545,0.6,pubchem_127316,0.5377865612648222,0.5217391304347826
mobley_6619554,certain47,0.8181818181818182,17_10777,0.745955957086392,0.7391304347826086,1717,0.6153846153846154,10_90650,0.5511396011396011,0.5384615384615384
mobley_1781152,certain47,0.5789473684210527,pubchem_34379,0.5568421052631579,0.55,548,0.5238095238095238,pubchem_19941,0.4789855072463768,0.47619047619047616
mobley_859464,certain47,0.6363636363636364,10_49117,0.6165367965367965,0.6190476190476191,849,0.52,10_59029,0.52,0.52
mobley_1592519,certain47,0.9523809523809523,17_10777,0.794982683982684,0.7083333333333334,1767,0.6,pubchem_120431,0.5342948367086298,0.5185185185185185
mobley_5538249,certain47,0.48,CCDC_733,0.42115151515151517,0.4090909090909091,54,0.39285714285714285,CCDC_657619,0.3276887000010732,0.3103448275862069
mobley_6911232,certain47,0.4666666666666667,pubchem_63974,0.4442424242424242,0.45454545454545453,116,0.4166666666666667,pubchem_22513,0.365,0.35
mobley_3269565,gradient12,1.0,pubchem_962,0.5599567099567099,0.45454545454545453,143,0.42857142857142855,10_60997,0.39763736263736266,0.4
mobley_2484519,certain47,0.5416666666666666,CCDC_478372,0.5207172342621259,0.5294117647058824,301,0.3793103448275862,12_25124,0.36658128078817737,0.36
mobley_3802803,certain47,0.42857142857142855,18_9349,0.42637362637362636,0.42857142857142855,331,0.42857142857142855,18_9532,0.41032967032967027,0.4
mobley_1144156,certain47,1.0,pubchem_10158,0.6216317016317017,0.5384615384615384,361,0.4666666666666667,pubchem_116993,0.4255555555555556,0.4166666666666667
mobley_2489709,certain47,0.5,CCDC_962552,0.43753246753246755,0.42857142857142855,61,0.42857142857142855,CCDC_484678,0.31295815295815294,0.2857142857142857
mobley_5052949,gradient12,0.7142857142857143,pubchem_5752,0.6461904761904762,0.625,191,0.6,pubchem_199520,0.5255555555555556,0.5555555555555556
mobley_7542832,certain47,0.6923076923076923,pubchem_15593,0.6467948717948718,0.625,341,0.6666666666666666,pubchem_181130,0.4819298245614035,0.4166666666666667
mobley_7814642,certain47,0.5,CCDC_135167,0.44714412024756856,0.4666666666666667,33,0.32142857142857145,CCDC_251658,0.2998938788412473,0.2972972972972973
mobley_1563176,gradient12,0.7142857142857143,19_25660,0.6714285714285715,0.7142857142857143,268,0.3888888888888889,pubchem_117166,0.3738429406850459,0.38095238095238093
mobley_1873346,certain47,0.47619047619047616,CCDC_579947,0.4413852813852814,0.45454545454545453,118,0.3684210526315789,CCDC_516419,0.32353584630472504,0.3157894736842105
mobley_3040612,certain47,0.6666666666666666,CCDC_475655,0.4350378787878788,0.375,32,0.36363636363636365,CCDC_667268,0.3234259906759907,0.32
mobley_4483973,gradient12,0.4666666666666667,CCDC_844066,0.43323013415892675,0.42105263157894735,80,0.391304347826087,CCDC_657619,0.32228832951945086,0.30434782608695654
mobley_1449384,gradient12,0.38095238095238093,CCDC_339968,0.36438095238095236,0.36666666666666664,8,0.36666666666666664,CCDC_468832,0.27217391304347827,0.2608695652173913
mobley_7708038,certain47,0.5,16_37793,0.4875,0.5,61,0.5,12_13174,0.4875,0.5
mobley_5445548,certain47,0.5294117647058824,19_26749,0.47992354287252664,0.4782608695652174,79,0.35714285714285715,CCDC_470472,0.3291048736210026,0.3225806451612903
mobley_627267,certain47,0.5,pubchem_29086,0.45939542483660123,0.4444444444444444,170,0.5,pubchem_29086,0.45939542483660123,0.4444444444444444
mobley_6250025,certain47,0.6153846153846154,13_28392,0.6153846153846154,0.6153846153846154,517,0.4444444444444444,10_93203,0.4444444444444445,0.4444444444444444
mobley_4252724,gradient12,0.5,CCDC_320710,0.496,0.5,104,0.32142857142857145,12_25148,0.31136217605482974,0.3103448275862069
mobley_7157427,certain47,0.6153846153846154,13_28392,0.6153846153846154,0.6153846153846154,732,0.45,16_12002,0.4455555555555556,0.4444444444444444
mobley_8522124,certain47,1.0,13_271,0.7964194373401534,0.7647058823529411,524,0.55,13_14216,0.5069565217391304,0.4782608695652174
mobley_2689721,certain47,1.0,17_4000,0.8666666666666666,1.0,27,0.3333333333333333,14_4327,0.3090909090909091,0.3333333333333333
mobley_1662128,certain47,0.47058823529411764,10_36457,0.41437908496732023,0.4117647058823529,222,0.3888888888888889,pubchem_124074,0.3797008547008547,0.375
mobley_4762983,certain47,0.9375,10_37466,0.7909280936454849,0.9375,761,0.48,10_36657,0.45661538461538465,0.46153846153846156
mobley_2068538,certain47,0.42857142857142855,CCDC_875186,0.38582251082251084,0.375,20,0.42857142857142855,pubchem_1545,0.35177489177489174,0.3333333333333333
mobley_5157661,certain47,0.42857142857142855,pubchem_162371,0.3880952380952381,0.375,19,0.3333333333333333,pubchem_174697,0.3333333333333333,0.3333333333333333
mobley_8436428,certain47,0.5384615384615384,pubchem_16506,0.5230769230769231,0.5384615384615384,222,0.4666666666666667,pubchem_42368,0.4288725490196078,0.4166666666666667
mobley_2197088,certain47,1.0,13_28392,1.0,1.0,1379,0.6153846153846154,10_93203,0.6153846153846154,0.6153846153846154
