mol_id,pred_seed42,pred_seed123,pred_seed7,pred_seed2024,pred_seed999,ensemble_mean,ensemble_std,true_value,abs_error,has_halogen_Br_I,mean_nll,is_gradient12,Q_std,Q_nll,UNION
mobley_4603202,-4.165332,-4.409647,-4.002153,-4.538322,-4.085375,-4.240166,0.225738,-4.23,0.010166,0,27.4277400970459,False,True,True,True
mobley_628086,-4.047447,-3.769578,-3.749326,-4.214906,-4.112581,-3.978768,0.209038,-4.16,0.181232,0,29.8229923248291,False,False,True,True
mobley_4620651,-3.278359,-3.177398,-3.243429,-3.355218,-3.421181,-3.295117,0.095282,-4.1,0.804883,0,25.82650375366211,True,False,False,False
mobley_7977115,-4.176212,-4.200891,-4.046945,-4.080787,-3.932484,-4.087464,0.107758,-4.06,0.027464,0,15.891538619995115,False,False,False,False
mobley_2789243,-4.784888,-4.742631,-5.041121,-5.011661,-5.369936,-4.990047,0.250348,-4.01,0.980047,0,28.1627254486084,False,True,True,True
mobley_3968739,-3.741112,-3.699178,-3.713633,-3.768308,-3.927059,-3.769858,0.091785,-3.92,0.150142,0,18.303123474121094,False,False,False,False
mobley_63712,-3.108272,-3.468978,-3.194524,-3.186476,-3.072557,-3.206161,0.155747,-3.88,0.673839,0,19.93496322631836,False,False,False,False
mobley_1046331,-3.363668,-3.209942,-3.363309,-3.348309,-3.655334,-3.388112,0.162749,-3.82,0.431888,0,20.0758056640625,False,False,False,False
mobley_1160109,-3.631805,-3.617125,-3.437896,-3.607825,-3.691894,-3.597309,0.094937,-3.75,0.152691,0,19.15077781677246,False,False,False,False
mobley_4149784,-3.225137,-3.224169,-3.380556,-3.350885,-3.648996,-3.365949,0.173555,-3.67,0.304051,0,24.373401641845703,False,False,False,False
mobley_397645,-3.435672,-3.354809,-3.366055,-3.37979,-3.569157,-3.421097,0.088408,-3.64,0.218903,0,18.238615036010746,False,False,False,False
mobley_4690963,-4.231717,-4.361667,-4.04027,-4.573195,-3.983086,-4.237987,0.240711,-3.54,0.697987,0,17.62209129333496,False,True,False,True
mobley_1967551,-3.576121,-3.533798,-3.608667,-3.521596,-3.663391,-3.580715,0.057736,-3.5,0.080715,0,29.514589309692383,False,False,True,True
mobley_6733657,-5.221181,-5.130185,-4.798884,-5.533236,-5.661397,-5.268977,0.341453,-3.44,1.828977,0,47.29243469238281,False,True,True,True
mobley_9565165,-3.044209,-2.884348,-3.189108,-3.22124,-3.347562,-3.137293,0.177898,-3.35,0.212707,0,17.96059226989746,False,False,False,False
mobley_2487143,-3.269985,-3.170498,-3.11506,-3.327645,-3.330802,-3.242798,0.096472,-3.28,0.037202,0,16.12025260925293,False,False,False,False
mobley_8449031,-2.265418,-2.394513,-2.174604,-2.151339,-2.051963,-2.207567,0.129186,-3.22,1.012433,0,20.45145797729492,True,False,False,False
mobley_172879,-3.100978,-3.052579,-3.383069,-3.302023,-3.478159,-3.263362,0.182181,-3.15,0.113362,0,16.30828285217285,False,False,False,False
mobley_5346580,-2.963547,-3.087888,-2.743643,-3.007351,-2.865935,-2.933673,0.133044,-3.11,0.176327,0,20.684118270874023,False,False,False,False
mobley_3573480,-3.13491,-3.035333,-2.955529,-3.148235,-3.187431,-3.092288,0.094797,-3.04,0.052288,0,14.76617431640625,False,False,False,False
mobley_1075836,-3.003567,-3.009275,-3.008442,-3.173164,-3.105954,-3.06008,0.076377,-2.93,0.13008,0,22.85245132446289,False,False,False,False
mobley_6102880,-2.786055,-2.689358,-2.938466,-2.806354,-3.052112,-2.854469,0.141753,-2.87,0.015531,0,15.80079746246338,False,False,False,False
mobley_1827204,-2.93804,-2.91554,-2.958435,-2.967783,-2.918704,-2.9397,0.023275,-2.81,0.1297,0,15.053662300109863,False,False,False,False
mobley_2146331,-3.891891,-3.664262,-3.727364,-3.609844,-4.320111,-3.842694,0.2871,-2.75,1.092694,0,40.45158767700195,False,True,True,True
mobley_7943327,-2.680725,-2.655967,-2.678494,-2.870196,-2.720559,-2.721188,0.086484,-2.68,0.041188,0,20.64830017089844,False,False,False,False
mobley_5110043,-2.262045,-2.1088,-2.416228,-2.329369,-2.513124,-2.325913,0.15365,-2.63,0.304087,0,17.0277156829834,False,False,False,False
mobley_5616693,-3.329494,-3.369529,-2.988551,-3.000066,-3.263959,-3.19032,0.182904,-2.53,0.66032,0,17.611948013305664,False,False,False,False
mobley_6619554,-2.417729,-2.369096,-2.387754,-2.554644,-2.381348,-2.422114,0.076218,-2.49,0.067886,0,17.660093307495117,False,False,False,False
mobley_6359156,-3.091326,-2.953408,-3.052056,-3.001774,-3.449454,-3.109604,0.196957,-2.46,0.649604,0,21.71708869934082,False,False,False,False
mobley_1781152,-2.281577,-2.414035,-2.129731,-2.448071,-2.148007,-2.284284,0.146737,-2.4,0.115716,0,21.308786392211918,False,False,False,False
mobley_859464,-2.44652,-2.458984,-2.337169,-2.578629,-2.464206,-2.457102,0.085614,-2.36,0.097102,0,19.513187408447266,False,False,False,False
mobley_7150646,-1.72593,-1.662115,-1.745295,-1.782719,-1.853066,-1.753825,0.070614,-2.3,0.546175,1,23.14629173278809,False,False,False,False
mobley_1592519,-2.121608,-2.07091,-2.096972,-2.292707,-2.0715,-2.130739,0.092933,-2.23,0.099261,0,15.79533863067627,False,False,False,False
mobley_5538249,-2.126223,-2.127823,-2.19995,-2.110646,-2.392247,-2.191378,0.117499,-2.16,0.031378,0,24.65094757080078,False,False,False,False
mobley_6911232,-1.740984,-1.900673,-1.7244,-1.774375,-1.681034,-1.764293,0.083319,-2.1,0.335707,0,24.964269638061523,False,False,False,False
mobley_3269565,-1.575637,-1.650766,-1.482517,-1.524451,-1.542959,-1.555266,0.063104,-2.01,0.454734,0,19.2954158782959,True,False,False,False
mobley_2484519,-2.011054,-2.022853,-2.063879,-2.062289,-2.163667,-2.064748,0.060062,-1.93,0.134748,0,22.22284698486328,False,False,False,False
mobley_7690440,-1.507251,-1.34321,-1.321452,-1.201991,-1.403982,-1.355577,0.112087,-1.83,0.474423,0,34.87212371826172,False,False,True,True
mobley_3802803,-1.682614,-1.658407,-1.759314,-1.864906,-1.730789,-1.739206,0.080633,-1.66,0.079206,0,17.608179092407227,False,False,False,False
mobley_1144156,-1.514696,-1.597064,-1.488261,-1.646922,-1.423985,-1.534186,0.088454,-1.59,0.055814,0,17.81214141845703,False,False,False,False
mobley_2481002,-3.163068,-3.401357,-2.566416,-2.474112,-3.667239,-3.054438,0.520246,-1.45,1.604438,0,337.94158935546875,False,True,True,True
mobley_2489709,-1.179184,-1.203728,-1.29054,-1.345888,-1.315717,-1.267011,0.072225,-1.36,0.092989,0,31.426607131958008,False,False,True,True
mobley_5052949,-0.52697,-0.407481,-0.326929,-0.401911,-0.425521,-0.417762,0.071753,-1.28,0.862238,0,17.319772720336914,True,False,False,False
mobley_2492140,-1.531144,-1.424706,-1.160364,-1.095178,-1.452981,-1.332875,0.192632,-1.23,0.102875,0,93.71989440917967,False,False,True,True
mobley_7542832,-1.14524,-1.23546,-1.043577,-1.210734,-1.059334,-1.138869,0.086518,-1.16,0.021131,0,16.800212860107422,False,False,False,False
mobley_7814642,-1.384256,-1.444906,-1.450135,-1.47453,-1.580806,-1.466927,0.071812,-1.12,0.346927,0,31.99291038513184,False,False,True,True
mobley_1563176,-0.725599,-0.800009,-0.561505,-0.480953,-0.661432,-0.6459,0.127154,-0.99,0.3441,0,16.607595443725586,True,False,False,False
mobley_1873346,-0.86671,-0.79082,-0.981538,-0.918147,-0.966751,-0.904793,0.078018,-0.9,0.004793,0,16.423986434936523,False,False,False,False
mobley_3040612,-0.690338,-0.580153,-0.760586,-0.694169,-0.734483,-0.691946,0.068967,-0.85,0.158054,0,17.54595947265625,False,False,False,False
mobley_4483973,-1.513025,-1.452694,-1.714413,-1.738739,-1.692718,-1.622318,0.130105,-0.8,0.822318,0,17.20378303527832,True,False,False,False
mobley_9913368,-1.826828,-1.821521,-1.63722,-1.621848,-1.862097,-1.753903,0.114728,-0.78,0.973903,0,35.98849868774414,False,False,True,True
mobley_1449384,-0.302322,-0.188517,-0.287102,-0.203935,-0.334685,-0.263312,0.063839,-0.68,0.416688,0,18.005281448364258,True,False,False,False
mobley_7708038,-0.528852,-0.6331,-0.451711,-0.583574,-0.5628,-0.552007,0.06761,-0.56,0.007993,1,23.22383689880371,False,False,False,False
mobley_8311321,0.701978,0.717799,0.616158,0.310894,0.890032,0.647372,0.212731,-0.5,1.147372,0,42.21109008789063,False,False,True,True
mobley_766666,-0.725555,-0.917662,-0.76871,-1.006353,-0.833409,-0.850338,0.113351,-0.44,0.410338,0,44.18098831176758,False,False,True,True
mobley_5445548,-0.428445,-0.331528,-0.409408,-0.348202,-0.443451,-0.392207,0.049632,-0.3,0.092207,0,17.361597061157227,False,False,False,False
mobley_9029594,-0.951281,-0.832222,-0.804431,-0.583578,-0.947392,-0.823781,0.149732,-0.22,0.603781,0,34.30436325073242,False,False,True,True
mobley_3370989,0.306688,0.351657,0.355676,0.002557,0.413135,0.285943,0.162863,-0.11,0.395943,0,28.493553161621094,False,False,True,True
mobley_627267,-0.07541,-0.171321,0.108811,-0.019721,-0.037667,-0.039062,0.101311,-0.03,0.009062,1,20.21213722229004,False,False,False,False
mobley_6250025,0.237921,0.241024,0.437072,0.335431,0.282879,0.306865,0.082815,0.08,0.226865,1,14.203697204589844,False,False,False,False
mobley_4252724,-0.263039,-0.242933,-0.203251,-0.201662,-0.297807,-0.241738,0.040885,0.16,0.401738,0,15.91407299041748,True,False,False,False
mobley_7157427,0.35127,0.272694,0.407098,0.396176,0.457856,0.377019,0.069558,0.29,0.087019,0,15.58969783782959,False,False,False,False
mobley_8885088,0.168742,0.111087,0.004349,0.080828,0.225043,0.11801,0.08423,0.56,0.44199,0,23.851533889770508,False,False,False,False
mobley_8522124,0.74427,0.805795,0.781978,0.829361,0.7837,0.789021,0.03158,0.71,0.079021,0,16.342506408691406,False,False,False,False
mobley_4678740,1.110734,0.987677,1.257059,0.909607,1.321098,1.117235,0.17396,1.07,0.047235,0,28.09212684631348,False,False,True,True
mobley_2689721,1.109857,0.975603,1.040895,1.153945,1.197845,1.095629,0.088675,1.23,0.134371,0,15.594868659973145,False,False,False,False
mobley_1662128,1.214554,1.280815,1.182654,1.252917,1.258308,1.23785,0.03899,1.38,0.14215,0,18.577306747436523,False,False,False,False
mobley_4762983,1.727566,1.77779,1.736744,1.793471,1.792203,1.765555,0.031274,1.66,0.105555,0,15.232205390930176,False,False,False,False
mobley_7732703,2.335266,2.428259,2.490537,2.099412,2.642041,2.399103,0.20132,1.79,0.609103,1,42.57040786743164,False,False,True,True
mobley_2068538,1.690307,1.660417,1.669111,1.713835,1.816855,1.710105,0.063148,2.0,0.289895,0,18.767623901367188,False,False,False,False
mobley_5157661,2.229164,2.141723,2.23458,2.301239,2.353644,2.25207,0.080221,2.3,0.04793,0,19.79307746887207,False,False,False,False
mobley_1261349,2.596068,2.243698,2.655707,2.562426,2.843199,2.58022,0.217181,2.51,0.07022,0,31.480579376220703,False,False,True,True
mobley_2328633,1.629904,1.487859,1.546502,1.556241,1.956532,1.635408,0.186476,2.55,0.914592,0,16.469675064086914,False,False,False,False
mobley_8436428,2.723793,2.540455,2.800068,2.784194,2.919253,2.753553,0.138614,2.83,0.076447,0,16.687522888183594,False,False,False,False
mobley_3060426,2.982223,2.568899,3.174069,3.055307,3.330133,3.022126,0.28551,2.93,0.092126,0,21.520679473876957,False,True,False,True
mobley_2197088,3.104929,3.112699,3.134684,3.248343,3.322007,3.184532,0.096115,3.16,0.024532,0,12.76573371887207,False,False,False,False
