cid,exp,raw,gims,uniform,vw,Lambda,N
6854,-3.9100,-5.9736,-4.7283,-4.9286,-4.6545,0.955036,22
6884,-1.4300,-5.3516,-3.5197,-3.7845,-3.4645,0.936792,16
6950,-6.4200,-9.7494,-6.3202,-6.8692,-6.2784,0.954164,29
7017,-1.6100,-6.0696,-4.9349,-5.1178,-4.8746,0.955337,23
7055,-2.3000,-5.8057,-4.5125,-4.7252,-4.4976,0.959112,21
7153,-10.0500,-7.3235,-5.4024,-5.7070,-5.3161,0.952424,25
7204,-10.5200,-6.2027,-4.7459,-4.9741,-4.6666,0.950275,22
7280,-2.6400,-3.0472,-2.3720,-2.4763,-2.3518,0.947783,11
7328,1.5200,-9.1049,-6.5525,-6.9113,-6.5238,0.932484,30
7430,-7.7500,-5.2776,-3.4767,-3.7698,-3.4344,0.957173,16
7460,0.4800,-7.6317,-5.6308,-5.9383,-5.6296,0.946931,26
7461,0.0300,-7.6600,-5.6208,-5.9439,-5.6353,0.952284,26
7462,0.2000,-7.8777,-5.6310,-5.9872,-5.6456,0.952369,26
7541,-10.8400,-6.4252,-4.6045,-4.8482,-4.6246,0.925229,21
7847,-3.4100,-1.5832,-1.6926,-1.6752,-1.6830,0.952564,8
7944,-1.8600,-5.9212,-4.5450,-4.7481,-4.5316,0.940134,21
8268,-6.8300,-8.4101,-6.2755,-6.6032,-6.2471,0.946742,29
8305,-7.8400,-7.5928,-5.4666,-5.7605,-5.4232,0.929940,25
8330,-1.6800,-4.0709,-3.0812,-3.1899,-3.0658,0.900306,14
8427,-10.9200,-6.4171,-4.7826,-5.0167,-4.6924,0.935340,22
8630,-5.5400,-5.0504,-3.7414,-3.8948,-3.5881,0.907744,17
8800,-8.0700,-7.8148,-5.2248,-5.6345,-5.2153,0.951970,24
9154,-4.2400,-7.3244,-5.5883,-5.8773,-5.5488,0.961411,26
9161,-3.1300,-5.3264,-4.2898,-4.4599,-4.2579,0.958678,20
9171,-5.0100,-8.8414,-6.4615,-6.8590,-6.4288,0.962089,30
9195,-4.0500,-8.2535,-6.2362,-6.5721,-6.2031,0.961494,29
9272,-6.1000,-8.4562,-6.0643,-6.4423,-6.0168,0.951813,28
9298,-3.9300,-8.0789,-5.2611,-5.6869,-5.2311,0.944055,24
9502,-7.5400,-8.7156,-5.4573,-5.9835,-5.4675,0.955729,25
9864,-11.9200,-0.5641,-1.0003,-0.9626,-0.9246,0.877314,5
10522,-6.8700,-10.3783,-7.5738,-8.0147,-7.5090,0.950895,35
10788,-11.0400,-6.2977,-4.1490,-4.4827,-4.1591,0.948711,19
10800,-6.9200,-6.8070,-4.3581,-4.7539,-4.2896,0.955919,20
11167,-2.7000,-1.6665,-1.4945,-1.5217,-1.4915,0.951907,7
11463,0.0400,-8.0009,-5.6301,-6.0116,-5.6522,0.955121,26
11724,-2.4600,-3.0953,-1.7346,-1.9755,-1.7302,0.973825,8
11839,-2.4200,-4.0683,-3.4265,-3.5296,-3.3974,0.954812,16
12259,-2.3500,-3.6379,-2.3924,-2.5936,-2.3812,0.955801,11
12307,-2.1500,-4.3772,-3.0327,-3.2507,-3.0128,0.956531,14
12541,-6.7400,-8.1740,-5.8401,-6.2161,-5.8100,0.955329,27
12724,1.9100,-4.8295,-3.8777,-4.0210,-3.8747,0.943421,18
12898,-12.8000,-10.2943,-6.9504,-7.4877,-6.9948,0.954824,32
12901,-8.9400,-10.1572,-6.7294,-7.2904,-6.6864,0.958233,31
12932,-7.5300,-13.9303,-10.1827,-10.7614,-10.2820,0.947729,47
12968,-4.0900,-8.5764,-6.6830,-6.9764,-6.6868,0.948390,31
13257,-3.6800,-7.9625,-5.8166,-6.1741,-5.7938,0.961619,27
13290,-10.7600,-12.1548,-8.5032,-9.0479,-8.5176,0.941922,39
13526,-8.1200,-8.2274,-5.8367,-6.2267,-5.8285,0.957639,27
13676,-4.8800,-8.4096,-6.2507,-6.6031,-6.2148,0.957737,29
13709,-9.0200,-9.4658,-5.9795,-6.4727,-5.9337,0.933445,27
13728,-12.0600,-10.7675,-7.5522,-8.0920,-7.5284,0.963079,35
13904,-10.5100,-9.3306,-6.3475,-6.7860,-6.3784,0.939495,29
14145,-7.8900,-9.4050,-6.2946,-6.8008,-6.3244,0.957166,29
14322,-7.4100,-6.5744,-4.9530,-5.2180,-4.9309,0.957983,23
14337,-5.0700,-10.1997,-7.5786,-7.9792,-7.5928,0.946011,35
14896,0.6100,-8.0200,-5.7031,-6.0154,-5.7272,0.926273,26
14994,-4.5900,-10.5363,-6.3965,-7.0255,-6.3035,0.944980,29
15331,-10.7000,-6.7362,-4.9831,-5.2502,-4.8292,0.945429,23
15438,-9.5200,-9.2824,-6.0948,-6.6063,-6.0800,0.954587,28
15533,-3.9300,-9.5716,-7.9498,-8.1947,-7.8988,0.943933,37
15575,-1.9300,-4.8401,-3.0518,-3.3427,-3.0364,0.957092,14
15629,-7.6800,-8.4495,-5.4584,-5.9306,-5.4516,0.951657,25
15788,-3.7900,-8.1185,-5.4642,-5.8649,-5.3894,0.943885,25
15910,-0.8900,-4.0797,-3.0956,-3.1917,-3.0730,0.888117,14
15965,-10.5800,-4.1383,-3.4653,-3.5435,-3.3969,0.906740,16
16004,-4.1800,-4.1110,-3.0658,-3.1979,-2.9887,0.917286,14
16007,-7.0100,-7.0520,-4.9788,-5.3129,-4.9676,0.955335,23
16073,-8.8100,-7.5978,-5.4116,-5.7615,-5.3725,0.954100,25
16115,-10.4000,-11.1225,-7.5781,-8.1625,-7.5612,0.959634,35
16116,-11.6900,-11.1928,-8.0300,-8.5167,-8.0095,0.947127,37
16181,-3.3700,-11.1225,-8.0644,-8.5027,-8.0390,0.935496,37
16248,-5.8300,-9.4045,-6.4843,-6.9708,-6.4643,0.961589,30
16422,-5.7300,-8.1661,-5.2483,-5.7042,-5.2196,0.949833,24
16562,-9.5200,-8.1859,-5.8203,-6.2185,-5.8577,0.963586,27
16653,-5.7900,-8.5245,-6.2735,-6.6259,-6.2816,0.950164,29
16774,-8.5300,-10.6386,-7.7981,-8.2365,-7.7816,0.947649,36
16945,-0.6300,1.2669,-4.4673,-3.4906,-4.5164,0.965915,22
17040,-6.9000,-7.7972,-5.6132,-5.9712,-5.6048,0.958493,26
17100,-5.5200,-8.7034,-6.3203,-6.6615,-6.2897,0.935304,29
17109,-7.6400,-6.0755,-4.5462,-4.7787,-4.5122,0.945086,21
17168,-6.8400,-8.8876,-5.6583,-6.1877,-5.6391,0.958557,26
17169,-6.0300,-7.5523,-5.8116,-6.0926,-5.6951,0.955685,27
17345,-11.3900,-8.8336,-5.6574,-6.1770,-5.6481,0.958143,26
17435,-5.8100,-11.0844,-7.7842,-8.3250,-7.7491,0.958465,36
17516,-7.4200,-9.6249,-6.9142,-7.3548,-6.8969,0.956924,32
17522,-4.9800,-7.5508,-5.3938,-5.7521,-5.3456,0.961047,25
17581,-3.2500,-6.8216,-4.3457,-4.7568,-4.3270,0.960982,20
17607,-9.5900,-0.5799,-1.0574,-0.9657,-1.0551,0.991878,5
18290,-9.4100,-8.0728,-5.4196,-5.8558,-5.4254,0.959089,25
18937,1.0400,-6.0567,-5.3479,-5.4554,-5.3442,0.944668,25
19395,-5.4800,-10.4568,-7.9938,-8.3705,-7.9643,0.946094,37
19588,-9.0900,-9.5157,-6.9137,-7.3331,-6.8805,0.955374,32
19657,-4.1800,-7.0167,-4.7710,-5.1358,-4.7437,0.956821,22
19662,-13.9100,-6.3241,-4.5736,-4.8281,-4.5159,0.937756,21
20105,-8.4600,-11.7085,-8.2911,-8.7892,-8.3349,0.938129,38
20965,-4.5400,-9.2010,-6.5288,-6.9304,-6.4982,0.943132,30
21307,-10.8400,-8.7753,-6.2616,-6.6757,-6.2327,0.959460,29
21803,-5.2700,-7.2927,-5.0487,-5.3607,-5.0329,0.930801,23
22206,-7.8900,-10.2843,-6.8005,-7.3156,-6.8471,0.940448,31
22933,-4.4600,-6.4149,-3.7247,-4.1657,-3.7314,0.958539,17
23421,-12.5900,-8.9705,-6.2716,-6.7145,-6.2422,0.958741,29
23715,-8.1900,-10.5045,-7.3875,-7.8697,-7.3424,0.948063,34
23717,-9.4600,-11.7962,-8.6446,-9.1468,-8.6298,0.953323,40
24726,-1.5100,-2.2625,-1.9323,-1.9802,-1.9389,0.937526,9
24743,-11.2300,-11.2612,-8.1996,-8.7004,-8.1483,0.958108,38
24744,-14.2900,-11.8350,-8.2268,-8.8143,-8.1979,0.957273,38
24781,-9.8400,-3.5675,-2.5972,-2.7497,-2.5162,0.950889,12
25429,-12.5600,-7.6231,-5.0127,-5.4263,-5.0237,0.952292,23
25572,-11.4400,-10.9208,-7.5753,-8.1224,-7.5606,0.958100,35
25670,-4.1600,-11.4253,-7.8962,-8.3928,-7.8913,0.932634,36
25763,-7.6600,-9.4662,-6.7221,-7.1532,-6.5880,0.950749,31
25912,-9.2100,-8.6645,-5.4739,-5.9733,-5.4523,0.950117,25
26033,-6.9600,-14.0365,-9.5564,-10.2721,-9.5430,0.953768,44
26124,-7.8100,-10.1600,-7.3526,-7.8012,-7.3081,0.953819,34
26576,-15.2100,-12.5955,-8.4348,-9.1355,-8.4344,0.963676,39
27189,-10.2100,-12.3619,-8.8505,-9.4293,-8.8358,0.959564,41
27375,-10.4800,-8.8666,-5.8618,-6.3537,-5.8667,0.958272,27
28292,-6.1900,-10.0672,-7.3384,-7.7828,-7.2843,0.957313,34
29216,-12.3500,-8.2813,-5.6640,-6.0673,-5.6893,0.947397,26
29863,-8.5000,-9.5668,-6.0860,-6.6628,-6.0865,0.960586,28
30709,-5.4500,-9.6508,-6.5204,-7.0197,-6.4951,0.953497,30
30773,-13.5300,-9.2118,-6.3564,-6.7624,-6.4224,0.934240,29
31070,-10.1000,-12.2822,-8.8598,-9.4134,-8.8361,0.956049,41
31200,-8.5300,-9.8841,-6.3048,-6.8960,-6.2651,0.959945,29
31573,-8.7500,-11.9814,-8.3354,-8.8434,-8.3535,0.931146,38
31657,-10.9500,-8.8610,-5.8881,-6.3526,-5.8816,0.949769,27
31677,-7.4100,-13.3313,-10.1264,-10.6424,-10.1000,0.955181,47
32154,-5.6100,-9.0832,-5.9015,-6.3967,-5.8567,0.949128,27
32230,-9.1900,-14.1521,-10.5863,-11.1456,-10.5585,0.950491,49
32594,-3.6900,-8.6683,-5.6534,-6.1442,-5.5959,0.957221,26
32739,-2.6300,-6.9677,-4.9795,-5.2961,-4.9487,0.953184,23
32872,-7.6000,-13.4482,-9.9382,-10.4955,-9.9108,0.952660,46
32876,-4.1500,-7.9805,-6.0423,-6.3478,-6.0243,0.951350,28
32921,-10.7900,-6.5398,-4.8500,-5.0410,-5.0569,0.903565,22
33135,-4.4000,-6.3897,-4.3332,-4.6710,-4.2918,0.958921,20
33294,-10.2900,-11.5051,-8.4173,-8.9189,-8.3929,0.956826,39
33360,-7.9500,-12.1752,-8.0640,-8.7118,-8.0256,0.951285,37
33443,-9.3500,-10.9173,-7.6449,-8.1218,-7.7004,0.938091,35
33565,-9.3000,-10.3832,-7.8973,-8.1858,-8.1275,0.906594,36
33775,-10.8300,-8.3568,-6.2494,-6.5926,-6.2652,0.957324,29
34192,-6.7700,-9.4038,-6.9226,-7.3109,-6.9218,0.950071,32
34469,-6.5900,-13.2329,-8.8989,-9.6022,-8.8629,0.956643,41
34526,-6.2200,-13.2396,-8.4975,-9.2634,-8.5107,0.955766,39
34766,-8.4900,-8.4556,-6.4613,-6.7824,-6.4336,0.955146,30
35823,-2.9400,-6.8846,-4.8006,-5.1095,-4.7559,0.940893,22
36187,-3.2100,-6.9919,-4.7984,-5.1308,-4.7747,0.944552,22
36188,-3.6100,-6.7150,-4.7855,-5.0758,-4.7420,0.943350,22
36231,-3.1500,-7.1063,-4.8418,-5.1536,-4.8213,0.929353,22
36242,-4.5600,-10.2111,-6.3655,-6.9609,-6.3050,0.948214,29
36324,-5.9900,-14.0435,-9.7398,-10.4436,-9.7251,0.958094,45
36565,-5.0500,-14.4416,-9.1930,-10.0124,-9.1372,0.949660,42
36584,-9.1800,-11.9091,-7.6950,-8.3187,-7.7445,0.940616,35
36606,-3.8700,-13.9517,-9.7538,-10.4254,-9.6993,0.954036,45
36679,-11.4900,-10.6685,-7.1537,-7.7321,-7.1579,0.959281,33
36867,-5.8500,-9.4870,-6.9166,-7.3274,-6.9073,0.953850,32
36879,-10.4200,-8.2597,-5.6334,-6.0630,-5.6077,0.958129,26
37123,-9.1900,-9.4797,-6.5508,-6.9857,-6.5315,0.941164,30
37125,-6.0700,-10.8694,-7.9928,-8.4524,-7.9459,0.953798,37
37175,-12.4200,-10.2036,-7.1563,-7.6398,-7.1200,0.952534,33
37419,-3.6200,-12.7188,-9.1332,-9.6702,-9.0989,0.942576,42
37523,-3.3000,-13.0507,-9.5271,-10.0764,-9.5519,0.949386,44
37995,-6.4300,-11.4121,-7.6048,-8.2200,-7.5708,0.955858,35
38090,-8.6000,-13.5684,-9.3194,-10.0091,-9.2977,0.956687,43
38235,-8.7700,-10.3940,-6.9646,-7.5075,-6.9087,0.952135,32
38479,-4.4900,-13.3369,-8.5298,-9.2827,-8.4762,0.950228,39
38779,-8.4600,-9.4777,-7.1234,-7.4956,-7.1060,0.951926,33
38854,-15.5800,-8.1809,-5.4305,-5.8773,-5.4041,0.956815,25
38884,-8.7500,-13.9109,-9.7527,-10.4173,-9.7322,0.953853,45
39040,-12.1400,-6.8926,-4.3643,-4.7709,-4.3404,0.954971,20
39223,-6.3800,-10.9184,-7.6815,-8.1220,-7.8598,0.927636,35
39230,-5.4100,-10.3427,-6.7753,-7.3272,-6.7307,0.948093,31
39327,-6.0200,-10.3938,-7.5366,-8.0178,-7.5262,0.963697,35
39385,-11.5700,-12.6652,-7.8566,-8.6390,-7.7896,0.957125,36
39656,-2.0200,-5.1829,-3.4903,-3.7510,-3.4645,0.947278,16
39681,-5.9300,-11.1579,-7.8057,-8.3396,-7.7638,0.953228,36
39965,-13.7800,-12.2658,-8.2929,-8.8999,-8.3470,0.945910,38
39985,-5.5900,-11.3338,-7.8086,-8.3746,-7.7732,0.954684,36
40032,-12.4100,-9.3391,-6.7120,-7.1279,-6.6997,0.952134,31
40087,-14.8400,-7.5892,-4.9961,-5.4196,-4.9813,0.957807,23
40326,-5.9300,-14.3573,-9.9609,-10.6761,-9.8964,0.957094,46
40413,1.0700,-11.5033,-8.4060,-8.9186,-8.3695,0.960314,39
40479,-3.1200,-6.9825,-4.8250,-5.1290,-4.7632,0.932827,22
40521,-9.2200,-12.2486,-8.2360,-8.8965,-8.2038,0.959293,38
40816,-8.8600,-10.9483,-8.3935,-8.8083,-8.3150,0.956758,39
41381,-3.1100,-12.5402,-8.0693,-8.7843,-8.0319,0.953955,37
41384,-5.0200,-17.8266,-12.5975,-13.4063,-12.5758,0.948037,58
41385,-12.0800,-7.2977,-4.8459,-5.1916,-4.8993,0.932925,22
41428,-10.1100,-5.2879,-3.9242,-4.1120,-3.8050,0.929376,18
41632,-8.7700,-11.6313,-8.4134,-8.9440,-8.3779,0.959614,39
41648,-10.8300,-11.0926,-7.0021,-7.6463,-6.9722,0.951183,32
42586,-10.9200,-13.4151,-8.8999,-9.6384,-8.8869,0.958119,41
42850,-9.5200,-11.7840,-7.6194,-8.2939,-7.6288,0.956271,35
43079,-9.2200,-10.7847,-8.1603,-8.6057,-8.1674,0.965221,38
43226,-8.9500,-10.6228,-7.3807,-7.8932,-7.3508,0.951849,34
43234,-9.7700,-12.2420,-8.4736,-9.0653,-8.4370,0.950650,39
44073,-9.2800,-9.2206,-6.6916,-7.1044,-6.6020,0.957719,31
44178,-8.5300,-10.3556,-7.7661,-8.1803,-7.7497,0.953991,36
47326,-4.7800,-14.8368,-10.6082,-11.2816,-10.5910,0.953188,49
47445,-9.0500,-9.8807,-7.3373,-7.7458,-7.3588,0.954735,34
47491,-10.7900,-11.8700,-7.8511,-8.3110,-7.9248,0.904953,35
47650,-2.8100,-6.9804,-4.8358,-5.1286,-4.7588,0.928091,22
47759,-8.0300,-14.2414,-11.1885,-11.6737,-11.0975,0.952810,52
47866,-17.2900,-6.7958,-4.8198,-5.0919,-4.8386,0.929366,22
47898,-6.3000,-11.5222,-8.4100,-8.9223,-8.3967,0.959319,39
47938,-8.3400,-12.8352,-8.8724,-9.5233,-8.8108,0.958894,41
49384,-8.8600,-11.8189,-7.6089,-8.3008,-7.6070,0.959021,35
50107,-10.1000,-10.4858,-7.3986,-7.8660,-7.4424,0.944362,34
50367,-5.1500,-13.8665,-9.5569,-10.2384,-9.5450,0.951933,44
50465,-9.3500,-5.6726,-4.3417,-4.5286,-4.2324,0.932314,20
50891,-2.9700,-6.8138,-4.8080,-5.0955,-4.7476,0.935464,22
50897,-7.6200,-13.4828,-10.1195,-10.6725,-10.0896,0.959103,47
51043,-3.2000,-6.8840,-4.7976,-5.1094,-4.7720,0.942195,22
51369,-7.6800,-14.5415,-10.1441,-10.8827,-10.1275,0.963182,47
51574,-9.9200,-11.0483,-7.0003,-7.6375,-6.9427,0.951098,32
51605,-10.1800,-12.1793,-8.8421,-9.3930,-8.8109,0.959839,41
52999,-13.7520,-13.9311,-9.1602,-9.7409,-9.3905,0.912456,41
53036,-2.9000,-6.6168,-4.7808,-5.0563,-4.7493,0.942935,22
53079,-3.5200,-12.0929,-8.6681,-9.2057,-8.6362,0.950637,40
53309,-10.1000,-14.1090,-8.7574,-9.6061,-8.6855,0.952451,40
53518,-6.4300,-13.4072,-9.3050,-9.9771,-9.2378,0.958412,43
53735,-13.6000,-12.6101,-8.2542,-8.9682,-8.2342,0.958520,38
54744,-13.2500,-13.4026,-8.8839,-9.6359,-8.8497,0.961400,41
54778,-7.9000,-9.8405,-6.5323,-7.0574,-6.4831,0.952614,30
54886,-8.2600,-17.1852,-12.5101,-13.2789,-12.4681,0.959131,58
54960,-18.5950,-15.8643,-10.1514,-10.9753,-10.2029,0.936459,46
55138,-4.4300,-12.5872,-8.6755,-9.3039,-8.6143,0.954784,40
55790,-7.7900,-9.8204,-6.7343,-7.2235,-6.6999,0.952360,31
56160,-17.9300,-13.9188,-9.2564,-9.9086,-9.2633,0.931728,42
61250,-1.9900,-5.8677,-4.3271,-4.5674,-4.2958,0.949466,20
61938,-9.4700,-9.1649,-6.0709,-6.5830,-6.0574,0.960363,28
62020,-4.4900,-10.6802,-8.1904,-8.5850,-8.1860,0.952338,38
62155,-6.3800,-13.6537,-8.5031,-9.3456,-8.5450,0.958122,39
62276,-7.7800,-13.8400,-9.9229,-10.5733,-9.9210,0.960955,46
62306,-7.5200,-8.4712,-5.8768,-6.2751,-5.8494,0.946782,27
62526,-5.6800,-6.5167,-5.3689,-5.5468,-5.3248,0.948392,25
62773,-6.9800,-8.9031,-5.8580,-6.3609,-5.8702,0.959933,27
63090,-3.2700,-7.0609,-4.8183,-5.1446,-4.7946,0.937844,22
66334,1.5900,-4.9211,-3.8816,-4.0392,-3.8726,0.944586,18
66461,-9.7300,-12.1030,-8.0959,-8.6974,-8.0199,0.942947,37
69537,-2.0100,-2.1197,-5.5156,-5.0137,-5.7074,0.940367,27
69619,-2.4900,-0.8848,-6.6762,-5.7891,-7.1094,0.946362,33
71245,-3.2900,-16.0765,-12.0867,-12.7185,-12.0494,0.952182,56
73282,-19.0700,-14.4374,-9.3433,-10.0116,-9.4916,0.922413,42
73665,-8.4400,-12.3643,-8.5168,-9.0895,-8.5225,0.941571,39
73669,-3.6600,-7.1819,-5.0621,-5.3387,-5.0451,0.921645,23
73672,-7.0300,-15.7973,-10.4221,-11.3023,-10.3714,0.958325,48
73674,-15.6600,-13.1280,-8.5358,-9.0711,-8.6515,0.907147,38
73675,-6.0900,-11.0539,-7.9631,-8.4891,-7.9303,0.965755,37
74883,-1.7800,-3.6076,-4.3823,-4.2886,-4.6274,0.911602,21
76998,-4.9000,-6.8367,-4.3453,-4.7598,-4.3165,0.961351,20
77338,-4.5800,-6.0108,-4.3303,-4.5958,-4.3102,0.951760,20
81091,-11.0200,-9.2079,-6.7246,-7.1019,-6.7448,0.944961,31
83975,-6.2400,-16.0126,-10.6339,-11.5151,-10.6143,0.958414,49
86102,-9.9600,-14.9940,-9.5570,-10.2922,-9.4952,0.926708,43
86138,-7.4600,-13.3217,-8.9132,-9.6199,-8.8882,0.954380,41
86173,-11.2200,-14.0714,-9.5496,-10.2791,-9.5060,0.955554,44
86268,-10.4900,-9.8580,-6.9952,-7.4011,-6.9974,0.933787,32
86296,-6.3700,-9.1511,-6.4771,-6.9205,-6.4431,0.960706,30
86315,-8.9000,-9.5896,-6.9511,-7.3478,-6.7973,0.943213,32
86354,-7.0700,-14.8857,-10.2728,-10.9511,-10.2276,0.939558,47
86356,-7.0200,-14.4212,-9.8038,-10.5187,-9.7635,0.948198,45
86398,-10.0200,-6.8777,-5.1780,-5.4484,-5.0912,0.952998,24
86417,-12.3000,-10.4516,-7.2599,-7.6891,-7.2887,0.925897,33
86418,-14.1900,-9.2870,-6.0088,-6.4372,-5.9805,0.921857,27
86438,-9.3300,-12.8383,-9.0800,-9.6940,-9.0296,0.957883,42
88916,-12.8000,-8.7142,-6.0565,-6.4935,-6.0215,0.959091,28
89299,-7.1100,-4.7862,-3.2728,-3.5021,-3.1803,0.944459,15
89300,-7.1600,-4.8956,-3.2731,-3.5238,-3.2273,0.947880,15
89393,-3.6900,-7.0364,-4.3796,-4.7995,-4.3719,0.951827,20
89563,-1.5100,-6.2493,-4.3456,-4.6432,-4.3204,0.949884,20
90590,-10.6300,-7.7437,-5.6044,-5.9606,-5.5698,0.961474,26
91612,-8.2800,-14.7558,-9.1548,-10.0748,-9.1229,0.958901,42
91644,-8.8400,-13.7138,-10.1512,-10.7184,-10.1362,0.953153,47
91650,-7.9700,-8.5243,-6.0439,-6.4558,-6.0178,0.960979,28
91656,-10.3200,-15.5210,-10.4323,-11.2474,-10.3739,0.954246,48
91664,-2.2300,-8.4468,-5.8687,-6.2703,-5.8086,0.949287,27
91665,-11.6700,-6.8377,-5.1665,-5.4404,-5.1475,0.958506,24
91679,-7.5900,-11.7501,-8.4338,-8.9676,-8.4333,0.955135,39
91686,-7.2900,-16.2865,-11.6713,-12.4200,-11.6228,0.956578,54
91687,-6.3800,-13.0126,-8.6819,-9.3884,-8.6390,0.957623,40
91689,-7.7700,-10.2412,-6.7608,-7.3071,-6.7064,0.950595,31
91693,-8.8200,-10.2768,-7.1967,-7.6543,-7.1551,0.941259,33
91694,-7.0700,-15.5243,-11.0815,-11.7583,-11.1247,0.945430,51
91699,-14.7600,-11.6733,-8.2369,-8.7822,-8.2090,0.952555,38
91716,-4.8900,-11.1116,-7.5737,-8.1603,-7.5425,0.960712,35
91724,-10.5000,-6.1227,-4.5669,-4.7881,-4.4380,0.934214,21
91726,-7.6600,-8.6710,-6.2676,-6.6550,-6.2378,0.955422,29
91727,-12.8700,-11.0039,-7.5923,-8.1390,-7.5576,0.954321,35
91734,-11.1800,-9.8583,-6.6412,-7.0609,-6.6992,0.921648,30
91735,-5.0000,-11.5981,-8.4032,-8.9374,-8.3859,0.962279,39
91740,-4.9800,-12.3602,-8.9086,-9.4289,-8.9258,0.943653,41
91741,-4.6300,-11.1795,-8.1059,-8.5140,-8.2003,0.924112,37
91742,-5.7800,-12.1589,-8.6460,-9.2189,-8.6017,0.957541,40
91743,-9.7600,-14.1535,-10.3468,-10.9758,-10.3207,0.960018,48
91747,-7.9000,-9.3213,-6.6992,-7.1244,-6.7213,0.956486,31
91752,-5.8400,-10.5473,-8.1862,-8.5586,-8.1314,0.951467,38
91754,-4.6800,-16.2142,-10.7576,-11.5551,-10.7258,0.938591,49
91756,-15.8400,-14.9376,-10.1789,-10.7913,-10.3189,0.919776,46
