id,exp,E_42,E_123,E_999,N
16073,-8.8100,-9.9313,-9.9255,-9.9351,25
16115,-10.4000,-12.5241,-12.5182,-12.5256,35
16116,-11.6900,-12.1563,-12.1428,-12.1612,37
16181,-3.3700,-4.8151,-4.8125,-4.8201,37
16248,-5.8300,-9.2025,-9.1991,-9.1996,30
16422,-5.7300,-6.4696,-6.4388,-6.4885,24
16562,-9.5200,-8.0117,-8.0098,-8.0151,27
16653,-5.7900,-4.4371,-4.4345,-4.4417,29
16774,-8.5300,-7.9296,-7.9061,-7.9361,36
16945,-0.6300,2.9084,2.8704,2.8085,22
17040,-6.9000,-8.2464,-8.2429,-8.2428,26
17100,-5.5200,-4.6876,-4.6846,-4.6891,29
17109,-7.6400,-8.4712,-8.4699,-8.4739,21
17168,-6.8400,-8.6421,-8.6089,-8.6496,26
17169,-6.0300,-12.8655,-12.8556,-12.8762,27
17345,-11.3900,-8.8209,-8.7950,-8.8239,26
17435,-5.8100,-8.4314,-8.4005,-8.4295,36
17516,-7.4200,-8.2060,-8.2024,-8.2029,32
17522,-4.9800,-8.2019,-8.1659,-8.2114,25
17581,-3.2500,-4.0576,-4.0586,-4.0603,20
17607,-9.5900,-4.2564,-4.2539,-4.2487,5
18290,-9.4100,-7.7689,-7.7647,-7.7611,25
18937,1.0400,0.1144,0.1125,0.1145,25
19395,-5.4800,-9.0920,-9.0303,-9.1161,37
19588,-9.0900,-8.7175,-8.7120,-8.7153,32
19657,-4.1800,-7.7121,-7.6747,-7.7203,22
19662,-13.9100,-9.6016,-9.5999,-9.6152,21
20105,-8.4600,-8.9501,-8.9557,-8.9628,38
20965,-4.5400,-6.7850,-6.7554,-6.8066,30
21307,-10.8400,-10.5701,-10.5602,-10.5705,29
21803,-5.2700,-8.0729,-8.0500,-8.1003,23
22206,-7.8900,-8.8924,-8.9005,-8.9050,31
22933,-4.4600,-4.6906,-4.6862,-4.6668,17
23421,-12.5900,-11.2357,-11.2302,-11.2274,29
23715,-8.1900,-7.8113,-7.8066,-7.8176,34
23717,-9.4600,-10.4244,-10.3828,-10.4391,40
24726,-1.5100,-2.4030,-2.4027,-2.4086,9
24743,-11.2300,-17.4303,-17.4185,-17.4285,38
24744,-14.2900,-17.0057,-16.9951,-17.0014,38
24781,-9.8400,-6.7028,-6.7000,-6.6984,12
25429,-12.5600,-12.3483,-12.3413,-12.3487,23
25572,-11.4400,-11.3776,-11.3697,-11.3742,35
25670,-4.1600,-3.8541,-3.8323,-3.8603,36
25763,-7.6600,-11.6951,-11.6902,-11.6789,31
25912,-9.2100,-7.8667,-7.8655,-7.8641,25
26033,-6.9600,-14.3390,-14.3040,-14.3503,44
26124,-7.8100,-11.7248,-11.6931,-11.7359,34
26576,-15.2100,-13.3606,-13.3534,-13.3545,39
27189,-10.2100,-10.0542,-10.0470,-10.0504,41
27375,-10.4800,-8.1395,-8.1378,-8.1429,27
28292,-6.1900,-10.7356,-10.7034,-10.7367,34
29216,-12.3500,-10.1487,-10.1479,-10.1546,26
29863,-8.5000,-8.3826,-8.3820,-8.3842,28
30709,-5.4500,-9.4497,-9.4276,-9.4620,30
30773,-13.5300,-9.9046,-9.9117,-9.9202,29
31070,-10.1000,-16.8841,-16.8764,-16.9081,41
31200,-8.5300,-9.3213,-9.2859,-9.3225,29
31573,-8.7500,-9.4980,-9.5010,-9.5099,38
31657,-10.9500,-8.5934,-8.5899,-8.5892,27
31677,-7.4100,-7.2087,-7.2110,-7.2080,47
32154,-5.6100,-8.2709,-8.2687,-8.2796,27
32230,-9.1900,-7.3908,-7.3671,-7.3993,49
32594,-3.6900,-5.9757,-5.9734,-5.9693,26
32739,-2.6300,-4.7254,-4.7011,-4.7344,23
32872,-7.6000,-17.1351,-17.1366,-17.1530,46
32876,-4.1500,-8.0576,-8.0547,-8.0585,28
32921,-10.7900,-9.8522,-9.8546,-9.8588,22
33135,-4.4000,-6.0165,-6.0158,-6.0097,20
33294,-10.2900,-7.7503,-7.7159,-7.7588,39
33360,-7.9500,-8.9472,-8.9345,-8.9380,37
33443,-9.3500,-10.3058,-10.3117,-10.3137,35
33565,-9.3000,-16.6052,-16.5963,-16.6237,36
33775,-10.8300,-8.9846,-8.9818,-8.9936,29
34192,-6.7700,-7.9012,-7.8968,-7.9049,32
34469,-6.5900,-13.0635,-13.0584,-13.0626,41
34526,-6.2200,-10.0604,-10.0363,-10.0745,39
34766,-8.4900,-9.5044,-9.4987,-9.5038,30
35823,-2.9400,-5.7941,-5.7991,-5.8175,22
36187,-3.2100,-6.0274,-6.0283,-6.0443,22
36188,-3.6100,-5.3445,-5.3506,-5.3682,22
36231,-3.1500,-5.4684,-5.4768,-5.4966,22
36242,-4.5600,-8.3278,-8.3278,-8.3356,29
36324,-5.9900,-7.5245,-7.5212,-7.5190,45
36565,-5.0500,-9.6622,-9.6579,-9.6467,42
36584,-9.1800,-10.5300,-10.5379,-10.5357,35
36606,-3.8700,-8.6464,-8.6423,-8.6309,45
36679,-11.4900,-8.0438,-8.0396,-8.0414,33
36867,-5.8500,-7.4233,-7.4202,-7.4285,32
36879,-10.4200,-8.5951,-8.5937,-8.5928,26
37123,-9.1900,-14.0260,-14.0222,-14.0343,30
37125,-6.0700,-8.5448,-8.5170,-8.5499,37
37175,-12.4200,-9.6643,-9.6552,-9.6646,33
37419,-3.6200,-15.4492,-15.4500,-15.4635,42
37523,-3.3000,-7.1330,-7.1271,-7.1311,44
37995,-6.4300,-11.0392,-11.0134,-11.0514,35
38090,-8.6000,-9.2111,-9.2075,-9.2128,43
38235,-8.7700,-7.6441,-7.6431,-7.6388,32
38479,-4.4900,-9.7308,-9.7269,-9.7164,39
38779,-8.4600,-6.8775,-6.8467,-6.8929,33
38854,-15.5800,-12.7280,-12.7153,-12.7262,25
38884,-8.7500,-7.1855,-7.1753,-7.1870,45
39040,-12.1400,-8.4376,-8.4332,-8.4371,20
39223,-6.3800,-10.3792,-10.3534,-10.3999,35
39230,-5.4100,-10.4946,-10.4938,-10.4910,31
39327,-6.0200,-8.8262,-8.8227,-8.8249,35
39385,-11.5700,-9.2758,-9.2665,-9.2728,36
39656,-2.0200,-3.0484,-3.0509,-3.0598,16
39681,-5.9300,-7.0119,-7.0095,-7.0146,36
39965,-13.7800,-7.3293,-7.3390,-7.3344,38
39985,-5.5900,-11.6364,-11.6329,-11.6392,36
40032,-12.4100,-10.0657,-10.0630,-10.0649,31
40087,-14.8400,-15.7117,-15.7007,-15.7183,23
40326,-5.9300,-13.2058,-13.1960,-13.2061,46
40413,1.0700,-13.9452,-13.9314,-13.9428,39
40479,-3.1200,-5.5613,-5.5698,-5.5903,22
40521,-9.2200,-10.4395,-10.4329,-10.4415,38
40816,-8.8600,-10.7856,-10.7753,-10.7864,39
41381,-3.1100,-10.2678,-10.2624,-10.2563,37
41384,-5.0200,-10.3985,-10.4019,-10.4054,58
41385,-12.0800,-7.7401,-7.7311,-7.7425,22
41428,-10.1100,-9.5357,-9.5412,-9.5528,18
41632,-8.7700,-11.7707,-11.7613,-11.7679,39
41648,-10.8300,-6.6879,-6.6880,-6.6838,32
42586,-10.9200,-11.8459,-11.8367,-11.8346,41
42850,-9.5200,-11.2364,-11.2252,-11.2367,35
43079,-9.2200,-8.1445,-8.1386,-8.1450,38
43226,-8.9500,-11.2891,-11.2837,-11.3013,34
43234,-9.7700,-7.9866,-7.9768,-7.9900,39
44073,-9.2800,-11.7793,-11.7776,-11.7821,31
44178,-8.5300,-7.6538,-7.6502,-7.6491,36
47326,-4.7800,-10.6889,-10.6790,-10.6834,49
47445,-9.0500,-15.4328,-15.4286,-15.4425,34
47491,-10.7900,-17.8714,-17.8696,-17.8819,35
47650,-2.8100,-5.8346,-5.8394,-5.8578,22
47759,-8.0300,-12.3391,-12.3408,-12.3394,52
47866,-17.2900,-15.1978,-15.1931,-15.2142,22
47898,-6.3000,-10.5418,-10.5334,-10.5515,39
47938,-8.3400,-15.1762,-15.1738,-15.1784,41
49384,-8.8600,-11.7687,-11.7610,-11.7688,35
50107,-10.1000,-11.5236,-11.5280,-11.5363,34
50367,-5.1500,-7.8372,-7.8422,-7.8443,44
50465,-9.3500,-12.5455,-12.5454,-12.5613,20
50891,-2.9700,-5.1254,-5.1351,-5.1546,22
50897,-7.6200,-12.2060,-12.2047,-12.2064,47
51043,-3.2000,-6.0482,-6.0490,-6.0649,22
51369,-7.6800,-12.8658,-12.8532,-12.8568,47
51574,-9.9200,-11.6259,-11.6297,-11.6325,32
51605,-10.1800,-14.9439,-14.9301,-14.9381,41
52999,-13.7520,-19.0278,-19.0230,-19.0292,41
53036,-2.9000,-5.3712,-5.3771,-5.3946,22
53079,-3.5200,-7.5501,-7.5450,-7.5482,40
53309,-10.1000,-10.5873,-10.5778,-10.5989,40
53518,-6.4300,-15.2804,-15.2767,-15.2795,43
53735,-13.6000,-12.3826,-12.3727,-12.3760,38
54744,-13.2500,-8.9149,-8.9059,-8.9190,41
54778,-7.9000,-7.0039,-7.0005,-7.0038,30
54886,-8.2600,-13.7934,-13.7920,-13.7994,58
54960,-18.5950,-21.9565,-21.9499,-21.9525,46
55138,-4.4300,-9.7692,-9.7407,-9.7774,40
55790,-7.7900,-8.3218,-8.3186,-8.3240,31
56160,-17.9300,-18.5155,-18.5096,-18.5214,42
61250,-1.9900,-1.1863,-1.1859,-1.1746,20
61938,-9.4700,-11.0001,-10.9912,-10.9967,28
62020,-4.4900,-7.1372,-7.1317,-7.1361,38
62155,-6.3800,-15.3501,-15.3466,-15.3529,39
62276,-7.7800,-12.2257,-12.2225,-12.2248,46
62306,-7.5200,-5.4496,-5.4456,-5.4563,27
62526,-5.6800,-5.7099,-5.7121,-5.7096,25
62773,-6.9800,-8.7347,-8.6930,-8.7559,27
63090,-3.2700,-5.7479,-5.7526,-5.7705,22
66334,1.5900,-3.2691,-3.2639,-3.2775,18
66461,-9.7300,-10.6292,-10.6270,-10.6450,37
69537,-2.0100,-3.6798,-3.6835,-3.7121,27
69619,-2.4900,-3.0448,-3.0516,-3.0941,33
71245,-3.2900,-12.7237,-12.7091,-12.7097,56
73282,-19.0700,-19.3083,-19.3033,-19.3131,42
73665,-8.4400,-9.1571,-9.1576,-9.1690,39
73669,-3.6600,-5.7357,-5.7349,-5.7548,23
73672,-7.0300,-11.7659,-11.7587,-11.7547,48
73674,-15.6600,-18.8679,-18.8631,-18.8711,38
74883,-1.7800,-4.1298,-4.1309,-4.1470,21
76998,-4.9000,-3.5636,-3.5592,-3.5402,20
77338,-4.5800,-6.9839,-6.9843,-6.9917,20
81091,-11.0200,-11.9843,-11.9876,-11.9963,31
83975,-6.2400,-11.1581,-11.1562,-11.1540,49
86102,-9.9600,-12.5376,-12.5235,-12.5405,43
86138,-7.4600,-12.5041,-12.4932,-12.5087,41
86173,-11.2200,-11.8692,-11.8584,-11.8740,44
86268,-10.4900,-12.7438,-12.7367,-12.7563,32
86296,-6.3700,-9.0810,-9.0785,-9.0829,30
86315,-8.9000,-14.0559,-14.0526,-14.0639,32
86354,-7.0700,-10.9513,-10.9419,-10.9532,47
86356,-7.0200,-9.8736,-9.8672,-9.8665,45
86398,-10.0200,-10.5982,-10.5937,-10.5986,24
86417,-12.3000,-12.4109,-12.4121,-12.4258,33
86418,-14.1900,-13.8952,-13.8908,-13.8923,27
86438,-9.3300,-9.4726,-9.4595,-9.4540,42
88916,-12.8000,-11.2048,-11.1983,-11.2067,28
89299,-7.1100,-5.2803,-5.2778,-5.2709,15
89300,-7.1600,-4.8672,-4.8659,-4.8581,15
89393,-3.6900,-3.8628,-3.8579,-3.8405,20
89563,-1.5100,-1.4753,-1.4749,-1.4648,20
90590,-10.6300,-11.3339,-11.3246,-11.3315,26
91612,-8.2800,-12.7925,-12.7927,-12.7964,42
91644,-8.8400,-7.3770,-7.3760,-7.3774,47
91650,-7.9700,-9.1597,-9.1570,-9.1601,28
91656,-10.3200,-12.4316,-12.4174,-12.4246,48
91664,-2.2300,-4.9494,-4.9186,-4.9699,27
91665,-11.6700,-7.6344,-7.6301,-7.6335,24
91679,-7.5900,-6.6736,-6.6683,-6.6751,39
91686,-7.2900,-14.0936,-14.0818,-14.1035,54
91687,-6.3800,-10.5828,-10.5543,-10.5895,40
91689,-7.7700,-10.3114,-10.3039,-10.3119,31
91693,-8.8200,-7.7575,-7.7562,-7.7667,33
91694,-7.0700,-4.0767,-4.0712,-4.0752,51
91699,-14.7600,-7.4473,-7.4438,-7.4559,38
91716,-4.8900,-13.0250,-13.0172,-13.0229,35
91724,-10.5000,-8.1045,-8.1028,-8.1154,21
91726,-7.6600,-8.3217,-8.3135,-8.3103,29
91727,-12.8700,-11.4323,-11.4191,-11.4383,35
91734,-11.1800,-12.8976,-12.9016,-12.9148,30
91735,-5.0000,-13.8917,-13.8858,-13.8963,39
91740,-4.9800,-6.8172,-6.8128,-6.8147,41
91741,-4.6300,-13.5897,-13.5919,-13.6128,37
91742,-5.7800,-10.8868,-10.8863,-10.8803,40
91743,-9.7600,-13.3938,-13.3956,-13.3966,48
91747,-7.9000,-9.4658,-9.4628,-9.4603,31
91752,-5.8400,-2.5548,-2.5358,-2.5599,38
91754,-4.6800,-8.3150,-8.3132,-8.3169,49
91756,-15.8400,-20.3281,-20.3232,-20.3344,46
91757,-5.7500,-7.5524,-7.5516,-7.5657,41
91760,-11.4300,-10.8635,-10.8599,-10.8680,34
91763,-16.0400,-19.8957,-19.8890,-19.9023,43
91766,-13.1600,-16.7419,-16.7392,-16.7556,44
91771,-5.9900,-15.5304,-15.5112,-15.5352,58
91776,-6.3700,-7.8555,-7.8533,-7.8688,43
92304,-2.4500,-12.6916,-12.6539,-12.7266,34
92383,-11.0100,-14.7709,-14.7626,-14.7727,43
92389,-14.2200,-13.0728,-13.0641,-13.0724,27
92401,-6.9300,-17.7622,-17.7468,-17.7680,39
92420,-16.4300,-21.1804,-21.1766,-21.1757,47
92421,-10.1850,-11.1627,-11.1572,-11.1716,34
92425,-6.2700,-11.9719,-11.9688,-11.9717,41
93031,-3.3900,-4.6919,-4.6885,-4.6693,20
93365,-5.5100,-4.2441,-4.2387,-4.2402,55
93422,-16.7900,-11.1290,-11.1303,-11.1279,23
93460,-11.1200,-13.2165,-13.1790,-13.2297,40
93483,-11.0400,-14.4913,-14.4835,-14.4996,38
93486,-5.4300,-9.8583,-9.8561,-9.8555,45
93488,-11.7200,-11.9671,-11.9622,-11.9640,37
93516,-5.5200,-8.2111,-8.1808,-8.2232,43
93532,-9.1400,-13.4699,-13.4620,-13.4675,48
93539,-10.0900,-18.2447,-18.2384,-18.2541,39
93542,-7.7000,-14.7353,-14.7286,-14.7456,40
94654,-13.5300,-8.9471,-8.9380,-8.9512,41
94686,-5.1500,-13.0314,-13.0286,-13.0357,49
104926,-5.0900,-12.3821,-12.3726,-12.3886,47
137942,-4.7300,-3.4121,-3.4083,-3.3890,23
188653,-6.4900,-7.5990,-7.5928,-7.5939,46
439250,0.0900,-3.0203,-3.0141,-3.0158,26
440917,0.0800,-3.0203,-3.0142,-3.0158,26
443161,0.4800,-2.6156,-2.6101,-2.6123,26
520198,-3.6050,-3.4610,-3.4580,-3.4397,23
571084,-7.7300,-8.4554,-8.4508,-8.4420,43
616765,-11.5600,-10.9792,-10.9659,-10.9851,40
637564,-4.6400,-3.2707,-3.2674,-3.2675,15
639662,1.6500,-0.1190,-0.1196,-0.1173,21
780355,-8.5500,-10.2258,-10.2252,-10.2335,27
2734819,-10.8400,-7.4816,-7.4788,-7.4986,16
3032472,-8.6700,-10.5021,-10.5004,-10.5079,26
3033865,-6.5700,-9.0767,-9.0767,-9.0948,30
3034378,-7.6500,-7.5648,-7.5532,-7.5562,33
3034380,-8.4100,-12.4282,-12.4213,-12.4309,59
3064581,-7.8600,-11.6346,-11.6383,-11.6503,52
3650359,-4.8700,-3.2118,-3.2086,-3.1889,26
4560140,-8.2800,-12.9469,-12.9372,-12.9607,44
5281875,-5.5300,-16.0172,-16.0025,-16.0268,59
5283324,-3.4500,-2.1088,-2.1079,-2.1073,23
5371562,-12.3900,-12.1157,-12.0746,-12.1297,28
5372405,-7.7900,-14.6445,-14.6455,-14.6631,37
6434488,-3.2700,-5.5697,-5.5655,-5.5644,46
9809914,-18.0100,-11.8239,-11.8122,-11.8226,49
9839306,-5.7000,-8.3471,-8.3418,-8.3421,46
10130703,-4.7200,-3.0539,-3.0512,-3.0313,29
10243180,-4.4800,-2.9312,-2.9290,-2.9087,32
10342051,-5.3400,-13.0987,-13.0827,-13.1004,52
10445500,-4.1200,-2.6525,-2.6514,-2.6303,38
12303035,-3.6300,-3.5713,-3.5834,-3.6246,24
12309466,-5.9133,-4.2092,-4.2060,-4.2421,25
12767955,-10.1400,-11.0690,-11.0605,-11.0579,41
12963416,-2.1200,-2.7662,-2.7668,-2.7726,16
13399558,-1.5700,-3.4195,-3.4205,-3.4119,16
13453985,-9.2400,-24.5997,-24.5931,-24.5957,43
14088492,-4.2600,-4.7057,-4.7003,-4.6834,24
14152665,-4.0900,-13.8302,-13.8223,-13.8165,57
14486914,-3.2500,-3.1755,-3.1741,-3.1528,26
14517037,-6.8400,-14.0553,-14.0423,-14.0557,53
15415132,-3.8600,-3.5180,-3.5147,-3.4962,26
17087326,-1.8400,-3.7485,-3.7497,-3.7528,16
20056438,-9.7200,-13.5383,-13.5393,-13.5265,45
20143854,-15.9200,-7.4472,-7.4463,-7.4465,35
23273735,-4.0700,-3.4610,-3.4571,-3.4390,23
23273899,-4.4000,-4.2908,-4.2836,-4.2712,24
23273903,-3.9500,-3.3540,-3.3506,-3.3337,26
23274096,-4.5800,-4.8584,-4.8504,-4.8381,27
23274367,-2.8800,-3.0448,-3.0430,-3.0216,32
23369115,-2.3000,-2.6025,-2.6033,-2.5800,38
24693218,-2.4300,-4.0004,-4.0019,-3.9982,16
24983781,-6.5600,-11.5862,-11.5820,-11.6055,26
40490638,-8.0700,-15.0283,-15.0130,-15.0261,56
54678486,-1.6100,-12.2936,-12.2841,-12.2943,39
54680085,-10.4400,-20.0256,-20.0017,-20.0301,58
54698175,-14.4500,-18.6580,-18.6368,-18.6589,65
60015509,-3.4300,-3.5116,-3.5080,-3.4880,23
66874082,-6.8800,-6.4768,-6.4739,-6.4749,28
66954155,-2.0100,-2.6685,-2.6698,-2.6748,16
67517846,-10.2800,-9.7035,-9.6885,-9.7092,38
71353487,-1.8000,-3.6063,-3.6083,-3.6105,16
91086001,-1.7300,-3.8576,-3.8598,-3.8551,16
135424353,-9.5600,-6.3993,-6.4041,-6.4021,34
135424354,-9.4900,-8.4377,-8.4394,-8.4434,34
135503327,-12.5600,-6.3900,-6.3853,-6.3920,51
136149339,-13.3000,-18.8526,-18.8404,-18.8661,30
166713026,-12.1900,-18.7338,-18.7288,-18.7234,50
