id,exp,E_42,E_123,E_999,N
perchlorobiphenyl,-4.2700,-2.3654,-2.3935,-2.4248,22
picoxystrobin,-8.9100,-11.0374,-11.0292,-11.0341,42
pydiflumetofen,-9.8500,-10.7732,-10.7712,-10.7850,42
pyraclostrobine,-10.9600,-16.1679,-16.1573,-16.1566,45
pyrametostrobin,-10.5500,-14.8320,-14.8143,-14.8154,51
pyrazoxyfen,-7.0100,-14.2909,-14.2818,-14.2921,43
pyriminobac-methyl,-8.5400,-12.4107,-12.4061,-12.3974,45
pyriminostrobin,-9.9800,-15.8127,-15.7997,-15.8143,53
quizalofop-ethyl,-8.3500,-14.9771,-14.9721,-14.9763,43
resmethrin,-2.8200,-10.7395,-10.7274,-10.7260,51
solatenol,-12.6600,-13.2593,-13.2518,-13.2723,41
spiromesifen,-2.2500,-10.1622,-10.1541,-10.1573,57
sulfometuron-methyl,-20.1500,-17.4598,-17.4493,-17.4585,41
thiencarbazone-methyl,-14.0000,-15.1955,-15.1888,-15.1900,39
1-adamantanol,-5.6900,-5.9704,-5.9594,-5.9816,27
1-hydroxyanthraquinone,-8.9200,-10.1331,-10.1273,-10.1391,25
1-methyl-1phenylethylhydroperoxide,-7.8000,-8.0427,-8.0395,-8.0388,23
"1,2,3-trimethylbenzene",-1.0600,-2.5282,-2.5252,-2.5231,21
"1,2,3,4,6,7,8-heptachlorodibenzofuran",-4.4200,-3.5980,-3.6148,-3.6369,21
"1,4-cineole",-2.7100,-3.6283,-3.6269,-3.6282,29
"1,4-dihydroxy-9,10-anthraquinone",-7.4700,-13.7859,-13.7787,-13.7985,26
"1,6-heptadiyne",-1.4400,-2.2049,-2.2012,-2.2034,15
1s-endo---borneol,-4.1600,-3.9469,-3.9434,-3.9488,29
2-adamantanone,-4.8300,-3.8223,-3.8139,-3.8296,25
2-methylisoborneol,-3.2000,-4.5096,-4.5053,-4.5114,32
"2,2-dimethyl-3-hexyne",0.6300,-0.0481,-0.0504,-0.0462,22
"2,3-benzfluoranthene",-6.2300,-7.9285,-7.9184,-7.9260,32
"2,4-dinitro-n-phenyl-benzenamine",-10.2000,-11.2785,-11.2681,-11.2631,28
"2,6-dimethylnitrosomorpholine",-6.7400,-4.8689,-4.8674,-4.8622,22
3-carene,1.0100,-1.0556,-1.0548,-1.0557,26
3-methoxyphenylmethylketone,-6.3700,-6.1491,-6.1443,-6.1434,21
"3,4,5,6-dibenzocarbazole",-9.1600,-11.2319,-11.2181,-11.2309,34
4-ethenylcyclohexene,0.3600,-2.9395,-2.9329,-2.9371,20
4-hydroxy-4-nitroazobenzene,-12.3000,-11.9041,-11.8958,-11.8986,27
4-tert-butylphenyldiphenylphosphate,-6.8900,-16.7437,-16.6916,-16.7520,50
6-2-ftoh,0.1200,-3.9305,-3.9336,-3.9597,27
6-phenylundecane,1.0900,-2.3634,-2.3600,-2.3607,45
acenaphthene,-2.9000,-4.4810,-4.4756,-4.4772,22
adamantane,-0.4100,-3.0922,-3.0812,-3.0982,26
adonitol,-20.5000,-16.3964,-16.3937,-16.4054,22
aldrin,-3.0300,-2.6150,-2.6252,-2.6614,26
alpha-cedrene,0.2200,-2.8593,-2.8525,-2.8581,39
alpha-humulene,0.2000,-3.9709,-3.9626,-3.9644,39
alpha-longipinene,0.1000,-1.7483,-1.7432,-1.7522,39
alpha-neoclovene,0.2000,-1.7168,-1.7137,-1.7171,39
alpha-pinene,1.0400,-0.5374,-0.5375,-0.5387,26
androstenone,-2.6300,-5.7077,-5.6981,-5.7097,48
arbanol,-4.6300,-5.4607,-5.4588,-5.4584,36
azoxystrobin,-15.7000,-15.0418,-15.0336,-15.0338,47
benalaxyl,-7.2600,-12.2339,-12.2207,-12.2206,47
benazolin-ethyl,-8.2800,-7.3145,-7.3126,-7.3221,27
bendiocarb,-7.9000,-10.9902,-10.9917,-10.9854,29
benomyl,-12.4000,-12.4518,-12.4493,-12.4601,39
benzyladenine,-15.6000,-13.8552,-13.8462,-13.8555,28
beta-caryophyllene,0.0500,-3.3451,-3.3367,-3.3435,39
beta-ionone,-4.7400,-3.5914,-3.5891,-3.5896,34
beta-pinene,0.3900,-1.4084,-1.4055,-1.4090,26
bifenthrin,-5.9900,-9.0583,-9.0494,-9.0592,51
biphenyl,-2.6600,-6.0932,-6.0824,-6.0882,22
bisphenol-a,-12.0000,-12.6421,-12.6278,-12.6451,33
bitertanol-b,-13.1000,-13.8893,-13.8722,-13.8868,48
bornyl-acetate,0.0400,-4.5432,-4.5408,-4.5414,34
bromadiolone,-12.9000,-20.2302,-20.2070,-20.2280,58
bromopropylate,-6.4300,-9.9304,-9.9217,-9.9311,38
bromuconazole,-10.8000,-10.6102,-10.6038,-10.6175,32
camphene,0.3300,-2.4775,-2.4724,-2.4752,26
camphor,-3.3700,-3.3460,-3.3443,-3.3465,27
carbazole,-7.3200,-8.6093,-8.5993,-8.6062,22
carbofuran,-6.5100,-9.8053,-9.8069,-9.7995,31
chlorbromuron,-9.1900,-8.5413,-8.5406,-8.5383,25
cis-beta-ocimene,0.0100,-2.6440,-2.6388,-2.6387,26
cocaine,-11.9000,-9.7136,-9.7048,-9.7075,43
coumarin,-7.3500,-6.2299,-6.2245,-6.2269,17
cyazofamid,-6.5400,-10.5078,-10.5016,-10.5142,34
cyproconazole,-10.3000,-9.2803,-9.2658,-9.2848,38
dbp-br5cl,-7.6000,-4.1538,-4.1598,-4.1526,24
decafluorobiphenyl,-1.6600,-2.6533,-2.6600,-2.6679,22
delta-cypermethrin,-6.8300,-12.1941,-12.1842,-12.1972,47
deltamethrin,-5.0400,-11.2776,-11.2644,-11.2710,47
diacetylmorphine,-14.5000,-11.0966,-11.0966,-11.0997,50
dialifor,-7.0000,-11.4662,-11.4365,-11.4696,40
diazinon,-6.9000,-10.7063,-10.6804,-10.7221,40
dibenzylether,-4.8700,-7.1506,-7.1400,-7.1403,29
dicapthon,-7.3600,-8.2696,-8.2342,-8.2774,26
dienochlor,-3.6100,-0.5273,-0.5569,-0.5980,20
diethofencarb,-6.1000,-11.3278,-11.3236,-11.3251,40
difenoconazole,-12.9000,-12.7463,-12.7314,-12.7485,44
difethialone,-5.9900,-16.5233,-16.5035,-16.5265,58
diisobutylphtalate,-5.3700,-6.1631,-6.1615,-6.1546,42
dimethylhexahydroterephtalate,-7.3600,-7.6884,-7.6822,-7.6855,30
diofenolan,-7.6000,-13.2104,-13.1976,-13.2019,42
dioxacarb,-12.6000,-11.3409,-11.3356,-11.3325,29
dioxydimethanol,-9.6000,-10.1452,-10.1484,-10.1371,12
diphenadione,-11.2000,-13.3423,-13.3266,-13.3415,42
diphenylmethane,-3.1100,-6.2378,-6.2270,-6.2319,25
disperseblue1,-6.9100,-24.1241,-24.1054,-24.1467,32
dispersered1,-15.7000,-12.7643,-12.7511,-12.7572,41
dmba,-5.2000,-6.1063,-6.0986,-6.1062,36
dyprodinil,-7.4700,-9.1035,-9.0977,-9.1084,32
endrin,-4.8700,-3.1595,-3.1701,-3.2088,27
ethofumesate,-7.9500,-9.2889,-9.2754,-9.2796,37
etoxazole,-7.3300,-9.2979,-9.2914,-9.2986,49
eugenol,-5.9500,-8.3263,-8.3188,-8.3229,24
famoxadone,-7.8000,-17.3252,-17.3027,-17.3194,46
fenoxyprop-p-ethyl,-8.4400,-14.4578,-14.4544,-14.4625,41
fenpiclonil,-9.0700,-7.8412,-7.8399,-7.8532,21
fenpropathrin,-2.9100,-9.9901,-9.9801,-9.9837,49
fenpyroximate,-5.5300,-13.4998,-13.4868,-13.4843,58
ferimzone,-11.7000,-11.4439,-11.4400,-11.4420,37
flamprop-m-isopropyl,-8.1700,-10.6410,-10.6381,-10.6439,44
flonicamid,-14.7000,-8.7449,-8.7432,-8.7548,22
florasulam,-13.1000,-13.1622,-13.1494,-13.1691,32
fluazinam,-2.7100,-4.4991,-4.4921,-4.5082,33
flucythrinate,-7.4200,-14.6882,-14.6713,-14.6837,56
fludioxonil,-10.5000,-10.5799,-10.5746,-10.5801,24
flufenacet,-9.0400,-11.9626,-11.9577,-11.9636,37
flumioxazin,-6.2700,-12.1713,-12.1677,-12.1767,41
fluoranthene,-4.3100,-6.4697,-6.4618,-6.4664,26
fluorene,-3.4200,-5.6955,-5.6877,-5.6898,23
fluoxastrobin,-14.1000,-13.5138,-13.5114,-13.5141,48
flurazole,-6.8200,-7.8519,-7.8459,-7.8633,27
fluridone,-8.8300,-8.0105,-8.0032,-8.0099,38
flurprimidol,-9.9200,-11.5951,-11.5906,-11.5954,37
fluthiacet-methyl,-9.6500,-13.8658,-13.8599,-13.8772,40
flutriafol,-15.3000,-9.9549,-9.9398,-9.9593,35
fluxofenim,-5.2000,-9.4972,-9.4933,-9.4960,31
fructose,-17.0000,-18.2429,-18.2390,-18.2547,24
galaxolide,-3.1000,-6.1087,-6.0998,-6.0976,45
gamma-gurjunene,0.1200,-4.1966,-4.1861,-4.1933,39
gamma-neoclovene,0.2000,-2.3144,-2.3090,-2.3144,39
glucose,-16.8000,-18.2538,-18.2505,-18.2637,24
glyphosate,-13.2000,-18.8702,-18.8355,-18.9011,18
guaiacylacetone,-10.2000,-9.6482,-9.6431,-9.6467,25
heptachlor,-2.6100,-3.3558,-3.3663,-3.4040,22
heptachlorepoxide,-4.2000,-2.9137,-2.9273,-2.9635,23
hexazinone,-13.7000,-7.3444,-7.3517,-7.3521,38
hexythiazox,-8.2100,-12.6516,-12.6437,-12.6634,44
hydramethylnon,-5.5200,-16.1052,-16.0915,-16.1132,59
hydroxyethylmethacrylate,-6.9000,-7.2100,-7.2085,-7.2048,19
ibuprofen,-7.1100,-7.3861,-7.3788,-7.3875,33
imiprothrin,-11.7000,-11.3999,-11.3988,-11.3947,45
indane,-1.4000,-3.3288,-3.3241,-3.3247,19
indanofan,-10.3000,-11.6199,-11.6060,-11.6271,41
"indeno-1,2,3-cd-pyrene",-6.6300,-7.8344,-7.8261,-7.8338,34
indoxacarb,-10.3000,-18.6514,-18.6482,-18.6543,53
isazophos,-6.3700,-11.8295,-11.8036,-11.8513,35
isofenphos,-7.4700,-16.6971,-16.6944,-16.7146,46
isosativene,0.0200,-1.7590,-1.7548,-1.7613,39
isouron,-11.3000,-8.0267,-8.0270,-8.0202,32
isoxaben,-9.9400,-11.6195,-11.6120,-11.6061,48
levoglucosan,-19.2000,-12.2518,-12.2480,-12.2514,21
limonene,-0.0900,-2.9165,-2.9107,-2.9121,26
linalool,-3.6800,-4.4164,-4.4125,-4.4165,29
malathion,-6.4100,-9.3842,-9.3601,-9.3810,38
mannose,-17.0000,-18.5368,-18.5343,-18.5465,24
metalaxyl,-9.4300,-9.9422,-9.9377,-9.9263,41
methacrolein,-2.7900,-3.0907,-3.0874,-3.0878,11
methylal,-2.9700,-2.5507,-2.5495,-2.5413,13
methyljasmonate,-6.9500,-7.3459,-7.3392,-7.3432,36
metobromuron,-9.4100,-8.3641,-8.3605,-8.3562,25
metominostrobin,-10.6000,-10.7340,-10.7238,-10.7271,37
mirex,-2.0100,3.8339,3.7939,3.7303,22
monodesmethylisoproturon,-12.1000,-10.9753,-10.9684,-10.9780,30
n-nitrosodiphenylamine,-1.8200,-8.6514,-8.6405,-8.6437,25
naled,-3.5100,-7.4386,-7.4015,-7.4563,20
nitronaphtalene,-5.5300,-4.9521,-4.9463,-4.9440,20
norflurazon,-10.7000,-9.2082,-9.2055,-9.2171,29
octachlorodibenzo-p-dioxin,-4.8700,-3.0459,-3.0712,-3.0884,22
octachloronaphtalene,-4.7400,-1.7092,-1.7311,-1.7544,18
oxadiazon,-7.5600,-8.9714,-8.9725,-8.9800,40
p-menthane,2.5300,-0.1185,-0.1187,-0.1183,30
p-tert-octylphenol,-5.1200,-6.0824,-6.0768,-6.0808,37
paraldehyde,-4.3100,-5.2754,-5.2719,-5.2715,21
parathion,-7.4700,-9.9673,-9.9311,-9.9720,32
pcb-129,-3.9900,-4.4598,-4.4709,-4.4915,22
pcde-187,-1.7200,-4.7049,-4.7168,-4.7412,23
penoxaline,-6.1000,-6.3780,-6.3677,-6.3664,39
penoxsulam,-22.3000,-13.6503,-13.6330,-13.6562,46
pentadecalacetone,-1.3600,-4.1585,-4.1534,-4.1576,45
pentaerythritol,-19.4000,-12.7512,-12.7450,-12.7568,21
pentylcyclopentane,2.5700,-0.0014,-0.0027,-0.0004,30
peroxyisobutyrylnitrate,-1.9000,-0.0772,-0.0697,-0.0588,17
perylene,-5.2200,-6.9385,-6.9298,-6.9401,32
phenmedipham,-14.3000,-16.9174,-16.9065,-16.9129,38
phenoxymethyl-oxirane,-5.9900,-5.8045,-5.7983,-5.7967,21
phenylacetylene,-2.1800,-3.6984,-3.6927,-3.6954,14
phtalicanhydride,-8.4300,-6.6704,-6.6655,-6.6689,15
pinoxaden,-12.9000,-10.1532,-10.1395,-10.1478,61
pirimor,-10.2000,-7.5960,-7.6051,-7.5927,35
prochloraz,-8.4200,-10.0986,-10.0969,-10.1113,39
profenofos,-8.2500,-6.8594,-6.8299,-6.8747,33
prothioconazole,-10.6000,-13.8832,-13.8647,-13.8974,36
pyrene,-4.3200,-6.0726,-6.0646,-6.0719,26
quinomethionate,-7.6400,-8.0512,-8.0502,-8.0538,21
salicylaldehyde,-4.6900,-7.9201,-7.9142,-7.9221,15
simazine,-10.0900,-9.2142,-9.2192,-9.2265,25
spirodiclofen,-7.6700,-7.5134,-7.5082,-7.5252,51
sulfallate,-4.8700,-6.0408,-6.0366,-6.0469,26
syringylacetone,-12.9000,-11.0266,-11.0234,-11.0229,32
teflubenzuron,-11.2000,-12.6591,-12.6599,-12.6816,30
tetrabromopisphenol-a,-7.8800,-11.4868,-11.4816,-11.4859,33
tetrachlorvinphos,-9.7300,-9.4259,-9.3906,-9.4591,28
tetraconazole,-9.2200,-11.7028,-11.6962,-11.7081,34
tetralin,-1.6400,-3.3447,-3.3390,-3.3427,22
tetramethrin,-5.6700,-9.4643,-9.4626,-9.4600,49
thfensulfuron-methyl,-16.3000,-19.4277,-19.4214,-19.4289,38
thiazopyr,-6.4300,-6.3284,-6.3271,-6.3475,43
thujone,-3.2700,-2.7250,-2.7250,-2.7252,27
tolylfluanid,-6.1500,-11.3026,-11.2921,-11.3170,32
tonalide,-3.0500,-4.2951,-4.2903,-4.2920,45
trans-decaline,0.2400,-1.6690,-1.6639,-1.6709,28
trans-ethylcinnamate,-5.1200,-6.4590,-6.4520,-6.4534,25
trans-nonachlor,-2.5700,-3.9847,-3.9975,-4.0426,24
trans-stilbene,-2.1000,-7.1447,-7.1316,-7.1387,26
tricyclene,1.2500,-1.3847,-1.3836,-1.3825,26
triethanolamine,-14.4000,-8.6627,-8.6526,-8.6669,25
triflumizole,-11.8000,-8.6108,-8.6073,-8.6142,38
triforine,-9.2900,-17.3692,-17.3501,-17.3862,36
trinexapac,-13.6000,-11.5860,-11.5779,-11.5979,28
trinexapac-ethyl,-5.6000,-9.6261,-9.6203,-9.6328,34
vanilin,-9.0400,-8.6460,-8.6407,-8.6434,19
warfarin,-10.9000,-13.1657,-13.1538,-13.1668,39
15-crown-5,-12.8200,-8.0814,-8.0859,-8.0580,35
18-crown-6,-15.5900,-10.3018,-10.3073,-10.2713,42
azinphos-methyl,-10.0300,-10.4529,-10.4178,-10.4555,31
benzo-15-crown-5,-14.3900,-11.7756,-11.7725,-11.7563,39
benzo-18-crown-6,-17.8800,-12.6331,-12.6308,-12.6096,46
dibenzo-18-crown-6,-18.2500,-15.6564,-15.6469,-15.6339,50
dibenzo-24-crown-8,-23.6300,-21.3722,-21.3673,-21.3332,64
piroxicam,-15.8000,-17.6502,-17.6360,-17.6579,36
sulfathiazole,-15.9000,-15.8438,-15.8269,-15.8493,25
anycymidol,-12.3700,-11.2095,-11.2013,-11.2071,35
diallylsulfide,4.8600,-3.8061,-3.7988,-3.8025,17
dimethenamid,-10.0900,-6.9465,-6.9408,-6.9453,35
dimethylterephthalate,-9.6700,-7.1824,-7.1780,-7.1730,24
fenchlorphos,-10.9000,-7.4787,-7.4468,-7.5034,24
toxaphene,2.4900,-2.6258,-2.6369,-2.6836,26
picloram,-11.9600,-10.5005,-10.5006,-10.5225,16
