mol_id,atom_idx,P_seed42,P_seed123,P_seed7,P_seed2024,P_seed999
mobley_1036761,10,-0.483712,-0.480687,-0.491100,-0.484741,-0.486146
mobley_1036761,11,-0.497768,-0.495614,-0.506045,-0.499863,-0.500806
mobley_1036761,12,-0.552300,-0.548600,-0.560339,-0.553426,-0.554364
mobley_1036761,13,-0.746063,-0.742920,-0.763881,-0.753859,-0.757085
mobley_1036761,14,-0.645015,-0.640655,-0.656452,-0.648183,-0.649961
mobley_1036761,15,-0.600820,-0.598151,-0.613102,-0.605347,-0.607146
mobley_1036761,16,-0.499547,-0.496641,-0.507055,-0.500666,-0.501897
mobley_1036761,17,-0.477496,-0.475726,-0.486257,-0.479933,-0.481363
mobley_1036761,18,-0.112536,-0.112546,-0.112472,-0.112162,-0.112639
mobley_1036761,19,-0.113790,-0.113681,-0.114130,-0.113511,-0.114199
mobley_1046331,0,-0.172207,-0.169600,-0.165484,-0.170101,-0.164470
mobley_1046331,1,-0.204697,-0.203316,-0.204867,-0.205580,-0.204420
mobley_1046331,2,-0.474374,-0.476980,-0.473189,-0.475820,-0.473105
mobley_1046331,3,-0.418580,-0.419570,-0.414136,-0.417690,-0.414955
mobley_1046331,4,-0.485060,-0.487720,-0.483546,-0.486264,-0.483659
mobley_1046331,5,-0.158397,-0.156278,-0.157908,-0.159001,-0.157806
mobley_1046331,6,-1.880803,-1.881400,-1.880916,-1.880246,-1.880624
mobley_1046331,7,0.569651,0.559123,0.569815,0.540227,0.563455
mobley_1046331,8,-1.825045,-1.825299,-1.823643,-1.824357,-1.823955
mobley_1046331,9,-0.111952,-0.112386,-0.111947,-0.111740,-0.111872
mobley_1046331,10,-0.113003,-0.113442,-0.113017,-0.112785,-0.112922
mobley_1046331,11,-0.122600,-0.123130,-0.123026,-0.122414,-0.122702
mobley_1046331,12,-0.123137,-0.123636,-0.123592,-0.122962,-0.123288
mobley_1046331,13,-0.113631,-0.114112,-0.113746,-0.113436,-0.113598
mobley_1046331,14,-0.124461,-0.124551,-0.123898,-0.123870,-0.124075
mobley_1075836,0,0.589037,0.584519,0.605359,0.583809,0.600690
mobley_1075836,1,0.052907,0.040063,0.069096,0.055824,0.068675
mobley_1075836,2,0.388840,0.392231,0.380605,0.377509,0.383957
mobley_1075836,3,-1.833819,-1.834240,-1.833868,-1.833959,-1.833891
mobley_1075836,4,-1.890014,-1.888747,-1.891140,-1.888981,-1.890714
mobley_1075836,5,0.719313,0.711768,0.718838,0.699363,0.706223
mobley_1075836,6,-0.131287,-0.130904,-0.131949,-0.130633,-0.131121
mobley_1075836,7,-0.131287,-0.130904,-0.131949,-0.130633,-0.131121
mobley_1075836,8,-0.131307,-0.130975,-0.131905,-0.130636,-0.131039
mobley_1075836,9,-0.221104,-0.219859,-0.226343,-0.222203,-0.224345
mobley_1075836,10,-0.221104,-0.219859,-0.226343,-0.222203,-0.224345
mobley_1075836,11,-0.118350,-0.118270,-0.118299,-0.117872,-0.117932
mobley_1075836,12,-0.116768,-0.116620,-0.116484,-0.116123,-0.116150
mobley_1075836,13,-0.116768,-0.116620,-0.116484,-0.116123,-0.116150
mobley_1079207,0,-0.046172,-0.042209,-0.040746,-0.044526,-0.041383
mobley_1079207,1,-0.081552,-0.080261,-0.079487,-0.083968,-0.080206
mobley_1079207,2,-0.313266,-0.314759,-0.311498,-0.312519,-0.311311
mobley_1079207,3,-0.086919,-0.087659,-0.088370,-0.093926,-0.089946
mobley_1079207,4,-0.313265,-0.314761,-0.311498,-0.312520,-0.311312
mobley_1079207,5,-0.081553,-0.080261,-0.079486,-0.083968,-0.080204
mobley_1079207,6,-0.052527,-0.051917,-0.051169,-0.051581,-0.051580
mobley_1079207,7,-0.052527,-0.051917,-0.051169,-0.051581,-0.051580
mobley_1079207,8,-0.112069,-0.112515,-0.112075,-0.111843,-0.111986
mobley_1079207,9,-0.112105,-0.112443,-0.111854,-0.111857,-0.111901
mobley_1079207,10,-0.114175,-0.114472,-0.113885,-0.113956,-0.113981
mobley_1079207,11,-0.112105,-0.112443,-0.111854,-0.111857,-0.111901
mobley_1107178,0,0.409123,0.401419,0.413808,0.398084,0.408285
mobley_1107178,1,-0.279796,-0.275544,-0.269234,-0.280594,-0.278524
mobley_1107178,2,-1.395824,-1.396147,-1.395802,-1.395796,-1.395907
mobley_1107178,3,-0.104611,-0.104777,-0.104328,-0.104159,-0.104180
mobley_1107178,4,-0.107360,-0.107542,-0.107170,-0.106964,-0.107003
mobley_1107178,5,-0.107360,-0.107542,-0.107170,-0.106964,-0.107003
mobley_1107178,6,-0.107463,-0.107617,-0.106906,-0.107204,-0.107228
mobley_1107178,7,-0.107463,-0.107617,-0.106906,-0.107204,-0.107228
mobley_1139153,0,1.956819,1.990933,1.997840,1.978821,1.992777
mobley_1139153,1,0.618686,0.605808,0.659544,0.634942,0.663402
mobley_1139153,2,2.098084,2.134523,2.147716,2.128442,2.139443
mobley_1139153,3,0.282914,0.295891,0.238835,0.266174,0.243579
mobley_1139153,4,0.551432,0.525505,0.635035,0.572279,0.647563
mobley_1139153,5,1.116118,1.174047,1.109408,1.110122,1.110994
mobley_1139153,6,1.301031,1.361083,1.297417,1.288741,1.304317
mobley_1139153,7,1.250327,1.311355,1.240637,1.245826,1.249711
mobley_1139153,8,-0.225824,-0.224691,-0.227501,-0.224737,-0.224763
mobley_1139153,9,-0.225990,-0.224959,-0.227530,-0.224909,-0.224846
mobley_1139153,10,-0.220072,-0.219026,-0.221666,-0.219161,-0.219098
mobley_1139153,11,-0.823254,-0.818782,-0.841164,-0.830605,-0.834362
mobley_1139153,12,-0.227855,-0.226094,-0.227633,-0.225269,-0.224515
mobley_1139153,13,-0.205870,-0.204500,-0.206238,-0.204106,-0.203730
mobley_1139153,14,-0.231317,-0.229593,-0.231332,-0.228892,-0.228190
mobley_1139153,15,-0.682395,-0.679644,-0.688219,-0.683111,-0.681420
mobley_1139153,16,-0.702080,-0.699836,-0.708949,-0.704157,-0.701956
mobley_1139153,17,-0.288299,-0.286531,-0.288685,-0.286592,-0.285161
mobley_1139153,18,-0.296461,-0.295060,-0.296698,-0.295082,-0.292912
mobley_1139153,19,-0.307690,-0.305297,-0.307088,-0.304750,-0.302883
mobley_1139153,20,-0.306713,-0.305463,-0.307846,-0.305777,-0.304058
mobley_1139153,21,-0.297542,-0.296033,-0.298998,-0.296572,-0.295433
mobley_1139153,22,-0.310653,-0.308640,-0.311444,-0.308702,-0.307385
mobley_1139153,23,-0.307413,-0.306206,-0.310107,-0.307402,-0.306540
mobley_1139153,24,-0.310446,-0.309030,-0.313256,-0.310446,-0.309630
mobley_1139153,25,-0.307468,-0.306033,-0.310262,-0.307449,-0.306673
mobley_1144156,0,0.766954,0.767708,0.808195,0.777967,0.795468
mobley_1144156,1,0.541699,0.544815,0.528836,0.530179,0.522866
mobley_1144156,2,-2.077758,-2.069468,-2.090139,-2.079461,-2.088897
mobley_1144156,3,0.541698,0.544814,0.528835,0.530179,0.522865
mobley_1144156,4,0.766953,0.767706,0.808195,0.777967,0.795467
mobley_1144156,5,-0.131586,-0.131209,-0.132163,-0.130952,-0.131290
mobley_1144156,6,-0.136236,-0.135654,-0.137040,-0.135521,-0.136096
mobley_1144156,7,-0.136236,-0.135654,-0.137040,-0.135521,-0.136096
mobley_1144156,8,-0.246296,-0.243774,-0.251154,-0.247317,-0.248977
mobley_1144156,9,-0.246296,-0.243774,-0.251154,-0.247317,-0.248977
mobley_1144156,10,-0.246295,-0.243774,-0.251154,-0.247317,-0.248978
mobley_1144156,11,-0.246295,-0.243774,-0.251154,-0.247317,-0.248977
mobley_1144156,12,-0.131586,-0.131209,-0.132164,-0.130952,-0.131290
mobley_1144156,13,-0.136236,-0.135654,-0.137040,-0.135521,-0.136096
mobley_1144156,14,-0.136236,-0.135654,-0.137040,-0.135521,-0.136096
mobley_1160109,0,0.961889,0.973503,0.955904,0.948308,0.957025
mobley_1160109,1,0.000331,-0.006571,0.017370,0.001904,0.022504
mobley_1160109,2,0.719175,0.728958,0.730245,0.721981,0.737687
mobley_1160109,3,1.097724,1.106084,1.101560,1.092766,1.107679
mobley_1160109,4,-0.213512,-0.224853,-0.208877,-0.221448,-0.202063
mobley_1160109,5,0.472622,0.468228,0.473538,0.456932,0.482859
mobley_1160109,6,0.343936,0.339832,0.321796,0.312461,0.334896
mobley_1160109,7,-1.873801,-1.873131,-1.877653,-1.875295,-1.877019
mobley_1160109,8,-0.262296,-0.262413,-0.241876,-0.250626,-0.238833
mobley_1160109,9,-0.042275,-0.000843,-0.058480,-0.036685,-0.068469
mobley_1160109,10,0.571132,0.579413,0.568282,0.559643,0.554805
mobley_1160109,11,-0.186661,-0.185921,-0.188169,-0.185767,-0.186260
mobley_1160109,12,-0.182784,-0.181930,-0.184362,-0.181921,-0.182561
mobley_1160109,13,-0.187281,-0.186530,-0.188923,-0.186473,-0.187052
mobley_1160109,14,-0.656803,-0.656032,-0.674626,-0.666066,-0.669441
mobley_1160109,15,-0.569379,-0.566620,-0.578243,-0.570983,-0.572161
mobley_1160109,16,-0.541047,-0.539221,-0.550640,-0.543610,-0.545073
mobley_1160109,17,-0.575017,-0.572559,-0.581319,-0.574917,-0.574684
mobley_1160109,18,-0.536420,-0.534320,-0.543309,-0.536600,-0.537360
mobley_1160109,19,-0.734607,-0.733858,-0.748690,-0.739193,-0.741738
mobley_1160109,20,-0.373401,-0.371678,-0.375666,-0.371287,-0.370799
mobley_1160109,21,-0.359520,-0.358196,-0.362909,-0.358428,-0.358498
mobley_1160109,22,-0.109724,-0.110037,-0.109315,-0.109440,-0.109379
mobley_1160109,23,-0.109928,-0.110179,-0.109541,-0.109622,-0.109580
mobley_1160109,24,-0.130879,-0.130380,-0.130181,-0.129124,-0.129064
mobley_1160109,25,-0.127280,-0.127121,-0.127004,-0.126273,-0.126237
mobley_1160109,26,-0.127485,-0.127318,-0.127208,-0.126473,-0.126449
mobley_1178614,0,-0.196949,-0.196335,-0.196449,-0.198358,-0.195738
mobley_1178614,1,-0.128054,-0.124315,-0.122408,-0.126307,-0.122071
mobley_1178614,2,-0.253870,-0.255055,-0.259474,-0.260477,-0.259046
mobley_1178614,3,-0.451867,-0.455864,-0.449045,-0.450710,-0.448311
mobley_1178614,4,-0.374436,-0.376525,-0.373300,-0.373989,-0.372684
mobley_1178614,5,-0.422532,-0.423535,-0.421166,-0.423374,-0.420659
mobley_1178614,6,-1.863687,-1.864065,-1.863123,-1.863486,-1.863358
mobley_1178614,7,-0.031817,-0.030748,-0.029186,-0.029766,-0.029810
mobley_1178614,8,-0.112973,-0.113409,-0.112990,-0.112765,-0.112903
mobley_1178614,9,-0.112657,-0.113107,-0.112710,-0.112450,-0.112608
mobley_1178614,10,-0.113938,-0.114309,-0.113810,-0.113682,-0.113773
mobley_1178614,11,-0.118684,-0.119194,-0.119000,-0.118515,-0.118758
mobley_1178614,12,-0.156575,-0.156735,-0.156716,-0.156143,-0.156650
mobley_1189457,0,-0.408869,-0.415045,-0.416032,-0.421330,-0.420800
mobley_1189457,1,-0.330164,-0.329795,-0.328600,-0.328540,-0.328953
mobley_1189457,2,-0.529602,-0.531954,-0.530759,-0.531311,-0.531123
mobley_1189457,3,-0.126146,-0.126089,-0.127868,-0.132229,-0.129433
mobley_1189457,4,-0.078230,-0.074239,-0.073045,-0.075788,-0.073554
mobley_1189457,5,-0.106362,-0.102753,-0.101482,-0.104241,-0.101620
mobley_1189457,6,-0.032234,-0.027554,-0.025879,-0.029311,-0.026836
mobley_1189457,7,-0.153530,-0.154013,-0.158503,-0.161083,-0.160125
mobley_1189457,8,-0.115164,-0.115473,-0.114959,-0.115146,-0.115221
mobley_1189457,9,-0.116294,-0.116583,-0.116056,-0.116183,-0.116286
mobley_1189457,10,-0.117153,-0.117433,-0.116952,-0.117081,-0.117196
mobley_1189457,11,-0.113054,-0.113345,-0.112776,-0.112802,-0.112849
mobley_1189457,12,-0.110955,-0.111366,-0.110842,-0.110703,-0.110799
mobley_1189457,13,-0.110324,-0.110722,-0.110160,-0.110078,-0.110148
mobley_1189457,14,-0.111468,-0.111910,-0.111436,-0.111228,-0.111350
mobley_1189457,15,-0.111729,-0.112025,-0.111460,-0.111458,-0.111522
mobley_1199854,0,0.627187,0.626793,0.636144,0.619378,0.630193
mobley_1199854,1,0.732890,0.728477,0.751054,0.739553,0.752014
mobley_1199854,2,-0.230066,-0.220254,-0.222958,-0.230877,-0.231211
mobley_1199854,3,-1.398382,-1.398646,-1.398355,-1.398331,-1.398530
mobley_1199854,4,-0.126307,-0.126134,-0.126735,-0.125515,-0.125797
mobley_1199854,5,-0.126441,-0.126282,-0.126938,-0.125775,-0.126064
mobley_1199854,6,-0.123654,-0.123506,-0.124043,-0.122915,-0.123185
mobley_1199854,7,-0.167423,-0.166925,-0.170676,-0.167549,-0.169046
mobley_1199854,8,-0.173787,-0.173303,-0.177247,-0.174045,-0.175566
mobley_1199854,9,-0.104426,-0.104629,-0.103965,-0.104213,-0.104243
mobley_1199854,10,-0.104567,-0.104780,-0.104123,-0.104344,-0.104366
mobley_1231151,0,0.451984,0.450197,0.450518,0.438874,0.445792
mobley_1231151,1,0.367301,0.368785,0.385819,0.385047,0.387219
mobley_1231151,2,0.451983,0.450196,0.450517,0.438872,0.445793
mobley_1231151,3,0.053913,0.054096,0.056426,0.056415,0.056237
mobley_1231151,4,-0.128091,-0.127777,-0.128357,-0.127304,-0.127544
mobley_1231151,5,-0.125271,-0.125025,-0.125541,-0.124547,-0.124778
mobley_1231151,6,-0.125348,-0.125058,-0.125562,-0.124542,-0.124772
mobley_1231151,7,-0.144786,-0.144222,-0.147038,-0.145463,-0.146101
mobley_1231151,8,-0.128091,-0.127776,-0.128357,-0.127304,-0.127544
mobley_1231151,9,-0.125348,-0.125058,-0.125562,-0.124542,-0.124772
mobley_1231151,10,-0.125271,-0.125025,-0.125541,-0.124547,-0.124778
mobley_1235151,0,1.007547,1.019766,1.026275,1.011941,1.021243
mobley_1235151,1,0.833345,0.846569,0.850550,0.855083,0.857316
mobley_1235151,2,0.625760,0.629848,0.630630,0.628143,0.641811
mobley_1235151,3,0.872879,0.900085,0.896914,0.904144,0.903053
mobley_1235151,4,1.089456,1.082860,1.117183,1.098696,1.113270
mobley_1235151,5,-1.168157,-1.202066,-1.230254,-1.248155,-1.222438
mobley_1235151,6,-1.763161,-1.763345,-1.761600,-1.762394,-1.762211
mobley_1235151,7,-1.763161,-1.763345,-1.761600,-1.762394,-1.762211
mobley_1235151,8,-0.154014,-0.153518,-0.155089,-0.153303,-0.153776
mobley_1235151,9,-0.147957,-0.147455,-0.148943,-0.147217,-0.147688
mobley_1235151,10,-0.147957,-0.147454,-0.148943,-0.147217,-0.147688
mobley_1235151,11,-0.381830,-0.379574,-0.391962,-0.384979,-0.388594
mobley_1235151,12,-0.381830,-0.379574,-0.391962,-0.384979,-0.388594
mobley_1235151,13,-0.447932,-0.445525,-0.458266,-0.451017,-0.454231
mobley_1235151,14,-0.447931,-0.445524,-0.458265,-0.451016,-0.454231
mobley_1235151,15,-0.396618,-0.394145,-0.404949,-0.398353,-0.400959
mobley_1235151,16,-0.396618,-0.394145,-0.404949,-0.398353,-0.400959
mobley_1235151,17,-0.254810,-0.252722,-0.260666,-0.256039,-0.257741
mobley_1235151,18,-0.254810,-0.252722,-0.260666,-0.256039,-0.257741
mobley_1244778,0,0.412997,0.416432,0.422779,0.416543,0.432224
mobley_1244778,1,0.593633,0.604000,0.602723,0.601441,0.608453
mobley_1244778,2,0.762290,0.773942,0.768838,0.772466,0.767476
mobley_1244778,3,0.285206,0.287780,0.288801,0.286733,0.292421
mobley_1244778,4,-0.192983,-0.195109,-0.194234,-0.194119,-0.194745
mobley_1244778,5,0.448418,0.449968,0.460199,0.456667,0.453922
mobley_1244778,6,0.634789,0.642872,0.647229,0.646209,0.656386
mobley_1244778,7,-1.927556,-1.924109,-1.933691,-1.929440,-1.933701
mobley_1244778,8,-0.412211,-0.408490,-0.415508,-0.410187,-0.410858
mobley_1244778,9,-0.385808,-0.383982,-0.389640,-0.385447,-0.385632
mobley_1244778,10,-0.459100,-0.456548,-0.465161,-0.459363,-0.459978
mobley_1244778,11,-0.472332,-0.468513,-0.477964,-0.471599,-0.472509
mobley_1244778,12,-0.509945,-0.505954,-0.516157,-0.509225,-0.510042
mobley_1244778,13,-0.501425,-0.498284,-0.508175,-0.501514,-0.502345
mobley_1244778,14,-0.526760,-0.521605,-0.532669,-0.526259,-0.526995
mobley_1244778,15,-0.508617,-0.505967,-0.515819,-0.510692,-0.510785
mobley_1244778,16,-0.582669,-0.579238,-0.593984,-0.589257,-0.589930
mobley_1244778,17,-0.487866,-0.483637,-0.494670,-0.488140,-0.488988
mobley_1244778,18,-0.489633,-0.485518,-0.496150,-0.489657,-0.490386
mobley_1244778,19,-0.399996,-0.397607,-0.405807,-0.400282,-0.401541
mobley_1244778,20,-0.461010,-0.457083,-0.466394,-0.459965,-0.461151
mobley_1244778,21,-0.128285,-0.128125,-0.128055,-0.127302,-0.128264
mobley_1261349,0,0.602175,0.643403,0.611641,0.613636,0.607462
mobley_1261349,1,0.754198,0.739478,0.825531,0.782841,0.831897
mobley_1261349,2,0.602174,0.643402,0.611639,0.613637,0.607462
mobley_1261349,3,0.602173,0.643401,0.611638,0.613635,0.607461
mobley_1261349,4,0.602171,0.643401,0.611637,0.613633,0.607462
mobley_1261349,5,-0.242476,-0.241603,-0.243954,-0.242010,-0.241268
mobley_1261349,6,-0.242477,-0.241603,-0.243954,-0.242010,-0.241268
mobley_1261349,7,-0.242476,-0.241603,-0.243954,-0.242010,-0.241268
mobley_1261349,8,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1261349,9,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1261349,10,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1261349,11,-0.242476,-0.241603,-0.243953,-0.242009,-0.241268
mobley_1261349,12,-0.242476,-0.241603,-0.243953,-0.242009,-0.241268
mobley_1261349,13,-0.242476,-0.241603,-0.243953,-0.242009,-0.241268
mobley_1261349,14,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1261349,15,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1261349,16,-0.242476,-0.241603,-0.243953,-0.242010,-0.241268
mobley_1278715,0,-0.610797,-0.614801,-0.612955,-0.613154,-0.613680
mobley_1278715,1,-0.610796,-0.614801,-0.612956,-0.613155,-0.613680
mobley_1278715,2,-0.091232,-0.091232,-0.091371,-0.091196,-0.091550
mobley_1278715,3,-0.091232,-0.091232,-0.091371,-0.091196,-0.091550
mobley_1278715,4,-0.091232,-0.091232,-0.091372,-0.091196,-0.091550
mobley_1278715,5,-0.091232,-0.091232,-0.091371,-0.091196,-0.091550
mobley_1278715,6,-0.091232,-0.091232,-0.091371,-0.091196,-0.091550
mobley_1278715,7,-0.091232,-0.091232,-0.091371,-0.091196,-0.091550
mobley_129464,0,0.804935,0.811223,0.825577,0.806202,0.819371
mobley_129464,1,0.239952,0.240137,0.257610,0.250625,0.262448
mobley_129464,2,0.191869,0.190861,0.207210,0.201520,0.203325
mobley_129464,3,0.710030,0.710730,0.675977,0.695195,0.668610
mobley_129464,4,-2.258347,-2.248764,-2.272654,-2.261766,-2.268038
mobley_129464,5,0.610995,0.625361,0.618111,0.602306,0.606647
mobley_129464,6,0.157888,0.162954,0.165361,0.167170,0.163825
mobley_129464,7,0.621244,0.632062,0.642052,0.642195,0.646052
mobley_129464,8,0.685399,0.691995,0.699118,0.681352,0.694084
mobley_129464,9,-0.148187,-0.147507,-0.148813,-0.147237,-0.147649
mobley_129464,10,-0.151899,-0.150957,-0.152128,-0.150408,-0.150694
mobley_129464,11,-0.145307,-0.144666,-0.145576,-0.144150,-0.144338
mobley_129464,12,-0.341807,-0.339784,-0.350094,-0.344178,-0.347094
mobley_129464,13,-0.337451,-0.334814,-0.344297,-0.338756,-0.341302
mobley_129464,14,-0.383982,-0.381670,-0.392186,-0.386678,-0.388552
mobley_129464,15,-0.406710,-0.403746,-0.416003,-0.409430,-0.412103
mobley_129464,16,-0.310567,-0.307059,-0.314028,-0.310265,-0.310882
mobley_129464,17,-0.349513,-0.345385,-0.353600,-0.349361,-0.349903
mobley_129464,18,-0.355232,-0.351433,-0.359751,-0.355327,-0.355929
mobley_129464,19,-0.341253,-0.337292,-0.345611,-0.340976,-0.342054
mobley_129464,20,-0.403389,-0.400496,-0.412780,-0.406107,-0.408894
mobley_129464,21,-0.424940,-0.421910,-0.434686,-0.427860,-0.430586
mobley_129464,22,-0.334456,-0.332242,-0.342628,-0.336694,-0.339622
mobley_129464,23,-0.339582,-0.337488,-0.347697,-0.341987,-0.344694
mobley_129464,24,-0.147527,-0.146727,-0.147731,-0.146181,-0.146403
mobley_129464,25,-0.141292,-0.140717,-0.141667,-0.140315,-0.140593
mobley_129464,26,-0.141096,-0.140645,-0.141396,-0.140148,-0.140246
mobley_1323538,0,0.572265,0.572850,0.598645,0.575515,0.590522
mobley_1323538,1,0.292888,0.287845,0.297832,0.290116,0.289486
mobley_1323538,2,-1.848217,-1.848579,-1.846848,-1.846585,-1.845847
mobley_1323538,3,0.535597,0.534665,0.535167,0.535305,0.535351
mobley_1323538,4,-1.871578,-1.872563,-1.871857,-1.872255,-1.871943
mobley_1323538,5,-1.848216,-1.848579,-1.846848,-1.846585,-1.845847
mobley_1323538,6,0.292892,0.287850,0.297836,0.290118,0.289487
mobley_1323538,7,0.572253,0.572837,0.598633,0.575502,0.590510
mobley_1323538,8,-1.848216,-1.848578,-1.846847,-1.846584,-1.845846
mobley_1323538,9,0.292894,0.287850,0.297836,0.290121,0.289492
mobley_1323538,10,0.572270,0.572855,0.598653,0.575518,0.590528
mobley_1323538,11,-0.125861,-0.125601,-0.126313,-0.125225,-0.125516
mobley_1323538,12,-0.126130,-0.125804,-0.126628,-0.125436,-0.125783
mobley_1323538,13,-0.127219,-0.126880,-0.127730,-0.126516,-0.126863
mobley_1323538,14,-0.167448,-0.166418,-0.168083,-0.166289,-0.166119
mobley_1323538,15,-0.176229,-0.175157,-0.177082,-0.175078,-0.174877
mobley_1323538,16,-0.167446,-0.166417,-0.168081,-0.166287,-0.166117
