mol_id,stored_single_conf_pred_kcal,true_kcal,stored_single_conf_abs_err
mobley_4690963,0.8908236622810364,-3.54,4.430823662281036
mobley_1967551,-1.8379617929458618,-3.5,1.6620382070541382
mobley_6733657,-9.46372127532959,-3.44,6.02372127532959
mobley_9565165,-5.122689723968506,-3.35,1.7726897239685058
mobley_2487143,-0.5141869187355042,-3.28,2.7658130812644957
mobley_8449031,0.09372949600219727,-3.22,3.3137294960021975
mobley_172879,-2.981137990951538,-3.15,0.16886200904846183
mobley_5346580,-0.5866213440895081,-3.11,2.523378655910492
mobley_3573480,-1.5044879913330078,-3.04,1.5355120086669922
mobley_1075836,1.7054166793823242,-2.93,4.635416679382324
mobley_6102880,-1.959762454032898,-2.87,0.9102375459671022
mobley_1827204,-3.2717299461364746,-2.81,0.46172994613647456
mobley_2146331,-2.3289289474487305,-2.75,0.42107105255126953
mobley_7943327,0.6326491832733154,-2.68,3.3126491832733156
mobley_5110043,-7.79525899887085,-2.63,5.16525899887085
mobley_5616693,-5.321096897125244,-2.53,2.7910968971252443
mobley_6619554,-1.4575856924057007,-2.49,1.0324143075942995
mobley_6359156,-1.8402354717254639,-2.46,0.6197645282745361
mobley_1781152,1.0695310831069946,-2.4,3.4695310831069945
mobley_859464,-2.328739643096924,-2.36,0.03126035690307605
mobley_7150646,-1.8091881275177002,-2.3,0.4908118724822996
mobley_1592519,-2.282884120941162,-2.23,0.05288412094116213
mobley_5538249,-1.9642552137374878,-2.16,0.19574478626251235
mobley_6911232,2.565964937210083,-2.1,4.665964937210083
mobley_3269565,2.2602806091308594,-2.01,4.270280609130859
mobley_2484519,-0.6884441375732422,-1.93,1.2415558624267578
mobley_7690440,1.2282027006149292,-1.83,3.0582027006149293
mobley_3802803,-2.6457161903381348,-1.66,0.9857161903381348
mobley_1144156,1.5570244789123535,-1.59,3.1470244789123534
mobley_2481002,-7.014747142791748,-1.45,5.564747142791748
mobley_2489709,-0.24510957300662994,-1.36,1.1148904269933702
mobley_5052949,-1.5502759218215942,-1.28,0.2702759218215942
mobley_2492140,-26.515975952148438,-1.23,25.285975952148437
mobley_7542832,-0.36721956729888916,-1.16,0.7927804327011108
mobley_7814642,-2.261216640472412,-1.12,1.141216640472412
mobley_1563176,-0.5691540837287903,-0.99,0.4208459162712097
mobley_1873346,-1.8178212642669678,-0.9,0.9178212642669678
mobley_3040612,-1.9493898153305054,-0.85,1.0993898153305053
mobley_4483973,0.13021902740001678,-0.8,0.9302190274000168
mobley_9913368,-0.8994329571723938,-0.78,0.11943295717239377
mobley_1449384,-3.7039337158203125,-0.68,3.0239337158203123
mobley_7708038,0.7078644633293152,-0.56,1.2678644633293152
mobley_8311321,-2.131626605987549,-0.5,1.6316266059875488
mobley_766666,-2.357311487197876,-0.44,1.917311487197876
mobley_5445548,-1.4742107391357422,-0.3,1.1742107391357421
mobley_9029594,-0.4427282214164734,-0.22,0.2227282214164734
mobley_3370989,-1.783547282218933,-0.11,1.673547282218933
mobley_627267,0.18614289164543152,-0.03,0.21614289164543152
mobley_6250025,-2.7692031860351562,0.08,2.8492031860351563
mobley_4252724,-3.668138027191162,0.16,3.8281380271911623
mobley_7157427,-2.72615122795105,0.29,3.01615122795105
mobley_8885088,-0.3281356394290924,0.56,0.8881356394290925
mobley_8522124,-4.003475189208984,0.71,4.713475189208984
mobley_4678740,-1.3353444337844849,1.07,2.405344433784485
mobley_2689721,-2.3235132694244385,1.23,3.5535132694244385
mobley_1662128,0.9691709280014038,1.38,0.4108290719985961
mobley_4762983,-2.59635591506958,1.66,4.25635591506958
mobley_7732703,-0.8300033807754517,1.79,2.6200033807754517
mobley_2068538,0.8470698595046997,2.0,1.1529301404953003
mobley_5157661,0.47805947065353394,2.3,1.8219405293464659
mobley_1261349,3.01261568069458,2.51,0.5026156806945803
mobley_2328633,-6.139643669128418,2.55,8.689643669128419
mobley_8436428,-1.6973495483398438,2.83,4.527349548339844
mobley_3060426,-1.9892604351043701,2.93,4.91926043510437
mobley_2197088,-4.643301486968994,3.16,7.803301486968994
