mol_id,group,n_conformers_kept_50,pred_std_across_conformers,pred_range_kcal,mmff_energy_spread_kcal,tta50_pred_kcal,tta5_pred_kcal_local,tta5_pred_kcal_box,true_kcal,abs_err_tta5_box,abs_err_tta5_local,abs_err_tta50
mobley_6115639,other,5,0.9655787944793701,2.3473904132843018,0.5797567501929564,0.11639020591974258,0.9853187799453735,-8.515653,-8.7,0.147193,9.685318946838379,8.816390037536621
mobley_6353617,other,2,0.08706881105899811,0.12313389778137207,0.03955381566388638,-3.23109769821167,-3.23109769821167,-7.844979,-8.26,0.296224,5.028902530670166,5.028902530670166
mobley_2725215,other,34,1.2327505350112915,6.212807655334473,5.2888439032438725,-9.2185640335083,-8.356855392456055,-9.82455,-7.98,1.955904,0.37685537338256836,1.2385640144348145
mobley_7039935,other,1,0.0,0.0,0.0,-4.0543670654296875,-4.0543670654296875,-6.478008,-7.67,1.125567,3.615633010864258,3.615633010864258
mobley_4059279,other,2,0.8651689887046814,1.2235337495803833,9.344993161567274,-1.7059519290924072,-1.7059519290924072,-7.095966,-7.58,0.387042,5.874048233032227,5.874048233032227
mobley_951560,other,1,0.0,0.0,0.0,-1.4273113012313843,-1.4273113012313843,-9.141603,-7.4,1.997906,5.972688674926758,5.972688674926758
mobley_1922649,other,27,0.5195026397705078,1.7055442333221436,4.5106184921432195,-3.061300754547119,-3.009183406829834,-8.291383,-7.19,1.413788,4.180816650390625,4.12869930267334
mobley_8798016,certain47,1,0.0,0.0,0.0,-3.921454906463623,-3.921454906463623,-7.196446,-7.0,0.226773,3.078545093536377,3.078545093536377
mobley_1858644,other,3,0.4748653173446655,0.940471887588501,0.9371614234592585,-3.0114028453826904,-3.2274270057678223,-6.549028,-6.79,0.333996,3.562572956085205,3.778597116470337
mobley_9114381,other,4,0.6070960164070129,1.0515365600585938,0.7628616871075184,0.0864751785993576,0.0864751785993576,-7.591211,-6.72,1.055807,6.8064751625061035,6.8064751625061035
mobley_5311804,other,1,0.0,0.0,0.0,-2.8137359619140625,-2.8137359619140625,-6.204703,-6.62,0.632132,3.8062639236450195,3.8062639236450195
mobley_6743808,other,1,0.0,0.0,0.0,-4.341241359710693,-4.341241359710693,-6.214886,-6.5,0.117543,2.1587586402893066,2.1587586402893066
mobley_8789864,other,4,0.845793604850769,1.8802874088287354,11.828225855546222,1.949674367904663,2.257229804992676,-8.249357,-6.4,2.118271,8.657230377197266,8.349674224853516
mobley_7009711,other,1,0.0,0.0,0.0,-6.0614118576049805,-6.0614118576049805,-6.226927,-6.27,0.482528,0.2085881233215332,0.2085881233215332
mobley_8789465,other,1,0.0,0.0,0.0,-2.801081657409668,-2.801081657409668,-5.929245,-6.2,0.217525,3.3989181518554688,3.3989181518554688
mobley_2923700,other,1,0.0,0.0,0.0,-4.365924835205078,-4.365924835205078,-5.719179,-6.13,0.359722,1.7640752792358398,1.7640752792358398
mobley_4780078,other,1,0.0,0.0,0.0,-2.168344497680664,-2.168344497680664,-5.558605,-6.01,0.282344,3.841655731201172,3.841655731201172
mobley_5467162,other,1,0.0,0.0,0.0,-5.048050403594971,-5.048050403594971,-5.680207,-5.91,0.327724,0.8619494438171387,0.8619494438171387
mobley_6257907,gradient12,1,0.0,0.0,0.0,-7.0700788497924805,-7.0700788497924805,-6.259274,-5.82,0.617863,1.2500786781311035,1.2500786781311035
mobley_7913234,other,37,1.0723092555999756,4.774786949157715,8.281968238895132,-1.6390186548233032,-1.9125440120697021,-6.817942,-5.73,1.011322,3.817456007003784,4.090981483459473
mobley_5518547,certain47,1,0.0,0.0,0.0,-7.638607978820801,-7.638607978820801,-5.619876,-5.57,0.160313,2.068607807159424,2.068607807159424
mobley_4883284,gradient12,1,0.0,0.0,0.0,-5.225617408752441,-5.225617408752441,-5.949131,-5.49,0.564867,0.26438236236572266,0.26438236236572266
mobley_5220185,other,4,0.7072505950927734,1.4146373271942139,2.1014522850729307,-3.5869083404541016,-3.9405460357666016,-5.185632,-5.45,0.04786,1.5094537734985352,1.8630914688110352
mobley_3359593,isolated6,6,0.16036775708198547,0.36268043518066406,8.29375008928713,-4.6146559715271,-4.697599411010742,-5.899163,-5.26,0.714741,0.5624008178710938,0.6453442573547363
mobley_4683624,other,3,0.1946607232093811,0.33717918395996094,0.06910802103897762,-5.4940948486328125,-5.4940948486328125,-5.622916,-5.21,0.461769,0.28409481048583984,0.28409481048583984
mobley_1636752,certain47,1,0.0,0.0,0.0,1.700021505355835,1.700021505355835,-5.248832,-5.1,0.193523,6.800021171569824,6.800021171569824
mobley_2310185,certain47,1,0.0,0.0,0.0,0.36537232995033264,0.36537232995033264,-5.160136,-5.0,0.208744,5.365372180938721,5.365372180938721
mobley_3682850,gradient12,1,0.0,0.0,0.0,-1.68401038646698,-1.68401038646698,-4.491678,-4.91,0.425507,3.22598934173584,3.22598934173584
mobley_1363784,other,1,0.0,0.0,0.0,-5.498796463012695,-5.498796463012695,-4.332437,-4.84,0.498597,0.6587963104248047,0.6587963104248047
mobley_2837389,other,1,0.0,0.0,0.0,-1.3191298246383667,-1.3191298246383667,-5.502941,-4.78,0.869351,3.4608702659606934,3.4608702659606934
mobley_9507933,certain47,1,0.0,0.0,0.0,-6.230099201202393,-6.230099201202393,-4.523609,-4.72,0.168151,1.5100994110107422,1.5100994110107422
mobley_296847,other,1,0.0,0.0,0.0,-0.4305596649646759,-0.4305596649646759,-4.343585,-4.69,0.019711,4.2594404220581055,4.2594404220581055
mobley_8208692,other,2,0.0006183785735629499,0.0008745193481445312,7.2487981839231e-07,-5.400293350219727,-5.400293350219727,-3.225993,-4.61,1.309067,0.7902932167053223,0.7902932167053223
mobley_4884177,other,2,2.646875691425521e-05,3.743171691894531e-05,2.958650213713554e-09,-3.1568164825439453,-3.1568164825439453,-4.320381,-4.59,0.166916,1.4331836700439453,1.4331836700439453
mobley_6714389,other,1,0.0,0.0,0.0,1.094557285308838,1.094557285308838,-4.80098,-4.55,0.445853,5.644557476043701,5.644557476043701
mobley_2245668,certain47,2,0.3739873170852661,0.5288979411125183,0.5882187801918435,-0.10954653471708298,-0.10954653471708298,-4.590388,-4.5,0.048121,4.390453338623047,4.390453338623047
mobley_5973402,certain47,7,0.7031800150871277,1.8229286670684814,1.7711245001647775,-0.6378045082092285,-0.889925479888916,-4.171448,-4.42,0.234978,3.5300745964050293,3.782195568084717
mobley_3546460,certain47,27,0.8250550627708435,2.9589967727661133,4.658092356565544,-1.4369492530822754,-2.1673777103424072,-4.294734,-4.4,0.091769,2.2326223850250244,2.9630508422851562
mobley_8311303,other,1,0.0,0.0,0.0,-3.0419604778289795,-3.0419604778289795,-3.293182,-4.38,0.981506,1.3380396366119385,1.3380396366119385
mobley_9741965,other,19,1.0951536893844604,3.3170924186706543,1.9329136457642413,-0.4555177688598633,0.23610803484916687,-4.952564,-4.29,0.757753,4.5261077880859375,3.834482192993164
mobley_4603202,other,23,0.9156690835952759,3.6684303283691406,4.576361072908242,1.6495394706726074,2.20428466796875,-4.165332,-4.23,0.010166,6.434284687042236,5.879539489746094
mobley_628086,other,1,0.0,0.0,0.0,0.5231266021728516,0.5231266021728516,-4.047447,-4.16,0.181232,4.683126449584961,4.683126449584961
mobley_4620651,gradient12,2,0.3882858157157898,0.5491191148757935,0.26120710298076943,-0.43020033836364746,-0.43020033836364746,-3.278359,-4.1,0.804883,3.669799566268921,3.669799566268921
mobley_7977115,certain47,18,0.7974718809127808,2.6525044441223145,5.609240794096124,-0.7536108493804932,-1.3685994148254395,-4.176212,-4.06,0.027464,2.6914005279541016,3.306389093399048
mobley_2789243,other,1,0.0,0.0,0.0,-1.7735965251922607,-1.7735965251922607,-4.784888,-4.01,0.980047,2.236403703689575,2.236403703689575
mobley_3968739,certain47,1,0.0,0.0,0.0,-0.30230632424354553,-0.30230632424354553,-3.741112,-3.92,0.150142,3.6176936626434326,3.6176936626434326
mobley_63712,other,2,0.2534812092781067,0.35847657918930054,7.941605874862953,-0.8675594329833984,-1.046797513961792,-3.108272,-3.88,0.673839,2.833202600479126,3.0124406814575195
mobley_1046331,other,1,0.0,0.0,0.0,-2.9715771675109863,-2.9715771675109863,-3.363668,-3.82,0.431888,0.8484227657318115,0.8484227657318115
mobley_1160109,certain47,11,1.3198457956314087,4.0726118087768555,7.385591750524654,-4.337817192077637,-4.793105602264404,-3.631805,-3.75,0.152691,1.0431056022644043,0.5878171920776367
mobley_4149784,other,1,0.0,0.0,0.0,-5.530550956726074,-5.530550956726074,-3.225137,-3.67,0.304051,1.860550880432129,1.860550880432129
mobley_397645,certain47,3,0.2555214762687683,0.44258105754852295,0.4511969722423359,-1.682525634765625,-1.682525634765625,-3.435672,-3.64,0.218903,1.9574744701385498,1.9574744701385498
mobley_4690963,other,22,0.7498957514762878,2.8776087760925293,5.0390276128634355,-0.02355956844985485,-0.18080531060695648,-4.231717,-3.54,0.697987,3.359194755554199,3.5164403915405273
mobley_1967551,certain47,1,0.0,0.0,0.0,-1.8379617929458618,-1.8379617929458618,-3.576121,-3.5,0.080715,1.6620382070541382,1.6620382070541382
mobley_6733657,other,1,0.0,0.0,0.0,-9.46372127532959,-9.46372127532959,-5.221181,-3.44,1.828977,6.023721218109131,6.023721218109131
mobley_9565165,other,1,0.0,0.0,0.0,-5.122689723968506,-5.122689723968506,-3.044209,-3.35,0.212707,1.7726898193359375,1.7726898193359375
mobley_2487143,certain47,15,0.4712245762348175,1.703609824180603,2.4891474634998665,-0.7060432434082031,-0.8176053762435913,-3.269985,-3.28,0.037202,2.4623947143554688,2.5739567279815674
mobley_8449031,gradient12,6,1.094990611076355,2.9778246879577637,1.1047933628171727,0.22958528995513916,-0.21694044768810272,-2.265418,-3.22,1.012433,3.0030596256256104,3.449585437774658
mobley_172879,other,1,0.0,0.0,0.0,-2.981137990951538,-2.981137990951538,-3.100978,-3.15,0.113362,0.16886210441589355,0.16886210441589355
mobley_5346580,certain47,1,0.0,0.0,0.0,-0.5866213440895081,-0.5866213440895081,-2.963547,-3.11,0.176327,2.523378610610962,2.523378610610962
mobley_3573480,certain47,23,0.6399235725402832,2.2179043292999268,3.6780452857083,-1.5109984874725342,-1.5800354480743408,-3.13491,-3.04,0.052288,1.4599645137786865,1.5290014743804932
mobley_1075836,certain47,4,0.21058587729930878,0.4211951494216919,0.7112848854722689,1.3895374536514282,1.4948195219039917,-3.003567,-2.93,0.13008,4.424819469451904,4.31953763961792
mobley_6102880,certain47,3,2.426106766506564e-05,4.8041343688964844e-05,9.011841939354781e-09,-1.9597892761230469,-1.9597892761230469,-2.786055,-2.87,0.015531,0.9102106094360352,0.9102106094360352
mobley_1827204,certain47,23,0.8395411968231201,3.204498052597046,4.101307446541565,-2.2330000400543213,-2.8935279846191406,-2.93804,-2.81,0.1297,0.08352804183959961,0.5769999027252197
mobley_2146331,other,1,0.0,0.0,0.0,-2.3289289474487305,-2.3289289474487305,-3.891891,-2.75,1.092694,0.42107105255126953,0.42107105255126953
mobley_7943327,certain47,10,0.3244239091873169,0.9286170601844788,1.1469932861540517,0.11633270978927612,0.09894053637981415,-2.680725,-2.68,0.041188,2.7789406776428223,2.796332836151123
mobley_5110043,other,1,0.0,0.0,0.0,-7.79525899887085,-7.79525899887085,-2.262045,-2.63,0.304087,5.165258884429932,5.165258884429932
mobley_5616693,other,8,0.5857561826705933,1.4600751399993896,7.443612921415074,-4.7000627517700195,-4.628453254699707,-3.329494,-2.53,0.66032,2.0984532833099365,2.170062780380249
mobley_6619554,certain47,25,0.404651403427124,1.7068363428115845,1.8476276935794136,-0.957926332950592,-1.0521595478057861,-2.417729,-2.49,0.067886,1.437840461730957,1.532073736190796
mobley_6359156,other,2,5.057621592641226e-07,7.152557373046875e-07,1.1465033367130673e-09,-1.8402366638183594,-1.8402366638183594,-3.091326,-2.46,0.649604,0.6197633743286133,0.6197633743286133
mobley_1781152,certain47,1,0.0,0.0,0.0,1.0695310831069946,1.0695310831069946,-2.281577,-2.4,0.115716,3.4695310592651367,3.4695310592651367
mobley_859464,certain47,9,0.4638184607028961,1.0921411514282227,1.079016428118173,-2.57746958732605,-2.465813159942627,-2.44652,-2.36,0.097102,0.10581326484680176,0.2174696922302246
mobley_7150646,isolated6,1,0.0,0.0,0.0,-1.8091881275177002,-1.8091881275177002,-1.72593,-2.3,0.546175,0.490811824798584,0.490811824798584
mobley_1592519,certain47,38,0.5432528257369995,1.9985911846160889,4.687017235400562,-1.863464593887329,-2.1871492862701416,-2.121608,-2.23,0.099261,0.04285073280334473,0.3665354251861572
mobley_5538249,certain47,1,0.0,0.0,0.0,-1.9642552137374878,-1.9642552137374878,-2.126223,-2.16,0.031378,0.19574487209320068,0.19574487209320068
mobley_6911232,certain47,2,1.2018100023269653,1.6996159553527832,1.4986145046235446,1.7161569595336914,1.7161569595336914,-1.740984,-2.1,0.335707,3.8161568641662598,3.8161568641662598
mobley_3269565,gradient12,1,0.0,0.0,0.0,2.2602806091308594,2.2602806091308594,-1.575637,-2.01,0.454734,4.270280838012695,4.270280838012695
mobley_2484519,certain47,1,0.0,0.0,0.0,-0.6884441375732422,-0.6884441375732422,-2.011054,-1.93,0.134748,1.2415558099746704,1.2415558099746704
mobley_7690440,isolated6,2,1.0874213330680504e-05,1.537799835205078e-05,5.862332841388707e-10,1.2282092571258545,1.2282092571258545,-1.507251,-1.83,0.474423,3.0582094192504883,3.0582094192504883
mobley_3802803,certain47,31,1.0091462135314941,3.7841830253601074,4.7091043313591445,-1.2280157804489136,-0.8397795557975769,-1.682614,-1.66,0.079206,0.820220410823822,0.43198418617248535
mobley_1144156,certain47,5,0.4599260091781616,1.0953789949417114,3.0320788666201546,0.7482596635818481,0.7777032852172852,-1.514696,-1.59,0.055814,2.367703437805176,2.338259696960449
mobley_2481002,other,1,0.0,0.0,0.0,-7.014747142791748,-7.014747142791748,-3.163068,-1.45,1.604438,5.564746856689453,5.564746856689453
mobley_2489709,certain47,1,0.0,0.0,0.0,-0.24510957300662994,-0.24510957300662994,-1.179184,-1.36,0.092989,1.114890456199646,1.114890456199646
mobley_5052949,gradient12,26,0.9123194217681885,3.4063892364501953,2.4290262988468987,0.18137380480766296,-0.17197608947753906,-0.52697,-1.28,0.862238,1.1080238819122314,1.4613738059997559
mobley_2492140,other,1,0.0,0.0,0.0,-26.515975952148438,-26.515975952148438,-1.531144,-1.23,0.102875,25.28597640991211,25.28597640991211
mobley_7542832,certain47,18,0.9894988536834717,3.0865626335144043,3.1896876367826614,-0.5236229300498962,-0.35167378187179565,-1.14524,-1.16,0.021131,0.8083261847496033,0.6363770365715027
mobley_7814642,certain47,1,0.0,0.0,0.0,-2.261216640472412,-2.261216640472412,-1.384256,-1.12,0.346927,1.1412166357040405,1.1412166357040405
mobley_1563176,gradient12,8,0.8991150259971619,2.5588696002960205,3.673322665278928,0.538469672203064,0.697679340839386,-0.725599,-0.99,0.3441,1.6876792907714844,1.5284696817398071
mobley_1873346,certain47,1,0.0,0.0,0.0,-1.8178212642669678,-1.8178212642669678,-0.86671,-0.9,0.004793,0.9178212881088257,0.9178212881088257
mobley_3040612,certain47,3,0.13348843157291412,0.23121845722198486,1.2683605374626445,-1.872310757637024,-1.9493803977966309,-0.690338,-0.85,0.158054,1.099380373954773,1.022310733795166
mobley_4483973,gradient12,1,0.0,0.0,0.0,0.13021902740001678,0.13021902740001678,-1.513025,-0.8,0.822318,0.9302190542221069,0.9302190542221069
mobley_9913368,isolated6,1,0.0,0.0,0.0,-0.8994329571723938,-0.8994329571723938,-1.826828,-0.78,0.973903,0.11943298578262329,0.11943298578262329
mobley_1449384,gradient12,1,0.0,0.0,0.0,-3.7039337158203125,-3.7039337158203125,-0.302322,-0.68,0.416688,3.0239336490631104,3.0239336490631104
mobley_7708038,certain47,3,0.3238227367401123,0.5608835220336914,0.3849448404948519,0.5209109783172607,0.7078644633293152,-0.528852,-0.56,0.007993,1.267864465713501,1.0809109210968018
mobley_8311321,other,1,0.0,0.0,0.0,-2.131626605987549,-2.131626605987549,0.701978,-0.5,1.147372,1.6316266059875488,1.6316266059875488
mobley_766666,isolated6,1,0.0,0.0,0.0,-2.357311487197876,-2.357311487197876,-0.725555,-0.44,0.410338,1.917311429977417,1.917311429977417
mobley_5445548,certain47,2,1.1885710591741372e-05,1.6808509826660156e-05,5.81665204890669e-09,-1.4742202758789062,-1.4742107391357422,-0.428445,-0.3,0.092207,1.174210786819458,1.174220323562622
mobley_9029594,other,1,0.0,0.0,0.0,-0.4427282214164734,-0.4427282214164734,-0.951281,-0.22,0.603781,0.22272822260856628,0.22272822260856628
mobley_3370989,other,1,0.0,0.0,0.0,-1.783547282218933,-1.783547282218933,0.306688,-0.11,0.395943,1.6735472679138184,1.6735472679138184
mobley_627267,certain47,2,0.22525374591350555,0.31855690479278564,0.5831820830036731,0.3454214334487915,0.3454214334487915,-0.07541,-0.03,0.009062,0.3754214346408844,0.3754214346408844
mobley_6250025,certain47,20,0.5031748414039612,1.681022047996521,4.236864676758492,-1.8354742527008057,-2.026557207107544,0.237921,0.08,0.226865,2.1065571308135986,1.91547429561615
mobley_4252724,gradient12,3,0.19038796424865723,0.32976222038269043,0.5644138677843351,-3.7780544757843018,-3.668138027191162,-0.263039,0.16,0.401738,3.8281381130218506,3.9380545616149902
mobley_7157427,certain47,36,0.6666021347045898,2.721797227859497,4.530507154940204,-1.8245348930358887,-1.9885879755020142,0.35127,0.29,0.087019,2.278588056564331,2.114534854888916
mobley_8885088,isolated6,1,0.0,0.0,0.0,-0.3281356394290924,-0.3281356394290924,0.168742,0.56,0.44199,0.8881356716156006,0.8881356716156006
mobley_8522124,certain47,25,0.5964735746383667,2.2561845779418945,3.7491063298722356,-3.0627472400665283,-2.9097940921783447,0.74427,0.71,0.079021,3.6197941303253174,3.772747278213501
mobley_4678740,other,3,1.5687235645600595e-05,3.0875205993652344e-05,1.2670199112108094e-08,-1.3353286981582642,-1.3353444337844849,1.110734,1.07,0.047235,2.4053444862365723,2.4053287506103516
mobley_2689721,certain47,1,0.0,0.0,0.0,-2.3235132694244385,-2.3235132694244385,1.109857,1.23,0.134371,3.553513288497925,3.553513288497925
mobley_1662128,certain47,2,4.720447122963378e-06,6.67572021484375e-06,2.55997001374908e-10,0.9691739082336426,0.9691739082336426,1.214554,1.38,0.14215,0.41082608699798584,0.41082608699798584
mobley_4762983,certain47,33,0.8492278456687927,3.239621162414551,4.400670059226522,-1.6535727977752686,-1.916943907737732,1.727566,1.66,0.105555,3.576943874359131,3.313572883605957
mobley_7732703,other,1,0.0,0.0,0.0,-0.8300033807754517,-0.8300033807754517,2.335266,1.79,0.609103,2.6200032234191895,2.6200032234191895
mobley_2068538,certain47,1,0.0,0.0,0.0,0.8470698595046997,0.8470698595046997,1.690307,2.0,0.289895,1.1529301404953003,1.1529301404953003
mobley_5157661,certain47,1,0.0,0.0,0.0,0.47805947065353394,0.47805947065353394,2.229164,2.3,0.04793,1.8219404220581055,1.8219404220581055
mobley_1261349,other,1,0.0,0.0,0.0,3.01261568069458,3.01261568069458,2.596068,2.51,0.07022,0.5026156902313232,0.5026156902313232
mobley_2328633,other,31,0.7146207690238953,2.4703922271728516,5.1654709206029175,-5.875288486480713,-6.023012638092041,1.629904,2.55,0.914592,8.573012351989746,8.425288200378418
mobley_8436428,certain47,5,0.36854541301727295,0.726988673210144,3.2056802990864997,-1.361112356185913,-1.455026626586914,2.723793,2.83,0.076447,4.285026550292969,4.191112518310547
mobley_3060426,other,6,1.243065357208252,2.718287944793701,3.512358791244198,-2.67236328125,-3.1254076957702637,2.982223,2.93,0.092126,6.055407524108887,5.602363586425781
mobley_2197088,certain47,46,0.7552107572555542,4.408465385437012,4.785716121760142,-3.887962579727173,-4.296046257019043,3.104929,3.16,0.024532,7.456046104431152,7.047962665557861
