id,exp,E_42,E_123,E_7,E_2024,E_999,N
ibuprofen,-7.1100,-6.4249,-6.3501,-6.4969,-6.4813,-6.4372,33
imiprothrin,-11.7000,-12.9785,-12.8943,-12.9656,-13.0603,-13.0037,45
indane,-1.4000,-3.2840,-3.2516,-3.2833,-3.2836,-3.2533,19
indanofan,-10.3000,-2.5576,-2.3821,-2.4177,-2.5844,-2.4435,41
"indeno-1,2,3-cd-pyrene",-6.6300,-5.3078,-5.1343,-4.9560,-5.1728,-4.9418,34
indoxacarb,-10.3000,4.4264,4.5115,4.9861,4.4263,4.7724,53
isazophos,-6.3700,-10.1279,-10.1394,-10.0967,-10.2146,-10.1671,35
isofenphos,-7.4700,-10.9707,-10.9467,-10.9653,-11.0508,-10.9894,46
isosativene,0.0200,24.8606,25.1470,24.6818,24.5083,24.6458,39
isouron,-11.3000,-5.8455,-5.7910,-5.7010,-5.8960,-5.7586,32
isoxaben,-9.9400,-8.0630,-8.0634,-8.0098,-8.2103,-8.0443,48
levoglucosan,-19.2000,-10.3066,-10.2782,-10.3679,-10.4439,-10.4735,21
limonene,-0.0900,-2.6702,-2.5874,-2.7027,-2.6933,-2.6507,26
linalool,-3.6800,-5.3883,-5.3427,-5.4213,-5.4262,-5.3974,29
malathion,-6.4100,-10.9198,-10.9455,-11.0062,-11.0395,-11.0670,38
mannose,-17.0000,-17.0846,-17.0247,-17.2781,-17.2348,-17.2821,24
metalaxyl,-9.4300,-11.0753,-10.9858,-10.9406,-11.0617,-10.9947,41
methacrolein,-2.7900,-2.7094,-2.6986,-2.6859,-2.7018,-2.6982,11
methylal,-2.9700,-4.7172,-4.7242,-4.7007,-4.7338,-4.7132,13
methyljasmonate,-6.9500,-7.5165,-7.5055,-7.6728,-7.6235,-7.5638,36
metobromuron,-9.4100,-5.5017,-5.4551,-5.3410,-5.4737,-5.4333,25
metominostrobin,-10.6000,-6.2054,-6.2090,-6.1331,-6.2355,-6.2032,37
mirex,-2.0100,5.4163,5.5152,5.0832,5.0468,5.0125,22
monodesmethylisoproturon,-12.1000,-6.8726,-6.8483,-6.8012,-6.9119,-6.8287,30
n-nitrosodiphenylamine,-1.8200,-6.1807,-6.1855,-6.1776,-6.2602,-6.1939,25
naled,-3.5100,-9.9771,-10.0036,-9.9898,-10.0170,-10.0331,20
nitronaphtalene,-5.5300,-5.7615,-5.7281,-5.6989,-5.7686,-5.7074,20
norflurazon,-10.7000,-9.0514,-9.0823,-9.0619,-9.0923,-9.0622,29
octachlorodibenzo-p-dioxin,-4.8700,-4.8363,-4.8281,-4.7659,-4.8727,-4.8235,22
octachloronaphtalene,-4.7400,-3.1001,-3.1193,-3.0749,-3.1169,-3.0870,18
oxadiazon,-7.5600,-11.6189,-11.6429,-11.8247,-11.8404,-11.7741,40
p-menthane,2.5300,0.1937,0.2874,0.0704,0.0617,0.2832,30
p-tert-octylphenol,-5.1200,-1.3453,-1.0710,-1.3766,-1.3927,-1.2338,37
paraldehyde,-4.3100,1.1125,1.1678,1.2535,1.1802,1.1072,21
parathion,-7.4700,-11.4308,-11.4494,-11.3505,-11.4407,-11.3695,32
pcb-129,-3.9900,-3.5270,-3.5205,-3.5300,-3.5486,-3.5333,22
pcde-187,-1.7200,-6.5806,-6.5932,-6.6426,-6.6410,-6.6515,23
penoxaline,-6.1000,-4.3108,-4.2991,-4.0707,-4.3999,-4.1458,39
penoxsulam,-22.3000,12.4696,12.4744,12.8384,12.1332,12.4403,46
pentadecalacetone,-1.3600,-6.4517,-6.2727,-6.6265,-6.3790,-6.4137,45
pentaerythritol,-19.4000,-11.4535,-11.4614,-11.4524,-11.5101,-11.4425,21
pentylcyclopentane,2.5700,-0.9655,-0.7611,-1.0072,-0.9411,-0.8640,30
peroxyisobutyrylnitrate,-1.9000,-11.4080,-11.3981,-11.3818,-11.4133,-11.3694,17
perylene,-5.2200,-3.6303,-3.5292,-3.4936,-3.5902,-3.4809,32
phenmedipham,-14.3000,-10.5846,-10.5375,-10.3941,-10.5703,-10.4950,38
phenoxymethyl-oxirane,-5.9900,-5.0904,-5.0810,-5.0127,-5.1162,-5.0504,21
phenylacetylene,-2.1800,-2.9103,-2.8949,-2.8938,-2.9107,-2.8974,14
phtalicanhydride,-8.4300,-7.5132,-7.5145,-7.5952,-7.5832,-7.6212,15
pinoxaden,-12.9000,-4.8056,-4.8254,-4.9836,-5.0044,-4.9063,61
pirimor,-10.2000,-8.1649,-8.2645,-8.0987,-8.3276,-8.1918,35
prochloraz,-8.4200,-13.5492,-13.5068,-13.6734,-13.6682,-13.7494,39
profenofos,-8.2500,-7.8595,-7.8710,-7.7890,-7.8514,-7.7906,33
prothioconazole,-10.6000,-5.3178,-5.4053,-5.4116,-5.5267,-5.4554,36
pyrene,-4.3200,-4.1513,-4.0832,-4.0589,-4.1196,-4.0357,26
quinomethionate,-7.6400,-11.0037,-11.0207,-11.0076,-11.0357,-10.9999,21
salicylaldehyde,-4.6900,-6.3342,-6.3350,-6.3434,-6.3462,-6.3514,15
simazine,-10.0900,-10.1290,-10.2095,-10.0398,-10.1973,-10.0870,25
spirodiclofen,-7.6700,-8.9970,-8.9609,-9.1732,-9.2604,-9.0861,51
sulfallate,-4.8700,-4.9411,-4.9528,-4.9155,-4.9733,-4.9433,26
syringylacetone,-12.9000,-8.5961,-8.5794,-8.5761,-8.6163,-8.5789,32
teflubenzuron,-11.2000,-9.8778,-9.8510,-9.7432,-9.8549,-9.7823,30
tetrabromopisphenol-a,-7.8800,-11.9896,-11.9062,-12.1176,-12.0819,-12.0851,33
tetrachlorvinphos,-9.7300,-10.0765,-10.0998,-10.0816,-10.1228,-10.1212,28
tetraconazole,-9.2200,-7.6120,-7.6804,-7.8581,-7.8373,-7.8628,34
tetralin,-1.6400,-2.9352,-2.8687,-2.9209,-2.9074,-2.8614,22
tetramethrin,-5.6700,-12.3565,-12.1749,-12.4247,-12.4219,-12.3948,49
thfensulfuron-methyl,-16.3000,-15.9758,-16.1153,-15.9508,-16.2551,-16.1314,38
thiazopyr,-6.4300,-8.7980,-8.7323,-8.7117,-8.8199,-8.6908,43
thujone,-3.2700,4.1653,4.2667,4.1566,3.9041,4.0812,27
tolylfluanid,-6.1500,-10.8213,-10.8480,-10.8508,-10.8999,-10.8886,32
tonalide,-3.0500,4.7184,4.8658,4.7002,4.4791,4.8829,45
trans-decaline,0.2400,-2.1331,-2.0719,-2.1994,-2.2382,-2.0279,28
trans-ethylcinnamate,-5.1200,-4.4053,-4.3736,-4.4034,-4.4195,-4.4204,25
trans-nonachlor,-2.5700,1.5729,1.5905,1.5842,1.4569,1.5950,24
trans-stilbene,-2.1000,-1.7754,-1.7168,-1.8135,-1.7827,-1.8108,26
tricyclene,1.2500,13.0482,13.4112,12.6599,12.4637,12.5703,26
triethanolamine,-14.4000,-9.5104,-9.4578,-9.3548,-9.4121,-9.4297,25
triflumizole,-11.8000,-5.6749,-5.6460,-5.6239,-5.6807,-5.6669,38
triforine,-9.2900,-17.7876,-17.7937,-18.0708,-17.9294,-18.0094,36
trinexapac,-13.6000,-9.3759,-9.3000,-9.3058,-9.3391,-9.3544,28
trinexapac-ethyl,-5.6000,-7.8240,-7.7221,-7.8323,-7.8196,-7.9017,34
vanilin,-9.0400,-7.7657,-7.7865,-7.7772,-7.8180,-7.8015,19
warfarin,-10.9000,-9.4020,-9.3793,-9.4731,-9.4436,-9.4397,39
15-crown-5,-12.8200,-7.5487,-7.6876,-6.9247,-7.4517,-6.9939,35
18-crown-6,-15.5900,-7.7648,-7.8995,-7.1476,-7.6859,-7.2076,42
azinphos-methyl,-10.0300,-11.9002,-11.9088,-11.8131,-11.9784,-11.8977,31
benzo-15-crown-5,-14.3900,-5.1997,-5.3173,-4.9358,-5.2812,-5.0942,39
benzo-18-crown-6,-17.8800,-5.4283,-5.4838,-4.5798,-5.2749,-4.8462,46
dibenzo-18-crown-6,-18.2500,-1.5945,-1.6182,-0.0989,-1.2708,-0.5756,50
dibenzo-24-crown-8,-23.6300,25.5956,25.2533,27.9303,26.0628,27.4307,64
piroxicam,-15.8000,-11.2210,-11.2640,-11.0417,-11.2593,-11.2046,36
sulfathiazole,-15.9000,-16.0692,-16.0794,-16.0692,-16.0848,-16.0817,25
anycymidol,-12.3700,-6.9772,-6.8778,-6.7031,-6.9098,-6.8065,35
diallylsulfide,4.8600,-1.8076,-1.7966,-1.7858,-1.8183,-1.8148,17
dimethenamid,-10.0900,-6.4417,-6.3780,-6.4243,-6.4919,-6.5166,35
dimethylterephthalate,-9.6700,-7.6574,-7.6682,-7.6931,-7.7148,-7.7236,24
fenchlorphos,-10.9000,-7.9451,-7.9782,-7.9335,-7.9753,-7.9521,24
toxaphene,2.4900,1.3370,1.3766,1.3373,1.2633,1.3051,26
picloram,-11.9600,-10.1904,-10.2199,-10.1670,-10.2144,-10.1902,16
