mol_id,smiles,in_model_vocab,reason
mobley_9201263,COS(=O)(=O)C,True,ok
mobley_2923700,CCc1ccc(cc1)O,True,ok
mobley_819018,CC(=CCC/C(=C/CO)/C)C,True,ok
mobley_3709920,CCCCCCCC=C,True,ok
mobley_6416775,CCCC1CCCC1,True,ok
mobley_2489709,c1ccc(c(c1)Cl)Cl,True,ok
mobley_52782,C(CO[N+](=O)[O-])O[N+](=O)[O-],True,ok
mobley_2972906,c1ccsc1,True,ok
mobley_6620221,CC1(Cc2cccc(c2O1)OC(=O)NC)C,True,ok
mobley_8668219,CC[C@@H](C)C(C)C,True,ok
mobley_632905,CC(=O)c1ccc(cc1)OC,True,ok
mobley_1987439,Cc1cc(cc(c1)C)C,True,ok
mobley_6091882,C=C,True,ok
mobley_5880265,CCCCOCCO,True,ok
mobley_3167746,CCCCCCCC,True,ok
mobley_5079234,CCCCCCCO,True,ok
mobley_4434915,CCl,True,ok
mobley_7690440,CSSC,True,ok
mobley_718988,CCCCCCCN,True,ok
mobley_3211679,C1CCC=CC1,True,ok
mobley_5471704,CC(C)CCOC(=O)C,True,ok
mobley_3686115,CCOC(C)OCC,True,ok
mobley_9897248,CC(=CCC/C(=C\CO)/C)C,True,ok
mobley_951560,C1CNCCN1,True,ok
mobley_902954,CCCCO[N+](=O)[O-],True,ok
mobley_6812653,CCCCCC,True,ok
mobley_5616693,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,True,ok
mobley_7859387,CCCCCCC=O,True,ok
mobley_7578802,C(Br)(Br)Br,False,excluded_elements
mobley_5692472,CNC,True,ok
mobley_4035953,Cc1ccccc1O,True,ok
mobley_2763835,CCOc1ccccc1,True,ok
mobley_3589456,COC(CCl)(OC)OC,True,ok
mobley_5917842,Cc1ccc(c(c1)OC)O,True,ok
mobley_676247,C(F)(F)(F)F,True,ok
mobley_3395921,C1CCOCC1,True,ok
mobley_7768165,C(CBr)Cl,False,excluded_elements
mobley_8754702,CCCOC=O,True,ok
mobley_2929847,CC(C)CC(=O)O,True,ok
mobley_3269819,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,True,ok
mobley_2341732,CCCCC(=O)OC,True,ok
mobley_4463913,CC(OC(=O)C)OC(=O)C,True,ok
mobley_1976156,CCCCCCCCC=O,True,ok
mobley_129464,CCCCOCCCC,True,ok
mobley_2837389,c1cc[nH]c1,True,ok
mobley_3690931,CCCC(=O)OCCC,True,ok
mobley_1821184,Cc1c[nH]c2c1cccc2,True,ok
mobley_7417968,CCOCCOC(=O)C,True,ok
mobley_5094777,c1ccc2c(c1)CCC2,True,ok
mobley_6232400,c1cc(cnc1)C=O,True,ok
mobley_5123639,C[C@H](CC(C)C)O,True,ok
mobley_1849020,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,True,ok
mobley_9741965,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],True,ok
mobley_5390332,CCCC(=O)OC,True,ok
mobley_3715043,Cc1ccc(c2c1cccc2)C,True,ok
mobley_6935906,CC(=CCC[C@](C)(C=C)OC(=O)C)C,True,ok
mobley_5157661,CC(C)C,True,ok
mobley_1189457,CSc1ccccc1,True,ok
mobley_6334915,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,True,ok
mobley_646007,C1CCNC1,True,ok
mobley_755351,COc1cccc(c1)N,True,ok
mobley_7774695,CNc1ccccc1,True,ok
mobley_5200358,CC(C)(/C=N\OC(=O)NC)SC,True,ok
mobley_2789243,c1cc(cnc1)Cl,True,ok
mobley_1036761,C1CCC(CC1)N,True,ok
mobley_2501588,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],True,ok
mobley_6743808,Cc1ccc(cc1C)O,True,ok
mobley_8916409,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,True,ok
mobley_3234716,Cc1ccc(cc1)C,True,ok
mobley_2844990,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,True,ok
mobley_1662128,CCC=C,True,ok
mobley_2279874,COC(OC)OC,True,ok
mobley_7176248,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],True,ok
mobley_5346580,CC(=O)C(C)(C)C,True,ok
mobley_2577969,c1cc2ccc3cccc4c3c2c(c1)cc4,True,ok
mobley_7142697,CCCCCN,True,ok
mobley_5282042,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,True,ok
mobley_7573149,CCCOC(=O)C,True,ok
mobley_3980099,c1cc(c(c(c1)Cl)Cl)Cl,True,ok
mobley_547634,Cc1cc2ccccc2cc1C,True,ok
mobley_3414356,CCCC(C)(C)O,True,ok
mobley_9507933,Cc1ccc(nc1)C,True,ok
mobley_4193752,c1ccc(cc1)[N+](=O)[O-],True,ok
mobley_7239499,c1ccc2c(c1)Oc3cccc(c3O2)Cl,True,ok
mobley_7983227,CC[C@@H](C)CO,True,ok
mobley_1417007,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,True,ok
mobley_8558116,CN1CCOCC1,True,ok
mobley_6190089,C(C(Cl)Cl)(Cl)Cl,True,ok
mobley_9414831,Cc1cccc2c1cccc2,True,ok
mobley_6102880,c1ccc(cc1)Oc2ccccc2,True,ok
mobley_4218209,COc1ccc(cc1)N,True,ok
mobley_4587267,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,True,ok
mobley_6497672,C/C=C/C=O,True,ok
mobley_4506634,[C@@H](C(F)(F)F)(Cl)Br,False,excluded_elements
mobley_1592519,CCCCCC(=O)OCC,True,ok
mobley_2457863,COc1cccc(c1)O,True,ok
mobley_4465023,C(=C\Cl)\Cl,True,ok
mobley_6619554,CCCCC(=O)OCC,True,ok
mobley_994483,CCBr,False,excluded_elements
mobley_1857976,C(CCl)Cl,True,ok
mobley_4338603,c1c(=O)[nH]c(=O)[nH]c1Cl,True,ok
mobley_8449031,CCN(CC)CC,True,ok
mobley_1352110,CCCCN(CC)C(=O)SCCC,True,ok
mobley_4149784,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,True,ok
mobley_1019269,CCCCO,True,ok
mobley_7608435,CCCCCCCC(=O)OC,True,ok
mobley_3151666,CCCCCCCCCCO,True,ok
mobley_282648,c1ccc2ccccc2c1,True,ok
mobley_7794077,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,True,ok
mobley_2245668,CC(C)CO,True,ok
mobley_3867265,CC(=O)C,True,ok
mobley_7378987,Cn1cnc2c1c(=O)n(c(=O)n2C)C,True,ok
mobley_6456034,CC(C)COC(=O)C(C)C,True,ok
mobley_5220185,CCc1cnccn1,True,ok
mobley_1893815,C(C(Cl)(Cl)Cl)Cl,True,ok
mobley_7463408,CCC(=O)Nc1ccc(c(c1)Cl)Cl,True,ok
mobley_3006808,C(C(F)(F)F)O,True,ok
mobley_4678740,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,True,ok
mobley_2913224,CC(=O)Oc1ccccc1C(=O)O,True,ok
mobley_8883511,Cc1ccccc1C=O,True,ok
mobley_2043882,CC(=O)C1CCCCC1,True,ok
mobley_4059279,CN1CCN(CC1)C,True,ok
mobley_2960202,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,True,ok
mobley_2178600,CCCCCCl,True,ok
mobley_6988468,CCc1ccccn1,True,ok
mobley_550662,CC(OC)(OC)OC,True,ok
mobley_8260524,CC#C,True,ok
mobley_3572203,CCCCCOC(=O)CC,True,ok
mobley_2782339,c1ccc2c(c1)C(=O)NC2=O,True,ok
mobley_7176290,c1cc(cc(c1)O)[N+](=O)[O-],True,ok
mobley_2023925,[C@@H](C(F)(F)F)(OC(F)F)Cl,True,ok
mobley_9100956,CC1CCCCC1,True,ok
mobley_6911232,CCOC,True,ok
mobley_3738859,CCCCCBr,False,excluded_elements
mobley_186894,CCCS,True,ok
mobley_7532833,CC#N,True,ok
mobley_9571888,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,True,ok
mobley_5520946,c1ccc(cc1)S,True,ok
mobley_2881590,CC(C)CO[N+](=O)[O-],True,ok
mobley_3265457,COc1cc(c(c(c1O)OC)Cl)C=O,True,ok
mobley_9913368,C(=C/Cl)\Cl,True,ok
mobley_1563176,CCCCS,True,ok
mobley_4287564,Cc1ccccn1,True,ok
mobley_2402487,CCOC(=O)CC(=O)OCC,True,ok
mobley_8809274,c1ccc(cc1)C(F)(F)F,True,ok
mobley_820789,CCCC(=O)O,True,ok
mobley_9794857,CC(C)(C)OC,True,ok
mobley_627267,CC(C)CBr,False,excluded_elements
mobley_5935995,CCC(C)(C)C,True,ok
mobley_8823527,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,True,ok
mobley_7758918,CCC(=O)O,True,ok
mobley_8208692,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,True,ok
mobley_8785107,C[C@H]1CC[C@@H](O1)C,True,ok
mobley_2659552,Cc1ccc(cc1)C(=O)N(C)C,True,ok
mobley_3053621,c1ccccc1,True,ok
mobley_9055303,C,True,ok
mobley_3187514,Cc1ccccc1N,True,ok
mobley_6175884,Cc1ccc(cc1)C=O,True,ok
mobley_2925352,Cc1ccc(cc1)O,True,ok
mobley_5371840,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,True,ok
mobley_4762983,CCCCCC=C,True,ok
mobley_2390199,CCCC(=O)CCC,True,ok
mobley_1760914,Cc1ccccc1Cl,True,ok
mobley_4043951,CCCC=C,True,ok
mobley_1396156,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,True,ok
mobley_1903702,CC[C@H](C)O,True,ok
mobley_5747188,Cc1ccccc1[N+](=O)[O-],True,ok
mobley_7393673,COc1ccc(cc1)C(=O)OC,True,ok
mobley_929676,CCCCCCBr,False,excluded_elements
mobley_9883303,CCC[C@H](C)CC,True,ok
mobley_9185328,CCCN,True,ok
mobley_3761215,CC(Cl)(Cl)Cl,True,ok
mobley_2484519,c1ccc(cc1)CCl,True,ok
mobley_3047364,CCNc1nc(nc(n1)SC)NC(C)C,True,ok
mobley_9139060,CC1CCC(CC1)C,True,ok
mobley_8614858,CCCCCCC,True,ok
mobley_8765203,CC(=C)C=C,True,ok
mobley_5708811,COc1c(ccc(c1C(=O)O)Cl)Cl,True,ok
mobley_8885088,C1CC=CC1,True,ok
mobley_8798016,c1cnccc1C=O,True,ok
mobley_6081058,CCCCC/C=C/C=O,True,ok
mobley_2518989,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,True,ok
mobley_1527293,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,True,ok
mobley_5977084,Cc1cccnc1,True,ok
mobley_1636752,CO,True,ok
mobley_6060301,CCCCCCN,True,ok
mobley_3378420,CCCCCCCCCO,True,ok
mobley_7066554,c1cc(ccc1O)Cl,True,ok
mobley_9257453,c1cc(c(cc1O)Cl)Cl,True,ok
mobley_588781,CCCCCCc1ccccc1,True,ok
mobley_9740891,c1cc(c(c(c1)Cl)C#N)Cl,True,ok
mobley_1571523,Cc1cccc(c1C)O,True,ok
mobley_7977115,CCC[C@H](CC)O,True,ok
mobley_6250025,CCCCCCI,False,excluded_elements
mobley_2771569,CN1CCNCC1,True,ok
mobley_4219614,c1cc(c(c(c1Cl)Cl)Cl)Cl,True,ok
mobley_3999471,CC(Cl)Cl,True,ok
mobley_3843583,c1ccc2c(c1)cccc2N,True,ok
mobley_5063386,c1ccc(c(c1)[N+](=O)[O-])O,True,ok
mobley_6804509,c1c(c(cc(c1Cl)Cl)Cl)Cl,True,ok
mobley_194273,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,False,excluded_elements
mobley_3515580,COc1ccccc1O,True,ok
mobley_5665561,Cc1cc(c2ccccc2c1)C,True,ok
mobley_6861308,CN(C)C(=O)Nc1ccccc1,True,ok
mobley_6195751,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,True,ok
mobley_2123854,c1cc(ccc1C#N)O,True,ok
mobley_2850833,c1ccc(c(c1)C=O)O,True,ok
mobley_7010316,C1CCC(CC1)O,True,ok
mobley_8118832,C=CCO,True,ok
mobley_4780078,Cc1ccc(c(c1)C)O,True,ok
mobley_7542832,CCCOCCC,True,ok
mobley_6978427,COC(=O)C1CCCCC1,True,ok
mobley_7814642,c1cc(c(cc1Cl)Cl)Cl,True,ok
mobley_8525830,CCCCCI,False,excluded_elements
mobley_2636578,C(CO[N+](=O)[O-])CO[N+](=O)[O-],True,ok
mobley_5747981,COCC(OC)(OC)OC,True,ok
mobley_6303022,CCc1ccncc1,True,ok
mobley_6338073,CCNc1nc(nc(n1)SC)NC(C)(C)C,True,ok
mobley_2310185,CCO,True,ok
mobley_7497999,CC(=O)c1ccccc1,True,ok
mobley_4584540,Cc1cccc(n1)C,True,ok
mobley_2295058,COC(=O)c1ccc(cc1)O,True,ok
mobley_5600967,CN(C)C(=O)c1ccc(cc1)OC,True,ok
mobley_1899443,CCCC(=C)C,True,ok
mobley_7150646,c1cc(ccc1Br)Br,False,excluded_elements
mobley_8191186,C(C(F)(F)F)Cl,True,ok
mobley_4603202,C(CCl)OCCCl,True,ok
mobley_3398536,c1ccc(cc1)I,False,excluded_elements
mobley_9015240,CCCCCCCCBr,False,excluded_elements
mobley_7732703,C(F)(F)(F)Br,False,excluded_elements
mobley_1659169,C1COCCN1,True,ok
mobley_3525176,CCCCCc1ccccc1,True,ok
mobley_6359156,c1ccc(cc1)c2cc(ccc2Cl)Cl,True,ok
mobley_8739734,CC(C)C(=O)C,True,ok
mobley_397645,CCOC(=O)c1ccccc1,True,ok
mobley_3573480,CCCCCC(=O)C,True,ok
mobley_2996632,C(Cl)(Cl)Cl,True,ok
mobley_4561957,CC(C)C(C)C,True,ok
mobley_1235151,CCCCC[N+](=O)[O-],True,ok
mobley_8764620,c1cc(cnc1)C#N,True,ok
mobley_7039935,c1ccc2c(c1)cccc2O,True,ok
mobley_4479135,C=C(c1ccccc1)c2ccccc2,True,ok
mobley_4924862,CC(C)CCOC=O,True,ok
mobley_2661134,c1cc(cc(c1)O)C#N,True,ok
mobley_6235784,CC[C@H](C)Cl,True,ok
mobley_5499659,Cn1ccnc1,True,ok
mobley_1502181,CCCCCCCC(=O)C,True,ok
mobley_6055410,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,True,ok
mobley_9626434,CCOCCO,True,ok
mobley_9434451,CC(C)Br,False,excluded_elements
mobley_8320545,CC[N+](=O)[O-],True,ok
mobley_6739648,C1COCCO1,True,ok
mobley_2451097,c1ccc(cc1)C#N,True,ok
mobley_637522,c1ccc2cc3ccccc3cc2c1,True,ok
mobley_766666,C(=C(Cl)Cl)Cl,True,ok
mobley_4983965,CCSCC,True,ok
mobley_9653690,CC1=CC[C@H](C[C@@H]1O)C(=C)C,True,ok
mobley_8685905,[C@@H](C(F)(F)F)(F)Br,False,excluded_elements
mobley_4553008,c1cc(ccc1Cl)Cl,True,ok
mobley_5510474,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,True,ok
mobley_8691603,Cc1cccc(c1)O,True,ok
mobley_5056289,C[C@H]1CCCO1,True,ok
mobley_5006685,CC(=C)[C@H]1CCC(=CC1)C=O,True,ok
mobley_1363784,Cc1cc(cnc1)C,True,ok
mobley_2328633,CCCCCC1CCCC1,True,ok
mobley_3060426,CC(C)CCC(C)(C)C,True,ok
mobley_5052949,CCCSCCC,True,ok
mobley_6430250,CCCc1ccccc1,True,ok
mobley_4936555,Cc1cccc(c1C)Nc2ccccc2C(=O)O,True,ok
mobley_4883284,c1ccc(cc1)N,True,ok
mobley_1905088,c1ccc(cc1)CBr,False,excluded_elements
mobley_5076071,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],True,ok
mobley_197466,CC(=O)C1CC1,True,ok
mobley_5110043,Cc1ccc2cc(ccc2c1)C,True,ok
mobley_1733799,c1cc(ccc1O)Br,False,excluded_elements
mobley_9112978,CC/C=C\C,True,ok
mobley_5627459,CC(C)C=O,True,ok
mobley_4683624,CCCc1ccc(cc1)O,True,ok
mobley_8337977,CC(C)CC(=O)C,True,ok
mobley_7463799,c1ccc(cc1)CCCO,True,ok
mobley_8057732,c1cc(cc(c1)Cl)O,True,ok
mobley_8011706,CN(C)C=O,True,ok
mobley_9007496,CNC(=O)Oc1cccc2c1cccc2,True,ok
mobley_1075836,CCC(=O)OC,True,ok
mobley_8492526,CCCCC=O,True,ok
mobley_6571751,CC1=CCCCC1,True,ok
mobley_4630641,COCCOC,True,ok
mobley_2487143,CCCCC(=O)C,True,ok
mobley_3425174,C(F)Cl,True,ok
mobley_3040612,CCc1ccccc1C,True,ok
mobley_3682850,C1CCC(=O)CC1,True,ok
mobley_3144334,Cc1ccc(c(c1)O)C,True,ok
mobley_778352,CC=C(C)C,True,ok
mobley_1800170,CCS,True,ok
mobley_1929982,S,True,ok
mobley_9407874,CCCCCCC(=O)C,True,ok
mobley_2972345,c1ccc2c(c1)Cc3ccccc3C2,True,ok
mobley_3034976,CC(=O)O,True,ok
mobley_5571660,Cc1cccc(c1N)C,True,ok
mobley_1792062,C(CBr)Br,False,excluded_elements
mobley_1967551,CC=O,True,ok
mobley_3969312,c1ccc(cc1)C=O,True,ok
mobley_7099614,C=CCCl,True,ok
mobley_3746675,CC(=C)c1ccccc1,True,ok
mobley_6474572,C=CCl,True,ok
mobley_2078467,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,True,ok
mobley_9617923,CCCCCCCCC(=O)C,True,ok
mobley_5759258,CCCCCO,True,ok
mobley_6239320,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,True,ok
mobley_1079207,c1cc(cc(c1)Cl)Cl,True,ok
mobley_2261979,c1cc2cccc3c2c(c1)CC3,True,ok
mobley_20524,c1ccc(cc1)O,True,ok
mobley_5467162,CC(C)(C)c1ccc(cc1)O,True,ok
mobley_4494568,Cc1ccc(cc1)Br,False,excluded_elements
mobley_1424265,Cc1cccc(c1)C,True,ok
mobley_8899867,C1CCC(C1)O,True,ok
mobley_4613090,c1ccc(cc1)Cn2ccnc2,True,ok
mobley_8789864,COC(CC#N)(OC)OC,True,ok
mobley_6917738,COCCN,True,ok
mobley_6727159,C(CO[N+](=O)[O-])O,True,ok
mobley_5286200,C(CCCl)CCl,True,ok
mobley_3777264,c1cc(cc(c1)[N+](=O)[O-])N,True,ok
mobley_1735893,CCCCCC(=O)O,True,ok
mobley_511661,C=CC=C,True,ok
mobley_2316618,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,True,ok
mobley_7326982,CC(C)O,True,ok
mobley_5310099,CCCCC=C,True,ok
mobley_9557440,c1c(c(=O)[nH]c(=O)[nH]1)Cl,True,ok
mobley_7047032,CC(C)(C)Cl,True,ok
mobley_2049967,CCSC,True,ok
mobley_5816127,COCCO,True,ok
mobley_299266,CC(=C)C,True,ok
mobley_4759887,CCCCCCCI,False,excluded_elements
mobley_5852491,CC1CCCC1,True,ok
mobley_9534740,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,True,ok
mobley_2689721,C1CCCCC1,True,ok
mobley_1160109,C[C@@H]1CC[C@H](CC1=O)C(=C)C,True,ok
mobley_49274,CCCCCC#C,True,ok
mobley_4039055,c1c(c(=O)[nH]c(=O)[nH]1)Br,False,excluded_elements
mobley_7106722,CCCC(C)C,True,ok
mobley_3201701,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,True,ok
mobley_2126135,CCc1ccccc1O,True,ok
mobley_6353617,CC(=O)c1cccnc1,True,ok
mobley_7943327,CCC(=O)OCC,True,ok
mobley_4687447,CCCOCCO,True,ok
mobley_1875719,CCC(=O)CC,True,ok
mobley_9460824,CCOP(=S)(OCC)SCSCC,True,ok
mobley_8789465,c1ccc(c(c1)O)I,False,excluded_elements
mobley_4395315,Cc1cc(ccc1Cl)O,True,ok
mobley_9121449,CCC#C,True,ok
mobley_4690963,CCOCCOCC,True,ok
mobley_3318135,CCCCC(=O)CCCC,True,ok
mobley_4364398,CI,False,excluded_elements
mobley_8048190,CC(=O)N,True,ok
mobley_1615431,CC(C)OC(C)C,True,ok
mobley_1781152,CC(C)(C)C(=O)OC,True,ok
mobley_7860938,CCCCNCCCC,True,ok
mobley_6973347,CCOC(=O)C,True,ok
mobley_6794076,CC(=O)c1ccncc1,True,ok
mobley_9974966,CC(C)SC(C)C,True,ok
mobley_3264884,c1ccc2cc(ccc2c1)N,True,ok
mobley_6257907,c1cc(cc(c1)Cl)N,True,ok
mobley_2492140,C(C(Cl)(Cl)Cl)(Cl)Cl,True,ok
mobley_4850657,CS(=O)(=O)Cl,True,ok
mobley_6522117,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,True,ok
mobley_1674094,CCCCC#C,True,ok
mobley_313406,CCCO,True,ok
mobley_8772587,CCCCI,False,excluded_elements
mobley_525934,CS,True,ok
mobley_3325209,COC(c1ccccc1)(OC)OC,True,ok
mobley_7326706,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,True,ok
mobley_7869158,CC[C@H](C)O[N+](=O)[O-],True,ok
mobley_2269032,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,True,ok
mobley_3639400,CCCCCl,True,ok
mobley_172879,c1ccc2c(c1)Oc3ccccc3O2,True,ok
mobley_486214,COc1cccc(c1O)OC,True,ok
mobley_3976574,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,True,ok
mobley_5518547,Cc1ccc(cc1)N,True,ok
mobley_3269565,CC(C)OC,True,ok
mobley_1139153,CC(C)CC(C)(C)C,True,ok
mobley_2517158,CCCCCCCBr,False,excluded_elements
mobley_6854178,CC(C)OC=O,True,ok
mobley_6201330,CCCOC(=O)c1ccc(cc1)O,True,ok
mobley_7200804,c1ccc(c(c1)O)F,True,ok
mobley_1858644,c1ccc(cc1)CCO,True,ok
mobley_8573194,CCCC=O,True,ok
mobley_9246351,C(Br)Br,False,excluded_elements
mobley_7017274,c1ccc2c(c1)ccc3c2cccc3,True,ok
mobley_5311804,c1ccc(cc1)CO,True,ok
mobley_3266352,CN(CC(F)(F)F)c1ccccc1,True,ok
mobley_628951,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,True,ok
mobley_1046331,c1ccc(cc1)OC=O,True,ok
mobley_6309289,C1CCNCC1,True,ok
mobley_1144156,CCOCC,True,ok
mobley_296847,c1ccncc1,True,ok
mobley_4375719,CCCCCCCCC,True,ok
mobley_7261305,NN,True,ok
mobley_8861672,Cc1ccnc(c1)C,True,ok
mobley_3083321,COCOC,True,ok
mobley_9510785,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,True,ok
mobley_7912193,CCCCOC(=O)c1ccc(cc1)O,True,ok
mobley_7375018,CCCCCCCCCC(=O)C,True,ok
mobley_3274817,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],True,ok
mobley_4639255,C(CO)O,True,ok
mobley_6248915,CCCCCCCCN,True,ok
mobley_1855337,c1c(cc(c(c1Cl)Cl)Cl)Cl,True,ok
mobley_7599023,c1ccc(cc1)Br,False,excluded_elements
mobley_6632459,CCC=O,True,ok
mobley_1261349,CC(C)(C)C,True,ok
mobley_8436428,CC(C)CC(C)C,True,ok
mobley_3775790,Cn1cccc1,True,ok
mobley_5449201,CCCCC,True,ok
mobley_9478823,Cc1ccccc1C,True,ok
mobley_1034539,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,True,ok
mobley_2364370,CCCCOC(=O)C,True,ok
mobley_4893032,CCCCC#N,True,ok
mobley_1881249,CCCC(=O)C,True,ok
mobley_210639,CC(C)I,False,excluded_elements
mobley_6896128,CCCC[C@@H](C)CC,True,ok
mobley_2725802,CC(=O)N1CCCC1,True,ok
mobley_7360181,COC(C(F)(F)F)(OC)OC,True,ok
mobley_6733657,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,True,ok
mobley_2005792,c1ccc(cc1)c2ccccc2,True,ok
mobley_2008055,CC,True,ok
mobley_5690766,C=CCCC=C,True,ok
mobley_9733743,CCCCN,True,ok
mobley_1944394,CN(C)CCOC(c1ccccc1)c2ccccc2,True,ok
mobley_8827942,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,True,ok
mobley_4934872,CCOC(OCC)Oc1ccccc1,True,ok
mobley_2613240,COc1ccccc1OC,True,ok
mobley_7298388,Cc1cccc(c1)[N+](=O)[O-],True,ok
mobley_3762186,C(Cl)Cl,True,ok
mobley_6714389,CN,True,ok
mobley_5326154,CN(C)c1ccccc1,True,ok
mobley_5494918,C(=C(F)F)(C(F)(F)F)F,True,ok
mobley_9197172,CCCCCCC=C,True,ok
mobley_2493732,C=C(Cl)Cl,True,ok
mobley_8426916,CCNCC,True,ok
mobley_7227357,CCC(CC)O,True,ok
mobley_4371692,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,True,ok
mobley_8705848,CC(C)NC(C)C,True,ok
mobley_2859600,C=Cc1ccccc1,True,ok
mobley_4177472,CC(C)C(C)C(C)C,True,ok
