mol_id,dG_pred_kcal,dG_GBn2_kcal,dG_expt_kcal,in_model_vocab,dG_exp_kcal,functional_group,smiles
mobley_2023925,-0.8647991954609752,-53.50486755371094,0.1,True,0.1,alkyl chloride,[C@@H](C(F)(F)F)(OC(F)F)Cl
mobley_2043882,-3.2555444818064574,-11.832822799682615,-3.9,True,-3.9,ketone,CC(=O)C1CCCCC1
mobley_2049967,-1.501323238413781,-2.926994562149048,-1.5,True,-1.5,thioether,CCSC
mobley_20524,-1.7609690709002317,-31.726089477539062,-6.6,True,-6.6,phenol or hydroxyhetarene,c1ccc(cc1)O
mobley_2068538,-0.9940934396758676,-1.394995093345642,2.0,True,2.0,,CCC
mobley_2078467,-5.246279364466667,-43.09811782836914,-7.0,True,-7.0,carboxylic acid,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O
mobley_2099370,-5.557751893512905,-54.45999526977539,-10.78,True,-10.78,ketone,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O
mobley_2123854,-2.206397848326713,-35.259765625,-10.17,True,-10.17,phenol or hydroxyhetarene,c1cc(ccc1C#N)O
mobley_2126135,-2.511089389741421,-32.03451156616211,-5.66,True,-5.66,phenol or hydroxyhetarene,CCc1ccccc1O
mobley_2143011,-2.1923340040370825,-3.570854663848877,1.83,True,1.83,alkene,CC(C)C=C
mobley_2146331,-0.5460140000078827,-12.189513206481934,-2.75,True,-2.75,aldehyde,C=O
mobley_2178600,-1.371137794390321,-3.5238094329833984,-0.1,True,-0.1,alkyl chloride,CCCCCCl
mobley_2183616,-3.1326688692569733,-5.73211145401001,-0.45,True,-0.45,aromatic,CC[C@H](C)c1ccccc1
mobley_2197088,-2.264089935105294,-4.052779197692871,3.16,True,3.16,,CCCCCCCCCC
mobley_2198613,-0.6039418157506734,-2.3660519123077397,-0.63,True,-0.63,alkyl chloride,CCCl
mobley_2213823,-2.4917695798948407,-2.4953088760375977,2.51,True,2.51,,CCC(C)CC
mobley_2245668,-1.9632183368839324,-18.171293258666992,-4.5,True,-4.5,primary alcohol,CC(C)CO
mobley_2261979,-2.186877187781036,-5.825392723083496,-3.15,True,-3.15,aromatic,c1cc2cccc3c2c(c1)CC3
mobley_2269032,-4.432701392628252,-66.61397552490234,-10.21,True,-10.21,alkyl aryl ether,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O
mobley_2279874,-1.1516816885322332,-38.54963302612305,-4.42,True,-4.42,orthocarboxylic acid derivative,COC(OC)OC
mobley_2294995,-0.8134461045060307,-34.351497650146484,-2.56,True,-2.56,carboxylic acid ester,CCOC=O
mobley_2295058,-2.429475967518985,-63.368309020996094,-9.51,True,-9.51,phenol or hydroxyhetarene,COC(=O)c1ccc(cc1)O
mobley_2310185,-0.6916310145743192,-17.401851654052734,-5.0,True,-5.0,primary alcohol,CCO
mobley_2316618,-4.486813904158772,-57.4034538269043,-14.21,True,-14.21,ketone,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO
mobley_2328633,-2.16769706280902,-3.796995162963867,2.55,True,2.55,,CCCCCC1CCCC1
mobley_2341732,-1.866254010844976,-33.59577560424805,-2.56,True,-2.56,carboxylic acid ester,CCCCC(=O)OC
mobley_2354112,-2.3187527672424912,-31.929651260375977,-6.25,True,-6.25,phenol or hydroxyhetarene,CCc1cccc(c1)O
mobley_2364370,-1.4179255266189577,-32.964481353759766,-2.64,True,-2.64,carboxylic acid ester,CCCCOC(=O)C
mobley_2371092,-2.1342816230617463,-10.108654975891112,-5.22,True,-5.22,aromatic,Cc1ccncc1C
mobley_2390199,-2.472729483425617,-11.80294132232666,-2.92,True,-2.92,ketone,CCCC(=O)CCC
mobley_2402487,-2.217156676322222,-67.46967315673828,-6.0,True,-6.0,carboxylic acid ester,CCOC(=O)CC(=O)OCC
mobley_2410897,-0.945997600691393,-11.79885196685791,-4.5,True,-4.5,primary amine,CCN
mobley_2422586,-1.0034177057277411,-15.687010765075684,-1.66,True,-1.66,dialkyl ether,CCCOC
mobley_242480,-4.511509433999658,-58.04824447631836,-11.85,True,-11.85,ketone,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N
mobley_2451097,-2.0658142141327263,-7.843488216400146,-4.1,True,-4.1,carbonitrile,c1ccc(cc1)C#N
mobley_2457863,-2.107599750250578,-55.10027694702149,-7.66,True,-7.66,phenol or hydroxyhetarene,COc1cccc(c1)O
mobley_2481002,-0.8913233429156244,-33.78901290893555,-1.45,True,-1.45,halogen derivative,C([N+](=O)[O-])(Cl)(Cl)Cl
mobley_2484519,-1.808005074523389,-6.237120151519775,-1.93,True,-1.93,alkyl chloride,c1ccc(cc1)CCl
mobley_2487143,-2.016543424330652,-11.448710441589355,-3.28,True,-3.28,ketone,CCCCC(=O)C
mobley_2489709,-1.3293900573775173,-4.365280628204346,-1.36,True,-1.36,aryl chloride,c1ccc(c(c1)Cl)Cl
mobley_2492140,-0.7440014168974013,-11.152379035949709,-1.23,True,-1.23,alkyl chloride,C(C(Cl)(Cl)Cl)(Cl)Cl
mobley_2493732,-0.4977823419664055,-2.6505820751190186,0.25,True,0.25,ketene acetal or derivative,C=C(Cl)Cl
mobley_2501588,-5.487552082873881,-91.42015075683594,-2.45,True,-2.45,tertiary amine,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
mobley_2518989,-4.413426598079503,-57.37955093383789,-5.74,True,-5.74,alkyl chloride,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
mobley_2523689,-3.4166638543307783,-42.27950286865234,-16.43,True,-16.43,primary amine,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
mobley_252413,-3.996448176138103,-2.795918226242065,2.88,True,2.88,,CCCC(C)(C)C
mobley_2577969,-3.476701203763485,-7.690021514892578,-4.52,True,-4.52,aromatic,c1cc2ccc3cccc4c3c2c(c1)cc4
mobley_2607611,-1.9138588909991088,-33.702510833740234,-2.26,True,-2.26,carboxylic acid ester,CCCCCCOC(=O)C
mobley_2609604,-4.192920020729304,-2.8051207065582275,2.56,True,2.56,,CCC(C)(C)CC
mobley_2613240,-2.376197269883007,-54.181243896484375,-5.33,True,-5.33,alkyl aryl ether,COc1ccccc1OC
mobley_2636578,-0.989984161514789,-35.88502883911133,-4.8,True,-4.8,anion,C(CO[N+](=O)[O-])CO[N+](=O)[O-]
mobley_2659552,-3.830827273830772,-25.62720489501953,-9.76,True,-9.76,tertiary carboxylic acid amide,Cc1ccc(cc1)C(=O)N(C)C
mobley_2661134,-2.2064232768155634,-35.498233795166016,-9.65,True,-9.65,phenol or hydroxyhetarene,c1cc(cc(c1)O)C#N
mobley_2681549,-1.2883997628856452,-3.867043972015381,-0.78,True,-0.78,aryl chloride,c1c(cc(cc1Cl)Cl)Cl
mobley_2689721,-1.9853880274370317,-2.357414484024048,1.23,True,1.23,,C1CCCCC1
mobley_2693089,-2.738349292650819,-17.104516983032227,-5.04,True,-5.04,aromatic,CC(C)Cc1cnccn1
mobley_2725215,-6.41298654088378,-82.63856506347656,-7.98,True,-7.98,tertiary amine,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-]
mobley_2725802,-1.856080725349486,-22.51759910583496,-9.8,True,-9.8,tertiary carboxylic acid amide,CC(=O)N1CCCC1
mobley_2751110,-2.1399117997586727,-52.84431838989258,-10.64,True,-10.64,phenol or hydroxyhetarene,c1cc(ccc1[N+](=O)[O-])O
mobley_2763835,-1.96126584129408,-27.45529556274414,-2.22,True,-2.22,alkyl aryl ether,CCOc1ccccc1
mobley_2771569,-1.9654184166118505,-20.54096031188965,-7.77,True,-7.77,secondary amine,CN1CCNCC1
mobley_2782339,-2.303785180713981,-33.85154724121094,-9.61,True,-9.61,"carboxylic acid imide, N-unsubstituted",c1ccc2c(c1)C(=O)NC2=O
mobley_2784376,-0.2574308908376843,-1.1225110292434692,0.75,True,0.75,,C1CC1
mobley_2789243,-1.2240706687029452,-10.17577075958252,-4.01,True,-4.01,aryl chloride,c1cc(cnc1)Cl
mobley_2792521,-1.2705047215782106,-13.497035026550291,-3.68,True,-3.68,aldehyde,CCC/C=C/C=O
mobley_282648,-2.4356114495247603,-6.284667015075684,-2.4,True,-2.4,aromatic,c1ccc2ccccc2c1
mobley_2837389,-0.9727499172892422,-16.652748107910156,-4.78,True,-4.78,aromatic,c1cc[nH]c1
mobley_2844990,-2.2052216089032592,-50.04352569580078,-3.84,True,-3.84,diaryl ether,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl
mobley_2845466,-2.040748768504709,-48.5655403137207,-3.37,True,-3.37,diaryl ether,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl
mobley_2850833,-2.056074759274721,-42.44620132446289,-4.68,True,-4.68,aldehyde,c1ccc(c(c1)C=O)O
mobley_2859600,-2.198858988638968,-6.129909992218018,-1.24,True,-1.24,alkene,C=Cc1ccccc1
mobley_2864987,-1.8940963161811235,-18.129323959350582,-4.39,True,-4.39,secondary alcohol,CCC[C@@H](C)O
mobley_2881590,-2.0079621684141458,-18.583620071411133,-1.88,True,-1.88,nitrate,CC(C)CO[N+](=O)[O-]
mobley_2913224,-3.22851193638891,-70.08501434326172,-9.94,True,-9.94,carboxylic acid,CC(=O)Oc1ccccc1C(=O)O
mobley_2923700,-2.2837155740745367,-31.94515037536621,-6.13,True,-6.13,phenol or hydroxyhetarene,CCc1ccc(cc1)O
mobley_2925352,-2.029029155984521,-31.62334251403809,-6.13,True,-6.13,phenol or hydroxyhetarene,Cc1ccc(cc1)O
mobley_2929847,-2.411761073309928,-38.42891693115234,-6.09,True,-6.09,carboxylic acid,CC(C)CC(=O)O
mobley_2958326,-1.7869234827533365,-12.205560684204102,-3.65,True,-3.65,secondary amine,CCCNCCC
mobley_2960202,-2.061141901120544,-53.89144515991211,-3.71,True,-3.71,diaryl ether,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
mobley_296847,-1.3677683478035034,-10.351848602294922,-4.69,True,-4.69,aromatic,c1ccncc1
mobley_2972345,-3.3185415011644364,-7.942104816436768,-3.78,True,-3.78,aromatic,c1ccc2c(c1)Cc3ccccc3C2
mobley_2972906,-0.7796903009992093,-4.1647629737854,-1.4,True,-1.4,aromatic,c1ccsc1
mobley_299266,-1.6831730146594346,-2.9690093994140625,1.16,True,1.16,alkene,CC(=C)C
mobley_2996632,-0.0704278079681098,-5.859877586364746,-1.08,True,-1.08,halogen derivative,C(Cl)(Cl)Cl
mobley_3006808,-0.3889753845017403,-38.62125015258789,-4.31,True,-4.31,primary alcohol,C(C(F)(F)F)O
mobley_303222,-0.8894650873672217,-2.9504504203796387,1.32,True,1.32,alkene,CC=C
mobley_3034976,-0.6793665794990957,-37.44145965576172,-6.69,True,-6.69,carboxylic acid,CC(=O)O
mobley_3040612,-2.637319329235703,-4.997089862823486,-0.85,True,-0.85,aromatic,CCc1ccccc1C
mobley_3047364,-3.228928413800896,-44.89352798461914,-7.65,True,-7.65,thioether,CCNc1nc(nc(n1)SC)NC(C)C
mobley_3053621,-1.648676176879555,-4.828832149505615,-0.9,True,-0.9,aromatic,c1ccccc1
mobley_3060426,-5.310813776515425,-3.5124711990356445,2.93,True,2.93,,CC(C)CCC(C)(C)C
mobley_3083321,-0.7272123430408538,-28.033037185668945,-2.93,True,-2.93,acetal,COCOC
mobley_3105103,-5.817663694247604,-42.39342498779297,-11.14,True,-11.14,aryl chloride,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl
mobley_313406,-0.8912309069223703,-17.80460548400879,-4.85,True,-4.85,primary alcohol,CCCO
mobley_3144334,-2.491849988900125,-31.39325523376465,-5.91,True,-5.91,phenol or hydroxyhetarene,Cc1ccc(c(c1)O)C
mobley_3151666,-2.421479223217815,-20.44745445251465,-3.64,True,-3.64,primary alcohol,CCCCCCCCCCO
mobley_3167746,-1.805364978849888,-3.2830734252929688,2.88,True,2.88,,CCCCCCCC
mobley_3169935,-1.88734591146186,-20.013628005981445,-4.91,True,-4.91,primary amine,c1ccc(c(c1)N)Cl
mobley_3183805,-2.7401313486397267,-4.584551811218262,-0.86,True,-0.86,aromatic,Cc1ccc(c(c1)C)C
mobley_3187514,-2.457756742473692,-20.11185836791992,-5.53,True,-5.53,primary amine,Cc1ccccc1N
mobley_3201701,-4.77820239418,-64.4277114868164,-9.41,True,-9.41,tertiary amine,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C
mobley_3210206,-1.6484687972441316,-35.60029983520508,-4.95,True,-4.95,nitrate,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
mobley_3211679,-1.906010422278196,-3.513451337814331,0.14,True,0.14,alkene,C1CCC=CC1
mobley_3234716,-2.1476820930577816,-4.657707214355469,-0.8,True,-0.8,aromatic,Cc1ccc(cc1)C
mobley_3259411,-1.4164169127922506,-51.08512878417969,-13.43,True,-13.43,primary alcohol,C(C(CO)O)O
mobley_3264884,-2.8192307867482307,-21.68954467773437,-7.47,True,-7.47,primary amine,c1ccc2cc(ccc2c1)N
mobley_3265457,-2.841120248481632,-92.82047271728516,-7.78,True,-7.78,aldehyde,COc1cc(c(c(c1O)OC)Cl)C=O
mobley_3266352,-3.01723383872211,-37.80201721191406,-1.92,True,-1.92,tertiary amine,CN(CC(F)(F)F)c1ccccc1
mobley_3269565,-1.492991628404707,-15.266310691833496,-2.01,True,-2.01,dialkyl ether,CC(C)OC
mobley_3269819,-2.22993827188015,-9.696439743041992,-3.17,True,-3.17,aryl chloride,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
mobley_3274817,-4.152862247340382,-83.8455581665039,-6.23,True,-6.23,phenol or hydroxyhetarene,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
mobley_3318135,-3.1416042340621355,-12.67835521697998,-2.64,True,-2.64,ketone,CCCCC(=O)CCCC
mobley_3323117,-1.936823909085244,-77.54035949707031,-8.61,True,-8.61,cation,C1CC[S+2](C1)([O-])[O-]
mobley_3325209,-4.037875995270908,-40.57086944580078,-4.04,True,-4.04,orthocarboxylic acid derivative,COC(c1ccccc1)(OC)OC
mobley_3359593,-2.6890333157368005,-55.91978454589844,-5.26,True,-5.26,phenol or hydroxyhetarene,CCCc1ccc(c(c1)OC)O
mobley_3370989,-0.1235572528310585,-13.835821151733398,-0.11,True,-0.11,alkyl fluoride,CC(F)F
mobley_337666,-1.5824516293928028,-50.84467697143555,-16.92,True,-16.92,aryl fluoride,c1c(c(=O)[nH]c(=O)[nH]1)F
mobley_3378420,-2.118745675444603,-20.01775932312012,-3.88,True,-3.88,primary alcohol,CCCCCCCCCO
mobley_3395921,-1.496399389538914,-15.493589401245115,-3.12,True,-3.12,dialkyl ether,C1CCOCC1
mobley_3414356,-3.3119816382974387,-17.930801391601562,-3.92,True,-3.92,tertiary alcohol,CCCC(C)(C)O
mobley_3425174,-0.1180346425077878,-9.534384727478027,-0.77,True,-0.77,alkyl fluoride,C(F)Cl
mobley_3452749,-3.008973359756172,-4.597479820251465,-1.21,True,-1.21,aromatic,Cc1cccc(c1C)C
mobley_349850,-2.772625864736736,-13.57785415649414,-4.7,True,-4.7,ketone,Cc1ccc(cc1)C(=O)C
mobley_3515580,-2.210701276436448,-57.994873046875,-5.94,True,-5.94,phenol or hydroxyhetarene,COc1ccccc1O
mobley_352111,-2.0042987478785217,-65.07406616210938,-6.34,True,-6.34,carboxylic acid ester,CC(=O)OCCOC(=O)C
mobley_3525176,-2.646925971783698,-6.190183639526367,-0.23,True,-0.23,aromatic,CCCCCc1ccccc1
mobley_3546460,-1.6925954724773766,-18.93695068359375,-4.4,True,-4.4,primary alcohol,CCCCCCO
mobley_3572203,-2.325614163879305,-33.724727630615234,-2.11,True,-2.11,carboxylic acid ester,CCCCCOC(=O)CC
mobley_3573480,-2.1840948300212624,-11.826933860778809,-3.04,True,-3.04,ketone,CCCCCC(=O)C
mobley_3589456,-2.389334005214274,-40.30804443359375,-4.59,True,-4.59,alkyl chloride,COC(CCl)(OC)OC
mobley_36119,-2.036353935286402,-19.798736572265625,-4.09,True,-4.09,primary alcohol,CCCCCCCCO
mobley_3639400,-1.0229668015092612,-3.105992555618286,-0.16,True,-0.16,alkyl chloride,CCCCCl
mobley_3663158,-2.589679055374116,-33.300655364990234,-8.11,True,-8.11,phenol or hydroxyhetarene,c1ccc2cc(ccc2c1)O
mobley_3682850,-2.102089156176895,-10.993117332458496,-4.91,True,-4.91,ketone,C1CCC(=O)CC1
mobley_3686115,-1.0657574501931668,-27.500545501708984,-3.28,True,-3.28,acetal,CCOC(C)OCC
mobley_3690931,-2.017181198321283,-33.22802734375,-2.28,True,-2.28,carboxylic acid ester,CCCC(=O)OCCC
mobley_3709920,-2.175013079591096,-5.186306476593018,2.06,True,2.06,alkene,CCCCCCCC=C
mobley_3715043,-3.3345020014569164,-6.11367654800415,-2.82,True,-2.82,aromatic,Cc1ccc(c2c1cccc2)C
mobley_3727287,-1.815301676310599,-21.73615837097168,-6.5,True,-6.5,ketone,C1=CC(=O)C=CC1=O
mobley_3746675,-2.9480195538401603,-6.025344371795654,-1.24,True,-1.24,alkene,CC(=C)c1ccccc1
mobley_3761215,-0.9686409827563912,-5.076323509216309,-0.19,True,-0.19,halogen derivative,CC(Cl)(Cl)Cl
