mol_id,dG_GBn2_kcal,dG_expt_kcal
mobley_352111,-65.07406616210938,-6.34
mobley_3525176,-6.190183639526367,-0.23
mobley_3546460,-18.93695068359375,-4.4
mobley_3572203,-33.724727630615234,-2.11
mobley_3573480,-11.826933860778809,-3.04
mobley_3589456,-40.30804443359375,-4.59
mobley_36119,-19.798736572265625,-4.09
mobley_3639400,-3.105992555618286,-0.16
mobley_3663158,-33.300655364990234,-8.11
mobley_3682850,-10.993117332458496,-4.91
mobley_3686115,-27.500545501708984,-3.28
mobley_3690931,-33.22802734375,-2.28
mobley_3709920,-5.186306476593018,2.06
mobley_3715043,-6.11367654800415,-2.82
mobley_3727287,-21.73615837097168,-6.5
mobley_3746675,-6.025344371795654,-1.24
mobley_3761215,-5.076323509216309,-0.19
mobley_3762186,-4.121206283569336,-1.31
mobley_3775790,-15.582151412963867,-2.89
mobley_3777264,-40.54914093017578,-8.84
mobley_3802803,-19.376972198486328,-1.66
mobley_3843583,-21.76189613342285,-7.28
mobley_3867265,-10.318512916564941,-3.8
mobley_3968043,-10.6973876953125,-4.7
mobley_3968739,-36.11841583251953,-3.92
mobley_3969312,-14.80322265625,-4.02
mobley_397645,-35.83533477783203,-3.64
mobley_3976574,-52.80836868286133,-4.15
mobley_3980099,-4.890650272369385,-1.24
mobley_3982371,-32.55635070800781,-3.13
mobley_3999471,-3.838132619857788,-0.84
mobley_4013838,-11.518139839172363,-2.74
mobley_4035953,-31.66758155822754,-5.9
mobley_4043951,-3.644968032836914,1.68
mobley_4043987,-2.869640827178955,2.93
mobley_4059279,-20.137807846069336,-7.58
mobley_4149784,-46.529422760009766,-3.67
mobley_4177472,-3.17582106590271,2.56
mobley_4188615,-25.72547721862793,-9.29
mobley_4193752,-24.311199188232422,-4.12
mobley_4218209,-43.22774124145508,-7.48
mobley_4219614,-5.654289245605469,-1.34
mobley_4252724,-5.781609535217285,0.16
mobley_4287564,-9.922658920288086,-4.63
mobley_4291494,-9.689506530761719,-4.39
mobley_430089,-5.270758628845215,0.01
mobley_4305650,-5.363134384155273,-3.84
mobley_4338603,-43.1132926940918,-15.83
mobley_4371692,-71.8637466430664,-9.53
mobley_4375719,-3.6690542697906494,3.13
mobley_4395315,-31.297138214111328,-6.79
mobley_4434915,-2.2336299419403076,-0.55
mobley_4463913,-61.08690643310547,-4.97
mobley_4465023,-3.270235300064087,-1.17
mobley_4479135,-9.078825950622559,-2.78
mobley_4483973,-7.893316268920898,-0.8
mobley_4553008,-3.762838125228882,-1.01
mobley_4561957,-2.4625236988067627,2.34
mobley_4584540,-9.495623588562012,-4.59
mobley_4587267,-101.15767669677734,-23.62
mobley_4603202,-18.289039611816406,-4.23
mobley_4609460,-63.08131408691406,-9.2
mobley_4613090,-24.101993560791016,-7.63
mobley_4620651,-32.960418701171875,-4.1
mobley_4630641,-29.31749153137207,-4.84
mobley_4639255,-34.197811126708984,-9.3
mobley_4678740,-43.37689971923828,1.07
mobley_4683624,-32.31461715698242,-5.21
mobley_4687447,-32.20775604248047,-6.4
mobley_468867,-16.784950256347656,-2.55
mobley_4690963,-29.236652374267578,-3.54
mobley_4694328,-13.56174087524414,-2.29
mobley_4699732,-4.192957878112793,-1.27
mobley_4715906,-3.0236780643463135,1.58
mobley_4762983,-4.400968074798584,1.66
mobley_4780078,-31.3992862701416,-6.01
mobley_4792268,-38.49842834472656,-6.16
mobley_4845722,-8.700759887695312,-2.33
mobley_4850657,-12.267057418823242,-4.87
mobley_486214,-82.45346069335938,-6.96
mobley_4883284,-20.192176818847656,-5.49
mobley_4884177,-10.521221160888672,-4.59
mobley_4893032,-6.117457866668701,-3.52
mobley_4924862,-35.34794616699219,-2.13
mobley_49274,-6.031856060028076,0.6
mobley_4934872,-51.05272674560547,-5.23
mobley_4936555,-56.8687744140625,-6.78
mobley_4964807,-30.300195693969727,-5.99
mobley_4983965,-3.157029867172241,-1.46
mobley_5003962,-41.51509094238281,-11.53
mobley_5006685,-15.316476821899414,-4.09
mobley_5026370,-13.858136177062988,-6.02
mobley_5052949,-3.8934874534606934,-1.28
mobley_5056289,-15.078776359558105,-3.3
mobley_5063386,-55.333377838134766,-4.58
mobley_5072416,-43.87131118774414,-6.12
mobley_5076071,-109.42930603027344,-5.66
mobley_5079234,-19.334243774414062,-4.21
mobley_5094777,-4.728121280670166,-1.46
mobley_5110043,-6.101094722747803,-2.63
mobley_511661,-4.398338794708252,0.56
mobley_5123639,-18.486980438232422,-3.73
mobley_5157661,-1.737493872642517,2.3
mobley_5200358,-40.760440826416016,-9.84
mobley_5220185,-16.37385368347168,-5.45
mobley_525934,-3.353612184524536,-1.2
mobley_5263791,-6.524318218231201,-2.4
mobley_52782,-36.63591003417969,-5.73
mobley_5282042,-18.890382766723633,-7.43
mobley_5286200,-4.611579895019531,-2.32
mobley_5310099,-4.023210048675537,1.58
mobley_5311804,-20.803678512573242,-6.62
mobley_5326154,-18.347667694091797,-3.45
mobley_5346580,-11.0525484085083,-3.11
mobley_5347550,-31.7471981048584,-1.12
mobley_5371840,-46.36342239379883,-3.1
mobley_5390332,-33.20530319213867,-2.83
mobley_5393242,-54.729736328125,-6.48
mobley_5445548,-5.344624042510986,-0.3
mobley_5449201,-2.150707721710205,2.3
mobley_5456566,-13.703182220458984,-2.98
mobley_5467162,-32.449153900146484,-5.91
mobley_5471704,-33.27468490600586,-2.21
mobley_547634,-6.113976955413818,-2.78
mobley_5494918,-47.135135650634766,2.93
mobley_5499659,-20.4132080078125,-8.41
mobley_550662,-37.05399703979492,-4.42
mobley_5510474,-52.559913635253906,-3.81
mobley_5518547,-20.09998893737793,-5.57
mobley_5520946,-6.01682710647583,-2.55
mobley_5538249,-7.412552833557129,-2.16
mobley_5561855,-7.103357791900635,-1.96
mobley_5571660,-20.033613204956055,-5.21
mobley_5600967,-48.81419372558594,-11.01
mobley_5616693,-12.370728492736816,-2.53
mobley_5627459,-11.862312316894531,-2.86
mobley_5631798,-12.251495361328125,-4.29
mobley_5665561,-6.105854034423828,-2.47
mobley_5690766,-5.518054962158203,1.01
mobley_5692472,-11.137205123901367,-4.29
mobley_5708811,-67.95394897460938,-9.86
mobley_5732611,-21.18836212158203,-10.27
mobley_5747188,-24.08992576599121,-3.58
mobley_5747981,-52.80915451049805,-5.73
mobley_5759258,-18.49469566345215,-4.57
mobley_5760563,-25.577491760253906,-5.1
mobley_5816127,-31.904239654541016,-6.619999999999999
mobley_5852491,-2.278364896774292,1.59
mobley_5857,-11.353721618652344,-5.72
mobley_5880265,-32.68256378173828,-6.25
mobley_588781,-6.568279266357422,-0.04
mobley_5890803,-32.84861373901367,-2.44
mobley_590519,-2.836007833480835,-1.64
mobley_5917842,-55.230628967285156,-5.8
mobley_5935995,-2.422074317932129,2.51
mobley_5948990,-41.506927490234375,-7.37
mobley_5952846,-5.1412763595581055,0.1
mobley_5973402,-18.432058334350586,-4.42
mobley_5977084,-10.202061653137207,-4.77
mobley_6006813,-25.613080978393555,-3.09
mobley_6055410,-80.52637481689453,-9.4
mobley_6060301,-13.31712532043457,-3.95
mobley_6081058,-14.258467674255371,-3.43
mobley_6082662,-40.295997619628906,-9.82
mobley_6091882,-2.8884551525115967,1.28
mobley_6102880,-26.404184341430664,-2.87
mobley_6115639,-40.35245895385742,-8.7
mobley_6175884,-14.707357406616211,-4.27
mobley_6190089,-8.785019874572754,-2.37
mobley_6195751,-95.9385757446289,-8.68
mobley_6198745,-97.74283599853516,-8.84
mobley_6201330,-63.42742156982422,-9.37
mobley_6232400,-20.883371353149414,-7.1
mobley_6235784,-2.8252296447753906,0.0
mobley_6239320,-61.25918197631836,-18.06
mobley_6248915,-14.080192565917969,-3.65
mobley_6257907,-19.736907958984375,-5.82
mobley_6266306,-10.926126480102539,-5.56
mobley_628086,-38.51969909667969,-4.16
mobley_628951,-7.027656078338623,-2.28
mobley_6303022,-10.569038391113281,-4.73
mobley_6309289,-11.706859588623047,-5.11
mobley_632905,-36.69438934326172,-4.4
mobley_6334915,-56.919212341308594,-12.74
mobley_6338073,-44.96540069580078,-6.68
mobley_6353617,-19.679407119750977,-8.26
mobley_6358463,-44.79395294189453,1.07
mobley_6359135,-7.381512641906738,0.08
mobley_6359156,-7.03324556350708,-2.46
mobley_63712,-11.277287483215332,-3.88
mobley_637522,-7.757176399230957,-3.95
mobley_6416775,-3.031716823577881,2.13
mobley_6430250,-5.433573246002197,-0.53
mobley_6456034,-33.448211669921875,-1.69
mobley_646007,-11.313358306884766,-5.48
mobley_6474572,-2.6314923763275146,-0.59
mobley_6497672,-12.79660701751709,-4.22
mobley_6522117,-53.3119010925293,-7.07
mobley_6571751,-3.517457962036133,0.67
mobley_6619554,-33.319026947021484,-2.49
mobley_6620221,-68.74803924560547,-9.61
mobley_6632459,-11.656781196594238,-3.43
mobley_667278,-9.853031158447266,-4.4
mobley_6688723,-83.18389129638672,-6.44
mobley_6714389,-11.657496452331543,-4.55
mobley_6727159,-35.08919143676758,-8.18
mobley_6733657,-18.032068252563477,-3.44
mobley_6739648,-29.171239852905273,-5.06
mobley_6743808,-31.52044677734375,-6.5
mobley_676247,-30.209604263305664,3.12
mobley_6794076,-19.48194122314453,-7.62
mobley_6804509,-5.0356669425964355,-1.34
mobley_6812653,-2.528101921081543,2.48
mobley_6843802,-50.839805603027344,-1.29
mobley_6854178,-34.01127243041992,-2.02
mobley_6861308,-36.3017578125,-9.13
mobley_6896128,-3.2594237327575684,2.97
mobley_6911232,-15.366836547851562,-2.1
mobley_6917738,-26.28757095336914,-6.55
mobley_6929123,-36.00062561035156,-4.0
mobley_6935906,-35.78999328613281,-2.49
mobley_6973347,-32.28002166748047,-2.94
mobley_6978427,-34.03619384765625,-3.3
mobley_6981465,-31.95303726196289,-2.64
mobley_6988468,-10.244739532470703,-4.33
mobley_7009711,-31.498851776123047,-6.27
mobley_7010316,-18.162132263183594,-5.46
mobley_7015518,-15.376114845275879,-1.91
mobley_7017274,-7.779980659484863,-3.88
mobley_7039935,-33.30589294433594,-7.67
mobley_7047032,-2.4653937816619873,1.09
mobley_7066554,-31.436046600341797,-7.03
mobley_7099614,-4.2741379737854,-0.57
mobley_7106722,-2.4925904273986816,2.51
mobley_7142697,-12.903519630432129,-4.09
mobley_7157427,-4.280776500701904,0.29
mobley_7176248,-91.44084167480469,-3.25
mobley_7176290,-53.592132568359375,-9.62
mobley_718988,-13.660345077514648,-3.79
mobley_7200804,-37.59023666381836,-5.29
mobley_7203421,-26.556276321411133,-9.31
mobley_7227357,-18.048254013061523,-4.35
mobley_7239499,-47.5252799987793,-3.52
mobley_7261305,-18.900461196899414,-9.3
mobley_7295828,-27.697303771972656,-2.45
mobley_7298388,-24.154949188232422,-3.45
mobley_7326706,-52.77243423461914,-5.04
mobley_7326982,-17.265342712402344,-4.74
mobley_7360181,-63.534385681152344,-0.8
mobley_7364468,-12.287257194519043,-5.18
mobley_7375018,-13.39728832244873,-2.15
mobley_7378987,-56.49489974975586,-12.64
mobley_7393673,-59.31184387207031,-5.33
mobley_7415647,-46.21152877807617,-11.95
mobley_7417968,-46.45100784301758,-5.31
mobley_7455579,-35.0088005065918,-2.22
mobley_7463408,-25.510433197021484,-7.78
mobley_7463799,-21.947830200195312,-6.92
mobley_7497999,-13.67300796508789,-4.58
mobley_7532833,-5.2024126052856445,-3.88
mobley_7542832,-16.098356246948242,-1.16
mobley_755351,-43.29670333862305,-7.29
mobley_7573149,-32.57941436767578,-2.79
mobley_7608435,-34.74033737182617,-2.04
mobley_7608462,-4.176110744476318,-1.12
mobley_7610437,-18.479225158691406,-3.88
mobley_766666,-3.8080971240997314,-0.44
mobley_7676709,-12.705533981323242,-4.51
mobley_7688753,-42.0836296081543,-9.52
mobley_7690440,-2.3816277980804443,-1.83
mobley_7735340,-21.70668601989746,-9.63
mobley_7754849,-48.60408401489258,-6.1
mobley_7758918,-37.70505142211914,-6.46
mobley_7774695,-19.186567306518555,-4.69
mobley_778352,-3.037588596343994,1.31
mobley_7794077,-66.62417602539062,-15.46
mobley_7814642,-4.281700611114502,-1.12
mobley_7829570,-91.47130584716797,-3.51
mobley_7859387,-13.088077545166016,-2.67
mobley_7860938,-12.998282432556152,-3.24
mobley_7869158,-18.13993263244629,-1.82
mobley_7893124,-5.580711841583252,-0.44
mobley_7912193,-63.813514709472656,-8.72
mobley_7913234,-32.419769287109375,-5.73
mobley_7943327,-32.54922866821289,-2.68
mobley_7977115,-18.423412322998047,-4.06
mobley_7983227,-18.65959930419922,-4.42
mobley_7988076,-41.98590850830078,-8.83
mobley_8006582,-1.951399803161621,1.2
mobley_8011706,-23.96625518798828,-7.81
mobley_8048190,-25.094444274902344,-9.71
mobley_8052240,-41.893707275390625,-9.44
mobley_8057732,-31.603116989135742,-6.62
mobley_8117218,-28.333852767944336,-4.82
mobley_8118832,-19.00480842590332,-5.03
mobley_8124669,-40.14228820800781,-8.21
mobley_8127829,-5.067212104797363,-0.79
mobley_819018,-21.687498092651367,-4.45
mobley_8191186,-23.752954483032227,0.06
mobley_8207196,-44.87172317504883,-10.22
mobley_820789,-38.10405731201172,-6.35
mobley_8208692,-10.442874908447266,-4.61
mobley_8221999,-5.752089023590088,-3.64
mobley_8260524,-4.713280200958252,-0.48
mobley_8311303,-8.558674812316895,-4.38
mobley_8311321,-16.380226135253906,-0.5
mobley_8320545,-24.97048568725586,-3.71
mobley_8337722,-19.624683380126953,-3.2
mobley_8337977,-11.424702644348145,-3.05
mobley_8426916,-11.459291458129883,-4.07
mobley_8427539,-25.41049575805664,-9.4
mobley_8436428,-2.8364012241363525,2.83
mobley_8449031,-11.215973854064941,-3.22
mobley_8467917,-4.076321601867676,1.68
mobley_8492526,-12.421984672546387,-3.03
mobley_8514745,-33.45579528808594,-2.51
mobley_8522124,-6.410873889923096,0.71
mobley_852937,-35.429134368896484,-6.19
mobley_8558116,-24.334266662597656,-6.32
mobley_8573194,-12.032358169555664,-3.18
mobley_8578590,-8.364274978637695,-9.280000000000001
mobley_859464,-32.93722915649414,-2.36
mobley_8614858,-2.9140830039978027,2.67
mobley_8668219,-2.8421812057495117,2.52
mobley_8691603,-31.61039924621582,-5.49
mobley_8705848,-11.726466178894043,-3.22
mobley_8713762,-24.43832778930664,-4.13
mobley_8723116,-19.67827796936035,-5.9
mobley_8739734,-10.913869857788086,-3.24
mobley_8746821,-9.785262107849121,-4.82
mobley_8754702,-34.65214538574219,-2.48
mobley_8764620,-14.10798168182373,-6.75
mobley_8765203,-4.355377674102783,0.68
mobley_8785107,-14.997881889343262,-2.92
mobley_8789864,-43.85271072387695,-6.4
mobley_8798016,-20.65258026123047,-7.0
mobley_8809190,-5.8125457763671875,-0.4
mobley_8809274,-23.654287338256836,-0.25
mobley_8823527,-7.459650993347168,-3.61
mobley_8827942,-50.37859344482422,-4.05
mobley_8861672,-9.818885803222656,-4.86
mobley_8882696,-15.155467987060547,-3.47
mobley_8883511,-14.622802734375,-3.93
mobley_8885088,-3.101339101791382,0.56
mobley_8899867,-17.958200454711914,-5.49
mobley_8916409,-90.65644836425781,-8.15
mobley_8966374,-16.058542251586914,-5.51
mobley_900088,-4.313188552856445,0.4
mobley_9007496,-46.225650787353516,-9.45
mobley_9028462,-62.633602142333984,-1.1
mobley_902954,-18.61376190185547,-2.09
mobley_9029594,-7.671804904937744,-0.22
mobley_9055303,-0.5719448924064636,2.0
mobley_9073553,-2.693995237350464,-1.61
mobley_9100956,-2.673178195953369,1.7
mobley_9112978,-3.3507473468780518,1.31
mobley_9114381,-39.98988342285156,-6.72
mobley_9121449,-4.915191173553467,-0.16
mobley_9139060,-3.0181093215942383,2.11
mobley_9185328,-12.181100845336914,-4.39
mobley_9197172,-4.778842926025391,1.92
mobley_9201263,-19.507335662841797,-4.87
mobley_9209581,-10.716316223144531,-3.2
mobley_9246215,-5.116186141967773,0.93
mobley_9257453,-32.14759063720703,-7.29
mobley_9281946,-66.03004455566406,-6.74
mobley_9407874,-12.206674575805664,-2.88
mobley_9414831,-6.199190616607666,-2.44
mobley_9460824,-26.768890380859375,-4.37
mobley_9478823,-4.671381950378418,-0.9
mobley_9507933,-9.77340030670166,-4.72
mobley_9510785,-9.054437637329102,-3.48
mobley_951560,-20.928815841674805,-7.4
mobley_9534740,-96.13318634033203,-25.47
mobley_9557440,-44.984493255615234,-17.74
mobley_9565165,-7.0040812492370605,-3.35
mobley_9571888,-36.339874267578125,-4.23
mobley_9617923,-12.96231746673584,-2.34
mobley_9624458,-4.2356085777282715,-1.89
mobley_9626434,-31.830604553222656,-6.69
mobley_9653690,-21.088653564453125,-4.44
mobley_967099,-23.48299217224121,-3.13
mobley_9671033,-25.205087661743164,-3.34
mobley_9705941,-3.8748390674591064,-1.38
mobley_9717937,-7.378778457641602,-2.69
mobley_9729792,-5.587297439575195,-0.99
mobley_9733743,-12.61355972290039,-4.24
mobley_9740891,-9.087327003479004,-4.71
mobley_9741965,-35.32489013671875,-4.29
mobley_9794857,-15.105260848999023,-2.21
mobley_9821936,-59.40256881713867,-4.53
mobley_9838013,-17.48885154724121,-4.43
mobley_9883303,-2.882675886154175,2.71
mobley_9897248,-21.690092086791992,-4.78
mobley_9913368,-2.955965280532837,-0.78
mobley_9942801,-4.981392860412598,-0.95
mobley_9974966,-3.5552446842193604,-1.21
mobley_9979854,-38.519710540771484,-4.2
