dG_pred_kcal,dG_lfer_kcal,dG_exp_kcal
-0.624755,-2.785941,1.830000
-0.864799,-2.967651,0.100000
-3.255544,-4.777403,-3.900000
-1.501323,-3.449488,-1.500000
-1.760969,-3.646035,-6.600000
-0.994093,-3.065524,2.000000
-5.246279,-6.284354,-7.000000
-5.557752,-6.520133,-10.780000
-1.597475,-3.522273,-0.460000
-2.206398,-3.983217,-10.170000
-2.511089,-4.213863,-5.660000
-2.192334,-3.972571,1.830000
-0.546014,-2.726336,-2.750000
-1.371138,-3.350940,-0.100000
-3.132669,-4.684388,-0.450000
-2.264090,-4.026889,3.160000
-0.603942,-2.770186,-0.630000
-2.491770,-4.199239,2.510000
-1.963218,-3.799135,-4.500000
-2.186877,-3.968440,-3.150000
-4.432701,-5.668490,-10.210000
-1.151682,-3.184816,-4.420000
-0.813446,-2.928777,-2.560000
-2.429476,-4.152083,-9.510000
-0.691631,-2.836565,-5.000000
-4.486814,-5.709452,-14.210000
-2.167697,-3.953921,2.550000
-1.866254,-3.725734,-2.560000
-2.318753,-4.068268,-6.250000
-1.417925,-3.386358,-2.640000
-2.134282,-3.928627,-5.220000
-2.472729,-4.184826,-2.920000
-2.217157,-3.991361,-6.000000
-0.945998,-3.029116,-4.500000
-1.003418,-3.072582,-1.660000
-4.511509,-5.728146,-11.850000
-2.065814,-3.876798,-4.100000
-2.107600,-3.908429,-7.660000
-0.891323,-2.987729,-1.450000
-1.808005,-3.681641,-1.930000
-2.016543,-3.839501,-3.280000
-1.329390,-3.319338,-1.360000
-0.744001,-2.876209,-1.230000
-0.497782,-2.689825,0.250000
-5.487552,-6.466993,-2.450000
-1.778578,-3.659365,0.340000
-4.413426,-5.653899,-5.740000
-3.416664,-4.899367,-16.430000
-3.996448,-5.338254,2.880000
-3.476701,-4.944814,-4.520000
-1.913859,-3.761770,-2.260000
-4.192920,-5.486979,2.560000
-2.376197,-4.111752,-5.330000
-0.989984,-3.062413,-4.800000
-3.830827,-5.212882,-9.760000
-2.206423,-3.983237,-9.650000
-1.288400,-3.288309,-0.780000
-1.985388,-3.815917,1.230000
-2.738349,-4.385895,-5.040000
-6.412986,-7.167531,-7.980000
-1.856081,-3.718033,-9.800000
-1.574914,-3.505195,-18.720000
-2.139912,-3.932888,-10.640000
-1.961266,-3.797657,-2.220000
-1.965418,-3.800800,-7.770000
-2.303785,-4.056938,-9.610000
-0.257431,-2.507884,0.750000
-1.224071,-3.239613,-4.010000
-1.270505,-3.274763,-3.680000
-1.152818,-3.185676,-0.400000
-2.435611,-4.156728,-2.400000
-0.972750,-3.049367,-4.780000
-2.205221,-3.982327,-3.840000
-2.040749,-3.857824,-3.370000
-2.056075,-3.869425,-4.680000
-2.198859,-3.977510,-1.240000
-1.894096,-3.746810,-4.390000
-2.007962,-3.833005,-1.880000
-3.228512,-4.756940,-9.940000
-2.283715,-4.041745,-6.130000
-2.029029,-3.848952,-6.130000
-2.411761,-4.138674,-6.090000
-1.786923,-3.665682,-3.650000
-2.061142,-3.873261,-3.710000
-1.367768,-3.348389,-4.690000
-3.318541,-4.825090,-3.780000
-0.779690,-2.903225,-1.400000
-1.683173,-3.587145,1.160000
-0.070428,-2.366325,-1.080000
-0.388975,-2.607460,-4.310000
-0.889465,-2.986322,1.320000
-0.679367,-2.827281,-6.690000
-2.637319,-4.309417,-0.850000
-3.228928,-4.757255,-7.650000
-1.648676,-3.561032,-0.900000
-5.310813,-6.333205,2.930000
-0.727212,-2.863500,-2.930000
-5.817664,-6.716882,-11.140000
-0.891231,-2.987659,-4.850000
-2.491850,-4.199299,-5.910000
-2.421479,-4.146030,-3.640000
-1.805365,-3.679642,2.880000
-1.887346,-3.741700,-4.910000
-2.740131,-4.387244,-0.860000
-2.457757,-4.173492,-5.530000
-4.778202,-5.930028,-9.410000
-1.648469,-3.560875,-4.950000
-1.906010,-3.755829,0.140000
-2.147682,-3.938770,-0.800000
-1.416417,-3.385216,-13.430000
-2.819231,-4.447121,-7.470000
-2.841120,-4.463691,-7.780000
-3.017234,-4.597006,-1.920000
-1.492992,-3.443181,-2.010000
-2.229938,-4.001037,-3.170000
-4.152862,-5.456656,-6.230000
-3.141604,-4.691152,-2.640000
-1.936824,-3.779154,-8.610000
-4.037876,-5.369614,-4.040000
-2.689033,-4.348564,-5.260000
-0.123557,-2.406544,-0.110000
-1.582452,-3.510901,-16.920000
-2.118746,-3.916866,-3.880000
-1.496399,-3.445761,-3.120000
-1.651512,-3.563178,-1.740000
-3.311981,-4.820125,-3.920000
-0.118035,-2.402363,-0.770000
-3.008973,-4.590753,-1.210000
-2.772626,-4.411842,-4.700000
-2.210701,-3.986475,-5.940000
-2.004299,-3.830232,-6.340000
-2.646926,-4.316689,-0.230000
-1.692595,-3.594278,-4.400000
-2.325614,-4.073462,-2.110000
-2.184095,-3.966334,-3.040000
-2.389334,-4.121697,-4.590000
-2.036354,-3.854497,-4.090000
-1.022967,-3.087381,-0.160000
-2.589679,-4.273354,-8.110000
-2.102089,-3.904257,-4.910000
-1.065757,-3.119772,-3.280000
-2.017181,-3.839984,-2.280000
-2.175013,-3.959460,2.060000
-3.334502,-4.837172,-2.820000
-1.815302,-3.687164,-6.500000
-1.459684,-3.417968,-0.100000
-2.948020,-4.544612,-1.240000
-0.968641,-3.046257,-0.190000
-0.151323,-2.427562,-1.310000
-1.198781,-3.220469,-2.890000
-2.395720,-4.126531,-8.840000
-1.473662,-3.428549,-1.660000
-2.848319,-4.469140,-7.280000
-1.229967,-3.244076,-3.800000
-1.181136,-3.207112,-4.700000
-2.304220,-4.057267,-3.920000
-2.037313,-3.855223,-4.020000
-2.333363,-4.079328,-3.640000
-2.213534,-3.988619,-4.150000
-1.213703,-3.231765,-1.240000
-0.939667,-3.024324,-3.130000
-0.740701,-2.873711,-0.840000
-3.672106,-5.092733,-2.740000
-2.184798,-3.966867,-5.900000
-1.550236,-3.486515,-18.170000
-1.309403,-3.304208,1.680000
-2.526049,-4.225187,2.930000
-2.320133,-4.069313,-7.580000
-2.342603,-4.086323,-3.670000
-4.512974,-5.729255,2.560000
-3.577644,-5.021226,-9.290000
-2.010026,-3.834567,-4.120000
-2.309833,-4.061516,-7.480000
-1.087128,-3.135949,-1.340000
-3.281056,-4.796715,0.160000
-1.598187,-3.522812,-4.630000
-1.180090,-3.206320,-4.390000
-1.570773,-3.502061,0.010000
-1.070259,-3.123180,-3.840000
-1.421044,-3.388719,-15.830000
-0.612635,-2.776766,-0.890000
-4.512334,-5.728771,-9.530000
-2.174531,-3.959094,3.130000
-1.979133,-3.811181,-6.790000
-0.359248,-2.584958,-0.550000
-2.047214,-3.862718,-4.970000
-0.385079,-2.604511,-1.170000
-4.034210,-5.366839,-2.780000
-1.481096,-3.434176,-0.800000
-1.824754,-3.694320,-1.390000
-0.393654,-2.611002,-0.110000
-1.333434,-3.322399,-1.010000
-3.298980,-4.810283,2.340000
-1.907096,-3.756651,-4.590000
-3.601023,-5.038924,-23.620000
-0.569710,-2.744273,-4.230000
-2.457538,-4.173326,-9.200000
-2.297442,-4.052136,-7.630000
-1.546753,-3.483878,-4.100000
-0.692741,-2.837405,-4.840000
-0.760386,-2.888611,-9.300000
-1.650397,-3.562334,1.070000
-2.418072,-4.143451,-5.210000
-1.076272,-3.127732,-6.400000
-3.485475,-4.951456,-2.550000
-0.894927,-2.990457,-3.540000
-2.135293,-3.929392,-2.290000
-1.265867,-3.271252,-1.270000
-3.683878,-5.101644,1.580000
-1.839225,-3.705274,0.270000
-1.644228,-3.557664,1.660000
-2.582136,-4.267644,-6.010000
-1.729597,-3.622287,-6.160000
-0.934352,-3.020301,-2.330000
-1.134693,-3.171955,-4.870000
-2.356239,-4.096644,-6.960000
-1.988168,-3.818021,-5.490000
-1.904068,-3.754359,-4.590000
-1.501840,-3.449879,-3.520000
-2.242453,-4.010510,-2.130000
-1.936866,-3.779187,0.600000
-2.315500,-4.065806,-5.230000
-4.759132,-5.915592,-6.780000
-1.391243,-3.366159,-5.990000
-1.751519,-3.638882,-1.460000
-4.159944,-5.462017,-11.530000
-3.753075,-5.154025,-4.090000
-1.789636,-3.667736,-6.020000
-1.921966,-3.767908,-1.280000
-0.842412,-2.950704,-3.300000
-2.056830,-3.869997,-4.580000
-2.291518,-4.047652,-6.120000
-5.933754,-6.804760,-5.660000
-1.637942,-3.552907,-4.210000
-1.657609,-3.567794,-1.460000
-3.060468,-4.629733,-2.630000
-1.055850,-3.112273,0.560000
-2.853243,-4.472868,-3.730000
-1.946455,-3.786445,2.300000
-4.230487,-5.515417,-9.840000
-1.615609,-3.536000,-5.450000
-0.481001,-2.677122,-1.200000
-3.117415,-4.672841,-2.400000
-0.871037,-2.972372,-5.730000
-5.942982,-6.811746,-7.430000
-1.212424,-3.230797,-2.320000
-1.472564,-3.427718,1.580000
-2.043260,-3.859725,-6.620000
-2.760185,-4.402425,-3.450000
-4.146466,-5.451815,-3.110000
-0.917224,-3.007335,-1.120000
-2.469173,-4.182133,-3.100000
-1.680107,-3.584825,-2.830000
-3.813957,-5.200111,-6.480000
-3.034364,-4.609973,-0.300000
-1.348757,-3.333998,2.300000
-2.147438,-3.938586,-2.980000
-4.687557,-5.861411,-5.910000
-2.406533,-4.134716,-2.210000
-3.296628,-4.808503,-2.780000
-0.430817,-2.639134,2.930000
-0.950705,-3.032680,-8.410000
-2.423593,-4.147630,-4.420000
-2.341920,-4.085805,-3.810000
-2.242150,-4.010281,-5.570000
-1.648953,-3.561241,-2.550000
-2.753129,-4.397083,-2.160000
-2.467041,-4.180520,-1.960000
-3.042263,-4.615953,-5.210000
-3.901719,-5.266545,-11.010000
-4.737713,-5.899379,-2.530000
-2.044716,-3.860827,-2.860000
-0.771449,-2.896987,-4.290000
-3.314841,-4.822289,-2.470000
-1.424698,-3.391484,1.010000
-0.841928,-2.950338,-4.290000
-2.962219,-4.555360,-9.860000
-0.913768,-3.004719,-10.270000
-2.753957,-4.397710,-3.580000
-2.525346,-4.224655,-5.730000
-1.293591,-3.292238,-4.570000
-1.382005,-3.359167,-5.100000
-0.768172,-2.894506,-6.620000
-1.398300,-3.371502,1.590000
-2.144885,-3.936653,-5.720000
-1.308656,-3.303643,-6.250000
-2.804310,-4.435826,-0.040000
-1.853614,-3.716166,-2.440000
-1.573301,-3.503974,-1.640000
-2.302679,-4.056100,-5.800000
-3.874700,-5.246093,2.510000
-2.468930,-4.181949,-7.370000
-0.112483,-2.398160,0.100000
-2.110978,-3.910986,-4.420000
-1.655297,-3.566043,-4.770000
-1.509190,-3.455443,-3.090000
-3.654375,-5.079311,-9.400000
-1.667802,-3.575510,-3.950000
-1.670601,-3.577629,-3.430000
-2.359655,-4.099231,-9.820000
-0.654323,-2.808324,1.280000
-3.115796,-4.671616,-2.870000
-1.938332,-3.780296,-8.700000
-2.287810,-4.044845,-4.270000
-0.640706,-2.798016,-2.370000
-3.469668,-4.939491,-8.680000
-3.638398,-5.067216,-8.840000
-2.771721,-4.411157,-9.370000
-1.787226,-3.665911,-7.100000
-1.543227,-3.481208,0.000000
-1.363117,-3.344868,-18.060000
-2.032937,-3.851911,-3.650000
-1.631621,-3.548122,0.080000
-1.888785,-3.742790,-5.820000
-0.185188,-2.453197,-5.560000
-1.866073,-3.725597,-0.030000
-1.390439,-3.365551,-4.160000
-2.559466,-4.250484,-2.280000
-1.868151,-3.727170,-4.730000
-1.862903,-3.723198,-5.110000
-2.840715,-4.463384,-4.400000
-3.274243,-4.791558,-12.740000
-5.032835,-6.122781,-6.680000
-2.294894,-4.050207,-8.260000
-2.090717,-3.895649,1.070000
-0.048511,-2.349735,0.080000
-2.801199,-4.433471,-2.460000
-2.203174,-3.980777,-3.880000
-3.298656,-4.810038,-3.950000
-1.736947,-3.627851,2.130000
-2.305110,-4.057941,-0.530000
-3.778990,-5.173642,-1.690000
-0.631943,-2.791383,-5.480000
-0.536152,-2.718871,-0.590000
-0.891281,-2.987697,-4.220000
-3.276347,-4.793150,-7.070000
-2.082317,-3.889291,0.670000
-1.909882,-3.758760,-2.490000
-4.494921,-5.715589,-9.610000
-1.234132,-3.247229,-3.430000
-0.503783,-2.694368,-2.490000
-2.248940,-4.015421,-4.400000
-2.773744,-4.412688,-6.440000
-0.646731,-2.802577,-4.550000
-0.854455,-2.959820,-8.180000
-3.037561,-4.612393,-3.440000
-0.829234,-2.940728,-5.060000
-2.567779,-4.256776,-6.500000
0.604969,-1.855062,3.120000
-2.241686,-4.009930,-7.620000
-1.040013,-3.100284,-1.340000
-1.502932,-3.450706,2.480000
-2.005858,-3.831412,-1.290000
-1.735578,-3.626815,-2.020000
-3.482767,-4.949406,-9.130000
-2.894889,-4.504393,2.970000
-0.667616,-2.818386,-2.100000
-1.066270,-3.120161,-6.550000
-0.970272,-3.047491,-4.000000
-4.993939,-6.093337,-2.490000
-1.000812,-3.070610,-2.940000
-3.556249,-5.005031,-3.300000
-1.853109,-3.715784,-2.640000
-1.885107,-3.740006,-4.330000
-2.477214,-4.188221,-6.270000
-2.234371,-4.004393,-5.460000
-0.660507,-2.813005,-1.910000
-3.313388,-4.821190,-3.880000
-2.646470,-4.316344,-7.670000
-2.679454,-4.341312,1.090000
-1.620884,-3.539993,-7.030000
-0.770150,-2.896003,-0.570000
-2.351046,-4.092713,2.510000
-1.504951,-3.452234,-4.090000
-1.492879,-3.443096,-2.300000
-1.688416,-3.591114,0.290000
-5.605468,-6.556253,-3.250000
-2.157844,-3.946463,-9.620000
-1.807621,-3.681350,-3.790000
-1.751244,-3.638674,-5.290000
-2.210267,-3.986146,-9.310000
-2.189437,-3.970378,-4.350000
-2.569787,-4.258296,-3.520000
-0.772285,-2.897619,-9.300000
-1.962316,-3.798452,-2.450000
-2.345528,-4.088536,-3.450000
-2.200851,-3.979019,-5.040000
-1.448377,-3.409409,-4.740000
-2.940993,-4.539293,-0.800000
-4.518272,-5.733266,-5.180000
-3.019722,-4.598889,-2.150000
-3.315380,-4.822697,-12.640000
-2.622383,-4.298110,-5.330000
-3.933271,-5.290430,-11.950000
-1.059108,-3.114739,-5.310000
-2.135409,-3.929480,-2.220000
-2.872960,-4.487793,-7.780000
-2.203519,-3.981038,-6.920000
-2.526530,-4.225552,-4.580000
-0.867424,-2.969638,-3.880000
-1.409217,-3.379765,-1.160000
-2.349426,-4.091487,-7.290000
-1.298209,-3.295734,-2.790000
-0.165082,-2.437977,-2.130000
-1.583519,-3.511709,-1.460000
-2.402145,-4.131394,-2.040000
-1.497784,-3.446809,-1.120000
-3.202328,-4.737119,-3.880000
-0.240883,-2.495357,-0.440000
-4.323810,-5.586061,-4.510000
-2.178029,-3.961742,-9.520000
-1.069605,-3.122685,-1.830000
-1.080971,-3.131289,-0.560000
0.146079,-2.202433,1.790000
-0.649495,-2.804669,-9.630000
-3.067464,-4.635029,-6.100000
-1.169188,-3.198068,-6.460000
-0.614289,-2.778019,-1.950000
-2.868864,-4.484692,0.840000
-2.184332,-3.966514,-4.690000
-1.489186,-3.440301,1.310000
-1.900717,-3.751822,-15.460000
-1.194935,-3.217558,-1.120000
-5.729696,-6.650292,-3.510000
-1.627603,-3.545080,-2.670000
-2.070456,-3.880312,-3.240000
-1.802803,-3.677703,-1.820000
-4.573898,-5.775373,-0.440000
-2.889959,-4.500661,-8.720000
-1.755713,-3.642057,-5.730000
-1.558572,-3.492824,-2.680000
-2.307164,-4.059496,-4.060000
-2.500856,-4.206117,-4.420000
-2.163139,-3.950471,-8.830000
-0.822742,-2.935814,1.200000
-1.549404,-3.485884,-7.810000
-1.045976,-3.104798,-9.710000
-4.132620,-5.441333,-9.440000
-1.650036,-3.562061,-6.620000
-3.601038,-5.038936,-4.820000
-0.902374,-2.996094,-5.030000
-4.437015,-5.671755,-8.210000
-2.167076,-3.953451,-0.790000
-2.521644,-4.221853,-4.450000
-0.103047,-2.391017,0.060000
-1.641165,-3.555346,-10.220000
-1.626515,-3.544256,-6.350000
-2.214873,-3.989633,-4.610000
-1.530627,-3.471671,-3.640000
-1.076547,-3.127940,-0.480000
-2.414438,-4.140700,-4.380000
0.099313,-2.237835,-0.500000
-1.154414,-3.186884,-3.710000
-4.713399,-5.880973,-3.200000
-2.923412,-4.525984,-3.050000
-1.117421,-3.158881,-4.070000
-1.645579,-3.558687,-9.400000
-3.329326,-4.833254,2.830000
-2.483130,-4.192699,-3.220000
-1.332806,-3.321924,1.680000
-1.601535,-3.525347,-3.030000
-1.777837,-3.658805,-2.510000
-2.092175,-3.896753,0.710000
-1.518612,-3.462575,-0.140000
-1.620513,-3.539713,-6.190000
-1.945700,-3.785874,-6.320000
-1.405695,-3.377099,-3.180000
-1.626881,-3.544534,-9.280000
-2.302697,-4.056114,-2.360000
-1.871176,-3.729460,2.670000
-3.467942,-4.938184,2.520000
-0.385498,-2.604828,0.500000
-2.071122,-3.880816,-5.490000
-2.796622,-4.430007,-3.220000
-3.843411,-5.222407,-4.130000
-1.842591,-3.707822,-5.900000
-2.494221,-4.201094,-3.240000
-2.093910,-3.898066,-4.820000
-1.139957,-3.175940,-2.480000
-1.796947,-3.673270,-6.750000
-1.924046,-3.769482,0.680000
-1.278156,-3.280555,-0.250000
-1.306533,-3.302035,-2.920000
-1.807313,-3.681117,-6.200000
-2.830496,-4.455648,-6.400000
-1.756651,-3.642767,-7.000000
-2.478652,-4.189309,-0.400000
-1.606702,-3.529258,-0.250000
-2.445119,-4.163925,-3.610000
-2.424532,-4.148341,-4.050000
-1.960784,-3.797292,-4.860000
-0.414043,-2.626436,-3.470000
-2.381047,-4.115424,-3.930000
-0.860828,-2.964644,0.560000
-1.520947,-3.464343,-5.490000
-4.854909,-5.988094,-8.150000
-1.329390,-3.319338,-5.510000
-0.460802,-2.661832,-0.820000
-2.584800,-4.269661,0.400000
-3.513623,-4.972764,-9.450000
-2.022205,-3.843786,0.520000
-0.797883,-2.916996,-1.100000
-1.124991,-3.164611,-2.090000
-0.322064,-2.556810,-0.220000
-0.723628,-2.860787,2.000000
-1.223855,-3.239450,-1.610000
-2.597995,-4.279649,1.700000
-1.149926,-3.183487,1.310000
-1.498730,-3.447525,-6.720000
-1.282529,-3.283865,-0.160000
-3.412248,-4.896025,2.110000
-1.160607,-3.191572,-4.390000
-1.797955,-3.674033,1.920000
-1.495384,-3.444993,-4.870000
-1.596862,-3.521809,-3.200000
-1.256789,-3.264380,0.930000
-0.279272,-2.524417,-1.960000
-1.487119,-3.438736,-7.290000
-3.077793,-4.642848,-6.740000
-1.501125,-3.449338,0.180000
-2.339397,-4.083895,-2.880000
-2.903652,-4.511027,-2.440000
-1.521980,-3.465125,-0.480000
-2.519875,-4.220514,-4.370000
-2.400952,-4.130491,-0.900000
-1.869735,-3.728369,-4.720000
-2.566959,-4.256156,-3.480000
-1.628272,-3.545586,-7.400000
-2.952925,-4.548325,-25.470000
-1.518295,-3.462335,-17.740000
-2.725267,-4.375992,-3.350000
-4.289651,-5.560203,-4.230000
-2.642505,-4.313342,-2.340000
-0.975808,-3.051682,-1.890000
-0.913003,-3.004140,-6.690000
-4.260950,-5.538477,-4.440000
-2.231304,-4.002071,-3.130000
-1.311322,-3.305661,-3.340000
-1.039626,-3.099991,-1.380000
-2.906838,-4.513438,-2.690000
-1.902169,-3.752921,-0.990000
-1.549651,-3.486072,-4.240000
-1.902171,-3.752923,-4.710000
-1.788257,-3.666692,-4.290000
-3.119085,-4.674105,-2.210000
-2.058891,-3.871557,-4.530000
-3.090642,-4.652575,-4.430000
-2.681558,-4.342905,2.710000
-2.502639,-4.207467,-4.780000
-0.304061,-2.543182,-0.780000
-2.405771,-4.134140,-0.950000
-0.746892,-2.878397,-0.740000
-2.793123,-4.427358,-1.210000
-1.390417,-3.365534,-4.200000
