mol_id,atom_idx,P_seed42,P_seed123,P_seed999
mobley_1034539,21,-0.297054,-0.295780,-0.296441
mobley_1036761,0,-0.449024,-0.447915,-0.448894
mobley_1036761,1,-0.430189,-0.429044,-0.430173
mobley_1036761,2,-0.577030,-0.575719,-0.576380
mobley_1036761,3,0.380455,0.379568,0.378095
mobley_1036761,4,-0.555095,-0.553778,-0.554564
mobley_1036761,5,-0.430464,-0.429319,-0.430440
mobley_1036761,6,-1.405777,-1.407517,-1.407014
mobley_1036761,7,0.063319,0.063309,0.063249
mobley_1036761,8,0.190610,0.190059,0.190521
mobley_1036761,9,0.186690,0.186158,0.186635
mobley_1036761,10,0.060620,0.060631,0.060563
mobley_1036761,11,0.093331,0.093058,0.093255
mobley_1036761,12,0.012968,0.013028,0.012880
mobley_1036761,13,0.088116,0.087873,0.088188
mobley_1036761,14,-0.031161,-0.030998,-0.031222
mobley_1036761,15,0.154863,0.154308,0.154763
mobley_1036761,16,0.060766,0.060776,0.060708
mobley_1036761,17,0.187543,0.187002,0.187481
mobley_1036761,18,-1.323555,-1.320405,-1.324207
mobley_1036761,19,-1.165206,-1.162577,-1.165960
mobley_1046331,0,-0.398707,-0.398339,-0.398299
mobley_1046331,1,-0.375466,-0.375128,-0.375170
mobley_1046331,2,-0.399597,-0.399072,-0.399319
mobley_1046331,3,-0.229773,-0.230518,-0.229297
mobley_1046331,4,-0.367011,-0.366763,-0.366619
mobley_1046331,5,-0.375413,-0.375076,-0.375123
mobley_1046331,6,-1.297135,-1.297072,-1.296798
mobley_1046331,7,-0.522215,-0.521731,-0.521019
mobley_1046331,8,-1.193445,-1.192739,-1.193482
mobley_1046331,9,-0.144955,-0.144321,-0.144800
mobley_1046331,10,-0.146132,-0.145488,-0.145970
mobley_1046331,11,-0.135908,-0.135317,-0.135764
mobley_1046331,12,-0.189505,-0.188435,-0.189691
mobley_1046331,13,-0.146545,-0.145899,-0.146382
mobley_1046331,14,-0.133205,-0.132570,-0.133054
mobley_1075836,0,-0.770585,-0.768779,-0.769125
mobley_1075836,1,-0.371552,-0.370467,-0.371904
mobley_1075836,2,-0.303569,-0.303880,-0.302920
mobley_1075836,3,-2.132359,-2.132221,-2.132833
mobley_1075836,4,-0.939051,-0.938938,-0.938158
mobley_1075836,5,-0.968134,-0.966150,-0.965607
mobley_1075836,6,0.352675,0.351906,0.352197
mobley_1075836,7,0.352676,0.351908,0.352199
mobley_1075836,8,0.277930,0.277224,0.277736
mobley_1075836,9,0.173341,0.173272,0.172870
mobley_1075836,10,0.173341,0.173272,0.172870
mobley_1075836,11,0.262721,0.261995,0.262616
mobley_1075836,12,0.258732,0.258152,0.258513
mobley_1075836,13,0.258734,0.258154,0.258515
mobley_1079207,0,-0.358988,-0.358652,-0.358840
mobley_1079207,1,-0.342388,-0.342234,-0.342385
mobley_1079207,2,0.537236,0.534853,0.532634
mobley_1079207,3,-0.289587,-0.289627,-0.289947
mobley_1079207,4,0.537236,0.534854,0.532635
mobley_1079207,5,-0.342388,-0.342234,-0.342386
mobley_1079207,6,-1.152325,-1.152157,-1.152230
mobley_1079207,7,-1.152325,-1.152157,-1.152230
mobley_1079207,8,-0.145954,-0.145302,-0.145785
mobley_1079207,9,-0.332124,-0.330664,-0.331475
mobley_1079207,10,-0.519618,-0.517335,-0.518476
mobley_1079207,11,-0.332124,-0.330664,-0.331475
mobley_1107178,0,-0.767128,-0.765210,-0.765878
mobley_1107178,1,-0.510154,-0.508998,-0.509732
mobley_1107178,2,0.000000,0.000000,0.000000
mobley_1107178,3,0.297390,0.296660,0.297149
mobley_1107178,4,0.398883,0.397877,0.398536
mobley_1107178,5,0.398883,0.397878,0.398536
mobley_1107178,6,0.178581,0.178275,0.178403
mobley_1107178,7,0.178580,0.178274,0.178402
mobley_1139153,0,-0.925945,-0.923554,-0.924046
mobley_1139153,1,0.084375,0.084234,0.082460
mobley_1139153,2,-0.978159,-0.975616,-0.976053
mobley_1139153,3,-0.914855,-0.912501,-0.912797
mobley_1139153,4,0.603656,0.601957,0.599848
mobley_1139153,5,-1.102758,-1.099787,-1.100214
mobley_1139153,6,-1.034258,-1.031488,-1.031989
mobley_1139153,7,-1.019001,-1.016318,-1.016754
mobley_1139153,8,0.485422,0.483934,0.485086
mobley_1139153,9,0.344419,0.343511,0.344129
mobley_1139153,10,0.260744,0.260173,0.260504
mobley_1139153,11,0.051760,0.051757,0.051665
mobley_1139153,12,0.349075,0.348171,0.348772
mobley_1139153,13,0.210365,0.209759,0.210269
mobley_1139153,14,0.398590,0.397502,0.398264
mobley_1139153,15,0.254635,0.254002,0.254374
mobley_1139153,16,0.343246,0.342167,0.343008
mobley_1139153,17,0.174749,0.174265,0.174678
mobley_1139153,18,0.256517,0.255740,0.256382
mobley_1139153,19,0.407176,0.406021,0.406852
mobley_1139153,20,0.347551,0.346608,0.347273
mobley_1139153,21,0.275196,0.274424,0.275012
mobley_1139153,22,0.410966,0.409798,0.410647
mobley_1139153,23,0.368371,0.367399,0.368054
mobley_1139153,24,0.397444,0.396272,0.397166
mobley_1139153,25,0.384858,0.383750,0.384571
mobley_1144156,0,-0.760030,-0.757955,-0.758924
mobley_1144156,1,-0.549397,-0.548476,-0.548395
mobley_1144156,2,-1.260759,-1.261381,-1.259471
mobley_1144156,3,-0.549398,-0.548477,-0.548396
mobley_1144156,4,-0.760032,-0.757956,-0.758926
mobley_1144156,5,0.281209,0.280652,0.280844
mobley_1144156,6,0.395130,0.394101,0.394754
mobley_1144156,7,0.395130,0.394101,0.394754
mobley_1144156,8,0.204241,0.203769,0.204086
mobley_1144156,9,0.204241,0.203769,0.204086
mobley_1144156,10,0.204241,0.203768,0.204086
mobley_1144156,11,0.204241,0.203768,0.204085
mobley_1144156,12,0.281210,0.280652,0.280845
mobley_1144156,13,0.395131,0.394102,0.394756
mobley_1144156,14,0.395130,0.394102,0.394755
mobley_1160109,0,-0.866614,-0.864483,-0.864816
mobley_1160109,1,-0.052291,-0.052178,-0.053664
mobley_1160109,2,-0.460528,-0.459330,-0.460344
mobley_1160109,3,-0.453609,-0.452266,-0.453560
mobley_1160109,4,-0.168026,-0.167712,-0.168797
mobley_1160109,5,-0.532157,-0.530572,-0.531855
mobley_1160109,6,-0.139533,-0.139878,-0.139870
mobley_1160109,7,-2.135154,-2.135448,-2.135223
mobley_1160109,8,-0.042376,-0.042832,-0.043276
mobley_1160109,9,-0.847456,-0.845726,-0.845469
mobley_1160109,10,-0.942384,-0.939871,-0.940501
mobley_1160109,11,0.341785,0.340815,0.341570
mobley_1160109,12,0.377927,0.377065,0.377427
mobley_1160109,13,0.266684,0.266111,0.266395
mobley_1160109,14,-0.017303,-0.016875,-0.017597
mobley_1160109,15,0.094941,0.094823,0.094866
mobley_1160109,16,0.212810,0.212219,0.212676
mobley_1160109,17,0.098031,0.097797,0.098004
mobley_1160109,18,0.134811,0.134359,0.134832
mobley_1160109,19,-0.050905,-0.050468,-0.050967
mobley_1160109,20,0.106641,0.106360,0.106652
mobley_1160109,21,0.060834,0.060888,0.060589
mobley_1160109,22,-0.003458,-0.003117,-0.003530
mobley_1160109,23,-0.039109,-0.038700,-0.039132
mobley_1160109,24,0.313012,0.312223,0.312761
mobley_1160109,25,0.277830,0.276988,0.277702
mobley_1160109,26,0.281034,0.280174,0.280909
mobley_1178614,0,-0.376076,-0.375739,-0.375784
mobley_1178614,1,-0.378325,-0.377971,-0.378052
mobley_1178614,2,-0.319643,-0.319518,-0.319732
mobley_1178614,3,0.513517,0.511263,0.508982
mobley_1178614,4,-0.165195,-0.165990,-0.165391
mobley_1178614,5,-0.455821,-0.455214,-0.455302
mobley_1178614,6,-2.255831,-2.255606,-2.259255
mobley_1178614,7,-1.126873,-1.126752,-1.126535
mobley_1178614,8,-0.144750,-0.144110,-0.144590
mobley_1178614,9,-0.144974,-0.144332,-0.144813
mobley_1178614,10,-0.334169,-0.332698,-0.333513
mobley_1178614,11,-0.119712,-0.119130,-0.119581
mobley_1178614,12,0.103606,0.104916,0.101733
mobley_1189457,0,-0.799956,-0.797414,-0.798396
mobley_1189457,1,-1.180006,-1.180039,-1.180887
mobley_1189457,2,-0.064431,-0.064590,-0.064789
mobley_1189457,3,-0.375160,-0.374762,-0.374763
mobley_1189457,4,-0.378767,-0.378421,-0.378472
mobley_1189457,5,-0.399076,-0.398705,-0.398670
mobley_1189457,6,-0.379071,-0.378718,-0.378767
mobley_1189457,7,-0.423381,-0.422784,-0.422790
mobley_1189457,8,0.326427,0.325627,0.326267
mobley_1189457,9,0.169001,0.168590,0.169062
mobley_1189457,10,0.253714,0.253079,0.253657
mobley_1189457,11,-0.214873,-0.214147,-0.214840
mobley_1189457,12,-0.147025,-0.146376,-0.146863
mobley_1189457,13,-0.145137,-0.144501,-0.144982
mobley_1189457,14,-0.147333,-0.146683,-0.147172
mobley_1189457,15,-0.282942,-0.282076,-0.282849
mobley_1199854,0,-0.808502,-0.806420,-0.807093
mobley_1199854,1,-0.316330,-0.315634,-0.316699
mobley_1199854,2,-0.648834,-0.647319,-0.647842
mobley_1199854,3,0.000000,0.000000,0.000000
mobley_1199854,4,0.289114,0.288385,0.288887
mobley_1199854,5,0.414369,0.413243,0.414036
mobley_1199854,6,0.335203,0.334320,0.334937
mobley_1199854,7,0.164142,0.163861,0.163966
mobley_1199854,8,0.285208,0.284587,0.284913
mobley_1199854,9,0.096028,0.095974,0.095925
mobley_1199854,10,0.238472,0.237959,0.238243
mobley_1231151,0,-0.804230,-0.802208,-0.803009
mobley_1231151,1,0.436472,0.435082,0.432127
mobley_1231151,2,-0.804229,-0.802207,-0.803008
mobley_1231151,3,-1.208038,-1.207981,-1.208224
mobley_1231151,4,0.077230,0.077417,0.077564
mobley_1231151,5,0.198664,0.198421,0.198927
mobley_1231151,6,0.342549,0.341589,0.342335
mobley_1231151,7,0.104610,0.104447,0.104365
mobley_1231151,8,0.077230,0.077417,0.077564
mobley_1231151,9,0.342549,0.341589,0.342335
mobley_1231151,10,0.198664,0.198420,0.198927
mobley_1235151,0,-0.843172,-0.840947,-0.841637
mobley_1235151,1,-0.396163,-0.395151,-0.396225
mobley_1235151,2,-0.548736,-0.547316,-0.548216
mobley_1235151,3,-0.492080,-0.491361,-0.491310
mobley_1235151,4,0.120124,0.120640,0.118315
mobley_1235151,5,-1.342155,-1.341922,-1.341942
mobley_1235151,6,-0.796796,-0.796994,-0.793364
mobley_1235151,7,-0.796800,-0.796999,-0.793368
mobley_1235151,8,0.280197,0.279516,0.279971
mobley_1235151,9,0.412469,0.411305,0.412147
mobley_1235151,10,0.412468,0.411303,0.412146
mobley_1235151,11,0.287236,0.286498,0.286973
mobley_1235151,12,0.287236,0.286498,0.286973
mobley_1235151,13,0.344567,0.343646,0.344292
mobley_1235151,14,0.344570,0.343649,0.344295
mobley_1235151,15,0.213543,0.213302,0.212953
mobley_1235151,16,0.213540,0.213299,0.212949
mobley_1235151,17,0.278908,0.278355,0.278623
mobley_1235151,18,0.278906,0.278354,0.278622
mobley_1244778,0,-0.483388,-0.482111,-0.483125
mobley_1244778,1,-0.403285,-0.402209,-0.403350
mobley_1244778,2,-0.382602,-0.381552,-0.382761
mobley_1244778,3,-0.496380,-0.494969,-0.496154
mobley_1244778,4,-0.240382,-0.240298,-0.240437
mobley_1244778,5,-0.444647,-0.443415,-0.444616
mobley_1244778,6,-0.429840,-0.428634,-0.429831
mobley_1244778,7,-3.230219,-3.230063,-3.232413
mobley_1244778,8,0.066754,0.066737,0.066683
mobley_1244778,9,0.248916,0.248062,0.248826
mobley_1244778,10,0.203505,0.202984,0.203345
mobley_1244778,11,0.065663,0.065673,0.065586
mobley_1244778,12,0.063955,0.063974,0.063881
mobley_1244778,13,0.192846,0.192346,0.192706
mobley_1244778,14,0.090687,0.090524,0.090673
mobley_1244778,15,0.319770,0.318924,0.319328
mobley_1244778,16,-0.142456,-0.141915,-0.142312
mobley_1244778,17,0.214531,0.214060,0.214277
mobley_1244778,18,0.232632,0.231909,0.232576
mobley_1244778,19,0.151669,0.151170,0.151646
mobley_1244778,20,0.098809,0.098689,0.098730
mobley_1244778,21,0.077446,0.079083,0.075501
mobley_1261349,0,-1.088893,-1.086090,-1.086337
mobley_1261349,1,0.648356,0.646428,0.644399
mobley_1261349,2,-1.088894,-1.086091,-1.086337
mobley_1261349,3,-1.088893,-1.086090,-1.086337
mobley_1261349,4,-1.088894,-1.086091,-1.086337
mobley_1261349,5,0.381633,0.380553,0.381331
mobley_1261349,6,0.381634,0.380554,0.381332
mobley_1261349,7,0.381635,0.380555,0.381332
mobley_1261349,8,0.381632,0.380553,0.381330
mobley_1261349,9,0.381634,0.380554,0.381332
mobley_1261349,10,0.381634,0.380554,0.381332
mobley_1261349,11,0.381633,0.380554,0.381331
mobley_1261349,12,0.381633,0.380553,0.381331
mobley_1261349,13,0.381633,0.380553,0.381331
mobley_1261349,14,0.381634,0.380554,0.381332
mobley_1261349,15,0.381632,0.380553,0.381330
mobley_1261349,16,0.381634,0.380554,0.381332
mobley_1278715,0,1.672492,1.667292,1.660264
mobley_1278715,1,1.672484,1.667283,1.660255
mobley_1278715,2,-0.961874,-0.961477,-0.961076
mobley_1278715,3,-0.961874,-0.961477,-0.961076
mobley_1278715,4,-0.961874,-0.961477,-0.961076
mobley_1278715,5,-0.961873,-0.961476,-0.961075
mobley_1278715,6,-0.961875,-0.961478,-0.961077
mobley_1278715,7,-0.961874,-0.961477,-0.961076
mobley_129464,0,-0.840027,-0.837763,-0.838533
mobley_129464,1,-0.386625,-0.385939,-0.386421
mobley_129464,2,-0.447357,-0.446147,-0.447292
mobley_129464,3,-0.663992,-0.662707,-0.662557
mobley_129464,4,-1.056312,-1.056323,-1.055058
mobley_129464,5,-0.658236,-0.656970,-0.656811
mobley_129464,6,-0.449036,-0.447825,-0.448961
mobley_129464,7,-0.421084,-0.420025,-0.421049
mobley_129464,8,-0.851590,-0.849326,-0.850045
mobley_129464,9,0.299345,0.298727,0.298909
mobley_129464,10,0.287018,0.286303,0.286787
mobley_129464,11,0.414824,0.413589,0.414526
mobley_129464,12,0.259200,0.258621,0.258877
mobley_129464,13,0.150326,0.150056,0.150173
mobley_129464,14,0.179671,0.179433,0.179355
mobley_129464,15,0.154237,0.154037,0.153985
mobley_129464,16,0.220933,0.220327,0.220792
mobley_129464,17,0.118314,0.118117,0.118226
mobley_129464,18,0.237579,0.236913,0.237424
mobley_129464,19,0.214047,0.213516,0.213878
mobley_129464,20,0.300900,0.300160,0.300557
mobley_129464,21,0.188166,0.187756,0.187981
mobley_129464,22,0.274809,0.274116,0.274555
mobley_129464,23,0.148402,0.148159,0.148240
mobley_129464,24,0.287526,0.286803,0.287292
mobley_129464,25,0.369972,0.368919,0.369691
mobley_129464,26,0.409606,0.408409,0.409301
mobley_1323538,0,-0.762625,-0.760570,-0.761501
mobley_1323538,1,-0.526991,-0.526542,-0.525622
mobley_1323538,2,-2.245270,-2.239908,-2.245489
mobley_1323538,3,1.848202,1.869162,1.830810
mobley_1323538,4,-2.370677,-2.366390,-2.371703
mobley_1323538,5,-2.245238,-2.239876,-2.245457
mobley_1323538,6,-0.526996,-0.526547,-0.525627
mobley_1323538,7,-0.762615,-0.760561,-0.761491
mobley_1323538,8,-2.245309,-2.239948,-2.245529
mobley_1323538,9,-0.526998,-0.526549,-0.525629
mobley_1323538,10,-0.762632,-0.760577,-0.761508
mobley_1323538,11,0.281935,0.281376,0.281564
mobley_1323538,12,0.394629,0.393596,0.394245
mobley_1323538,13,0.394441,0.393417,0.394061
mobley_1323538,14,0.211590,0.210965,0.211157
mobley_1323538,15,0.205866,0.205311,0.205426
mobley_1323538,16,0.211581,0.210956,0.211148
mobley_1323538,17,0.205873,0.205319,0.205433
mobley_1323538,18,0.394447,0.393423,0.394067
mobley_1323538,19,0.281932,0.281373,0.281561
mobley_1323538,20,0.394620,0.393586,0.394236
mobley_1323538,21,0.211600,0.210975,0.211167
mobley_1323538,22,0.205860,0.205306,0.205420
mobley_1323538,23,0.394451,0.393427,0.394071
mobley_1323538,24,0.281939,0.281380,0.281568
mobley_1323538,25,0.394630,0.393596,0.394246
mobley_1328465,0,0.146745,0.146106,0.142945
mobley_1328465,1,0.824229,0.821648,0.816892
mobley_1328465,2,-1.062062,-1.061800,-1.061622
mobley_1328465,3,-1.103973,-1.103801,-1.103710
mobley_1328465,4,-1.118230,-1.118018,-1.117987
mobley_1328465,5,-0.202532,-0.201309,-0.201615
mobley_1328465,6,-0.011389,-0.011014,-0.011080
mobley_1328465,7,-0.095401,-0.094781,-0.095125
mobley_1328936,0,-0.969867,-0.967898,-0.967335
mobley_1328936,1,-0.741831,-0.741677,-0.740930
mobley_1328936,2,-0.329601,-0.329809,-0.328913
mobley_1328936,3,-1.201219,-1.200546,-1.201206
mobley_1328936,4,-0.014843,-0.015410,-0.016007
mobley_1328936,5,-0.394046,-0.393710,-0.393620
mobley_1328936,6,-0.445979,-0.445689,-0.445297
mobley_1328936,7,0.458345,0.456887,0.455865
mobley_1328936,8,-0.445883,-0.445593,-0.445200
mobley_1328936,9,-0.398392,-0.398138,-0.397836
mobley_1328936,10,-1.348701,-1.348679,-1.348633
mobley_1328936,11,-0.323323,-0.323349,-0.319647
mobley_1328936,12,-0.322597,-0.322620,-0.318920
mobley_1328936,13,0.259580,0.259010,0.259356
mobley_1328936,14,0.259594,0.259024,0.259371
mobley_1328936,15,0.259352,0.258644,0.259247
mobley_1328936,16,-0.171183,-0.170580,-0.170869
mobley_1328936,17,-0.278456,-0.277543,-0.278152
mobley_1328936,18,-0.279810,-0.278895,-0.279507
mobley_1328936,19,-0.146048,-0.145436,-0.145816
mobley_1352110,0,-0.835520,-0.833320,-0.834028
mobley_1352110,1,-0.160693,-0.159672,-0.161864
mobley_1352110,2,-0.479447,-0.478217,-0.479245
mobley_1352110,3,-0.035544,-0.034908,-0.036321
mobley_1352110,4,-1.338061,-1.337661,-1.337790
mobley_1352110,5,-0.056095,-0.055878,-0.056729
mobley_1352110,6,-0.832100,-0.830014,-0.830629
mobley_1352110,7,-0.038251,-0.038560,-0.037904
mobley_1352110,8,-1.688869,-1.689004,-1.689117
mobley_1352110,9,-1.217957,-1.218152,-1.219032
mobley_1352110,10,-0.478986,-0.477609,-0.478301
mobley_1352110,11,-0.255515,-0.254792,-0.256069
mobley_1352110,12,-0.781614,-0.779471,-0.780291
mobley_1352110,13,0.280198,0.279518,0.279968
mobley_1352110,14,0.418476,0.417287,0.418162
mobley_1352110,15,0.403097,0.401973,0.402778
mobley_1352110,16,-0.050622,-0.050620,-0.050658
mobley_1352110,17,0.131142,0.130586,0.131134
mobley_1352110,18,0.138210,0.137723,0.138177
mobley_1352110,19,-0.035731,-0.035846,-0.035949
mobley_1352110,20,0.202199,0.201674,0.202211
mobley_1352110,21,0.109660,0.109423,0.109640
mobley_1352110,22,0.110632,0.110331,0.110748
mobley_1352110,23,0.307958,0.307087,0.307921
mobley_1352110,24,0.197268,0.196594,0.197218
mobley_1352110,25,0.164040,0.163496,0.163899
mobley_1352110,26,0.147153,0.146943,0.146706
mobley_1352110,27,0.166033,0.165808,0.165937
mobley_1352110,28,0.039449,0.039636,0.039469
mobley_1352110,29,0.180467,0.179948,0.180097
mobley_1352110,30,0.162645,0.162354,0.162486
mobley_1352110,31,0.338247,0.337322,0.338000
mobley_1352110,32,0.288885,0.288161,0.288666
mobley_1352110,33,0.301888,0.300903,0.301471
mobley_1363784,0,-0.909052,-0.906664,-0.907325
mobley_1363784,1,-0.009597,-0.010479,-0.010588
mobley_1363784,2,-0.514190,-0.513333,-0.513198
mobley_1363784,3,-0.009597,-0.010479,-0.010588
mobley_1363784,4,-0.451080,-0.450830,-0.449857
mobley_1363784,5,-1.342332,-1.342092,-1.342147
mobley_1363784,6,-0.451080,-0.450830,-0.449857
mobley_1363784,7,-0.909058,-0.906670,-0.907331
mobley_1363784,8,0.271478,0.270790,0.271333
mobley_1363784,9,0.306172,0.305291,0.306065
mobley_1363784,10,0.279361,0.278652,0.279236
mobley_1363784,11,-0.071195,-0.070821,-0.071069
mobley_1363784,12,-0.089467,-0.089141,-0.089189
mobley_1363784,13,-0.089467,-0.089141,-0.089189
mobley_1363784,14,0.306176,0.305295,0.306070
mobley_1363784,15,0.279366,0.278657,0.279240
mobley_1363784,16,0.271481,0.270793,0.271335
mobley_1396156,0,0.515392,0.513408,0.512162
mobley_1396156,1,0.507877,0.505042,0.503590
mobley_1396156,2,0.703436,0.700617,0.697628
mobley_1396156,3,0.696872,0.693980,0.691106
mobley_1396156,4,0.703436,0.700616,0.697627
mobley_1396156,5,0.507880,0.505044,0.503593
mobley_1396156,6,-0.958988,-0.958380,-0.957897
mobley_1396156,7,-1.006488,-1.006095,-1.005829
mobley_1396156,8,-1.005392,-1.004999,-1.004729
mobley_1396156,9,-1.006488,-1.006095,-1.005830
mobley_1396156,10,-0.958988,-0.958381,-0.957897
mobley_1396156,11,-1.313033,-1.311883,-1.312265
mobley_1396156,12,0.278994,0.280446,0.281310
mobley_1396156,13,0.278999,0.280452,0.281316
mobley_1417007,0,-0.381674,-0.380826,-0.381646
mobley_1417007,1,-0.468847,-0.468173,-0.468211
mobley_1417007,2,-0.469314,-0.468639,-0.468675
mobley_1417007,3,-0.381212,-0.380356,-0.381191
mobley_1417007,4,-0.206242,-0.206071,-0.206947
mobley_1417007,5,-0.207083,-0.206916,-0.207806
mobley_1417007,6,0.045469,0.044431,0.044963
mobley_1417007,7,-1.767999,-1.767373,-1.768752
mobley_1417007,8,-1.310012,-1.308647,-1.309156
mobley_1417007,9,0.028509,0.027507,0.028111
mobley_1417007,10,-1.716342,-1.715692,-1.717116
mobley_1417007,11,-2.683432,-2.680906,-2.692105
mobley_1417007,12,1.555185,1.551041,1.544332
mobley_1417007,13,-0.939779,-0.939225,-0.938680
mobley_1417007,14,-0.929299,-0.928713,-0.928136
mobley_1417007,15,-0.987147,-0.986792,-0.986297
mobley_1417007,16,0.112874,0.112763,0.112652
mobley_1417007,17,0.006314,0.006654,0.006149
mobley_1417007,18,-0.119980,-0.119406,-0.119891
mobley_1417007,19,-0.120180,-0.119605,-0.120091
mobley_1417007,20,0.006206,0.006551,0.006033
mobley_1417007,21,0.114224,0.114088,0.114017
mobley_1417007,22,-0.228639,-0.227595,-0.228788
mobley_1417007,23,-0.176866,-0.175888,-0.176994
mobley_1424265,0,-0.895404,-0.893074,-0.893695
mobley_1424265,1,0.065421,0.064479,0.064174
mobley_1424265,2,-0.535043,-0.534362,-0.534048
mobley_1424265,3,-0.360592,-0.360223,-0.360374
mobley_1424265,4,-0.535043,-0.534362,-0.534049
mobley_1424265,5,0.065421,0.064479,0.064174
mobley_1424265,6,-0.671290,-0.670299,-0.669694
mobley_1424265,7,-0.895405,-0.893075,-0.893697
mobley_1424265,8,0.312168,0.311243,0.312033
mobley_1424265,9,0.271274,0.270589,0.271116
mobley_1424265,10,0.274608,0.273913,0.274446
mobley_1424265,11,-0.111091,-0.110559,-0.110976
mobley_1424265,12,-0.148983,-0.148319,-0.148814
mobley_1424265,13,-0.111091,-0.110559,-0.110976
mobley_1424265,14,-0.058435,-0.058075,-0.058371
mobley_1424265,15,0.274610,0.273915,0.274447
mobley_1424265,16,0.271273,0.270588,0.271115
mobley_1424265,17,0.312168,0.311243,0.312033
mobley_1449384,0,-0.898611,-0.896273,-0.896887
mobley_1449384,1,0.045630,0.044693,0.044471
mobley_1449384,2,-0.516772,-0.516098,-0.515862
mobley_1449384,3,-0.411891,-0.411418,-0.411429
mobley_1449384,4,-0.207237,-0.207467,-0.207357
mobley_1449384,5,-0.503218,-0.502426,-0.502434
mobley_1449384,6,-0.518215,-0.517530,-0.517297
mobley_1449384,7,0.007793,0.007685,0.006236
mobley_1449384,8,-0.905289,-0.902846,-0.903568
mobley_1449384,9,-0.905391,-0.902947,-0.903670
mobley_1449384,10,0.273585,0.272890,0.273425
mobley_1449384,11,0.310866,0.309947,0.310731
mobley_1449384,12,0.273589,0.272895,0.273429
mobley_1449384,13,-0.109792,-0.109259,-0.109673
mobley_1449384,14,-0.184795,-0.184005,-0.184617
mobley_1449384,15,-0.304946,-0.303909,-0.304601
mobley_1449384,16,-0.109904,-0.109370,-0.109784
mobley_1449384,17,-0.008490,-0.008189,-0.008549
mobley_1449384,18,0.259640,0.258951,0.259493
mobley_1449384,19,0.325674,0.324796,0.325438
mobley_1449384,20,0.315955,0.315002,0.315807
mobley_1449384,21,0.259777,0.259088,0.259630
mobley_1449384,22,0.325180,0.324304,0.324945
mobley_1449384,23,0.315537,0.314586,0.315389
